ticker,name,sector,score_rank,score,missed_winner_score,mom_1m,mom_3m,mom_6m,mom_12m,relative_strength_composite,entry_quality_score,future_winner_score,early_scout_score,portfolio_sleeve_label,diagnosis,policy_probe,production_activation_allowed
SNDK,SANDISK CORP,Information Technology,48,3.8773343270107152,7.060178,0.5323358816670483,1.4147060360074208,4.40111929291703,34.06736041715983,5.053745448098894,0.0,0.9329432107724456,0.9415467703030531,unassigned,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
INTC,INTEL CORPORATION CORP,Information Technology,28,5.002779330803119,6.75185,0.8851276967042534,1.490991895526116,2.1284785052974686,4.423354339966228,5.053745448098894,0.0,0.9143085246836083,1.000940450516034,core_compounder,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
STX,Seagate Technology,Information Technology,12,6.1293804662318525,5.805541,0.5322247522592127,1.0104990943232495,1.7923530408355295,7.120494619963761,5.053745448098894,0.0,0.6875887668590404,0.7512957909972124,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
LITE,LUMENTUM HOLDINGS INC,Information Technology,10,6.235641762799949,5.728814,0.20823417449231552,0.7947257867083242,2.9646386434315524,13.364560809930444,5.053745448098894,0.0,0.888117664899223,0.7768725860025667,unassigned,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
HIMX,Himax Technologies,Information Technology,233,1.2096839162796063,5.481427,1.063126362426071,1.4957575942530776,1.5866834238585112,1.6230043950447377,4.930564653290432,0.0,0.9205673346515666,1.000940450516034,early_scout,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
RKLB,ROCKET LAB CORP,Industrials,107,2.5567273505713075,5.270326,0.7190528860070018,0.783251890664052,1.3921001517499758,4.839604900719634,4.5497490413986394,0.0,0.9329432107724456,1.000940450516034,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
FLEX,FLEX LTD,Information Technology,53,3.8024253763003206,5.249489,0.794359921973399,1.2177669829343474,1.2595852361863482,2.5176125072050466,4.3969290607015425,0.0,0.8787208523751054,1.000940450516034,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
CIEN,CIENA CORP,Information Technology,21,5.356085039925654,5.221937,0.236970015184649,0.9441548340254415,1.7685159011504763,6.31426412845347,5.053745448098894,0.0,0.8203630077774127,0.9470355553400602,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
BE,Bloom Energy,Industrials,306,0.7368652248485461,4.598639,0.32292385235137777,0.8629292932562997,1.0811608033994342,14.323110105962245,4.04247535517893,0.0,0.7535886447004675,0.748717890213314,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
COHR,COHERENT CORP,Information Technology,22,5.3464150025064585,4.544973,0.2880798103474078,0.804774406763336,1.4214850557771337,4.191076364680169,4.66105619262547,0.0,0.5904374340329485,0.653230454197762,unassigned,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty",fundamental_acceleration_override_replay,False
GLW,CORNING INC,Information Technology,17,5.708827839439032,4.021437,0.19494263253567135,0.5567753546669538,1.344187207416962,3.4629080656877047,4.53495068464611,0.0,0.9329432107724456,0.9633938162146023,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,167,1.849249738553005,3.923536,0.4457031235997697,0.6103232204841544,1.1384933959683168,2.111899403748602,3.9369951771229235,0.0,0.8688861325831125,1.000940450516034,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,55,3.794432124764732,3.603686,0.8138226703294174,0.6997889683787359,0.8496326252236077,1.0451833673972222,2.8291973923299194,0.0,0.7423652770956958,0.8532704271642768,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
AMKR,AMKOR TECHNOLOGY INC,Information Technology,82,2.9053508307825133,3.315662,0.21673191424769533,0.33083450130119707,1.1274570887810822,2.8460215973114416,4.049827308285338,0.0,0.8280702331449297,0.7552334013336159,unassigned,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
RVMD,REVOLUTION MEDICINES INC,Health Care,186,1.6504926802051314,3.196023,0.019930671682557355,0.5301561966544805,1.3902439588007827,2.580229193345485,4.429303034158074,0.0,0.6361846302658616,0.7086455210116887,unassigned,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name,ranking_mismatch",fundamental_acceleration_override_replay,False
MTZ,MASTEC INC,Industrials,19,5.510178591976229,3.132733,0.15824425805147246,0.5992679880854874,1.1081981869352675,1.7745842169940786,3.644081487958514,0.0,0.7801566187162434,0.9200503067288952,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
ARM,Arm Holdings,Information Technology,20,5.43853482180394,2.912681,0.37210026695782217,0.7657248472964002,0.4286360885151692,0.7723740969549906,1.7392733854768165,0.0,0.9282624872206003,0.8698323621556845,future_winner,"strong_3m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
MKSI,MKS,Information Technology,45,4.032325234487467,2.841257,0.15743207960240202,0.22608095288351393,1.0019022435499405,2.5218448947061214,3.5346830042717143,0.0,0.7943641801308189,0.8143176649692985,future_winner,"strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
TXN,TEXAS INSTRUMENT INC,Information Technology,16,5.741997978601323,2.807941,0.40675535250694583,0.35900655090191247,0.9299181709922877,0.68161240749531,2.635162385087209,0.0,0.7603802829767493,0.6341106711644888,core_compounder,"strong_3m_momentum,strong_6m_momentum,high_relative_strength,engine_likes_nonheld_name",concentrated_or_alpha_sprint_replay,False
PWR,QUANTA SERVICES INC,Industrials,29,4.925713641288322,2.771161,0.30168226602249804,0.47696756622926473,0.718712401639231,1.3271892412666801,2.4277090370841523,0.0,0.5818528898556322,0.6512935125390114,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength",leadership_rotation_replay,False
NVT,NVENT ELECTRIC PLC,Industrials,35,4.453027036770384,2.762796,0.2876615694639182,0.5358290840001467,0.544478569833913,1.6193032276138615,2.176878808349578,0.0,0.7876724729512248,0.8018242153079129,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,engine_likes_nonheld_name",fundamental_acceleration_override_replay,False
LRCX,LAM RESEARCH CORP,Information Technology,8,6.590437669941604,2.733277,0.08454167787414568,0.2580553377969428,0.7808556570072671,2.6182943110312444,3.0667546099622185,0.0,0.7013402808965319,0.6823405871329995,core_compounder,"strong_6m_momentum,strong_12m_momentum,high_relative_strength,engine_likes_nonheld_name",concentrated_or_alpha_sprint_replay,False
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,39,4.228999963712681,2.672454,0.09299162313421983,0.5174775059156496,0.9682306863561676,1.2209308958803242,3.071296106099594,0.0,0.5347268931063429,0.5373453713905845,future_winner,"strong_3m_momentum,strong_6m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty",fundamental_acceleration_override_replay,False
TER,TERADYNE INC,Information Technology,40,4.18462709616473,2.664868,-0.005827487143726384,0.13091278913828575,0.9763508178074527,3.3911254705029767,3.7948036174510147,0.0,0.7020783223777657,0.5715018137497669,core_compounder,"strong_6m_momentum,strong_12m_momentum,high_relative_strength,engine_likes_nonheld_name",concentrated_or_alpha_sprint_replay,False
QCOM,QUALCOMM INC,Information Technology,18,5.695001034644551,2.628463,0.6047124664677648,0.5211192446182207,0.2568330576668494,0.43416192592702085,1.0137815634716354,0.0,0.5056692494245753,0.5612563134886248,unassigned,"strong_3m_momentum,entry_quality_chase_penalty",fundamental_acceleration_override_replay,False
AMAT,APPLIED MATERIAL INC,Information Technology,4,6.927642959223958,2.579523,0.10355365783597636,0.2862025394408052,0.8632441031431453,1.6222742638527161,2.8427856391504633,0.0,0.7317806169961188,0.5842871174497639,core_compounder,"strong_6m_momentum,strong_12m_momentum,high_relative_strength,engine_likes_nonheld_name",concentrated_or_alpha_sprint_replay,False
ALAB,ASTERA LABS INC,Information Technology,332,0.5650326027013282,2.548834,0.31354037702623927,0.5593207561674078,0.28980078998965864,1.791355253429331,1.7192328472213316,0.0,0.5444538039978022,0.36312843151338764,early_scout,"strong_3m_momentum,strong_12m_momentum,high_relative_strength,entry_quality_chase_penalty,ranking_mismatch",fundamental_acceleration_override_replay,False
ONTO,ONTO INNOVATION INC,Information Technology,138,2.15654594934867,2.530396,0.058794315907044314,0.24525673725760422,0.9633514343282608,1.9625629216966551,3.2070924991959413,0.0,0.8755746332132366,0.6492022284896282,unassigned,"strong_6m_momentum,strong_12m_momentum,high_relative_strength,engine_likes_nonheld_name,ranking_mismatch",concentrated_or_alpha_sprint_replay,False
