portfolio,official_metric_mode,status,valid_for_production,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,completed,True,False,0.3135739941005504,0.3,0.0,-0.3745044500752168,-0.25,12.4504,1.1364976778234772,2019-06-03,2026-06-04,7.003422313483915,675440.6294919205,0.19658077785204947,0.05944705492184701,15,1760,36903.34829128266,14,8,6,0,,,,,0.31410550483067934,-0.17730197266147718,1.7869343118920507
concentrated,broker_ledger_next_close,completed,True,False,0.3978868352941922,0.45,5.2113,-0.35204443232782134,-0.25,10.2044,1.1854235002443043,2019-06-03,2026-06-04,7.003422313483915,1044243.9196327114,0.3197006733474197,0.02505473099953108,5,599,38852.49968644142,5,3,2,0,,,,,0.4410128405754561,-0.15431947027837722,1.7103954486986948
