rebalance_date,regime_state,target_n,single_name_cap,cash_floor,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,equity,drawdown
2019-05-31,bear,7,0.25,0.15,0.06448578920846025,0.002125,0.425,0.06236078920846025,0.15000000000000002,7,"HEI,NOW,SHOP,HD,FDS,AMT,MSCI",1.0623607892084603,0.0
2019-06-28,neutral,7,0.25,0.0,0.0341775653326133,0.0021218828865420887,0.4243765773084177,0.03205568244607121,0.0,7,"HEI,HD,MSCI,TER,SHOP,VEEV,KBR",1.0964154893104843,0.0
2019-07-31,neutral,7,0.25,0.0,0.0738651979178078,0.0019401560117750095,0.3880312023550019,0.07192504190603279,0.0,7,"HEI,HD,TER,PODD,SHOP,LSCC,ENTG",1.1752752193255644,0.0
2019-08-30,neutral,7,0.25,0.0,-0.012960537956121086,0.0028084953987417894,0.5616990797483579,-0.015769033354862877,0.09999999999999998,7,"HD,PODD,SHOP,AEP,JD,DG,MLM",1.1567422651908759,-0.015769033354862905
2019-09-30,neutral,7,0.25,0.0,0.016477261328436483,0.002213912310490003,0.44278246209800054,0.01426334901794648,0.0,7,"HD,AEP,DG,MLM,TER,ENTG,BLD",1.1732412838431032,-0.0017306035633325445
2019-10-31,neutral,7,0.25,0.0,-0.012104366890492158,0.004371596373341041,0.8743192746682082,-0.016475963263833198,0.0,7,"HD,AAPL,LPX,BKNG,CBRE,WU,MKSI",1.1539110035508917,-0.018178053466431976
2019-11-29,bull,7,0.25,0.0,0.07079212751050708,0.004103170306201021,0.8206340612402041,0.06668895720430605,0.050000000000000044,7,"AAPL,BABA,UI,CRUS,CPRT,QRVO,FTNT",1.2308641250842751,0.0
2019-12-31,neutral,7,0.25,0.0,0.024515652794830468,0.0013641558013341522,0.2728311602668304,0.023151496993496317,0.10000000000000009,7,"BABA,AAPL,UI,QRVO,TSLA,CRUS,CROX",1.2593604721755662,0.0
2020-01-31,neutral,7,0.25,0.0,0.004433701987737566,0.0028206445026499223,0.5641289005299844,0.0016130574850876439,0.0,7,"BABA,AAPL,TSLA,GOOG,JD,CPRT,SHOP",1.2613918930116326,0.0
2020-02-28,bear,7,0.25,0.15,-0.1257229376456272,0.0022293028561271903,0.44586057122543804,-0.12795224050175438,0.15000000000000002,7,"BABA,GOOG,JD,TSLA,NOW,EDU,STM",1.0999939741500449,-0.12795224050175447
2020-03-31,deep_bear,7,0.25,0.35,0.12672821857182714,0.0019350469308350245,0.38700938616700487,0.12479317164099211,0.3500000000000001,7,"GOOG,NOW,JD,TSLA,VRTX,VEEV,FTNT",1.2372657109702083,-0.019126634771547413
2020-04-30,bear,7,0.25,0.15,0.14593153219201874,0.001440339430489485,0.288067886097897,0.14449119276152925,0.15000000000000002,7,"JD,VEEV,NOW,FTNT,GOOG,RGEN,AMZN",1.4160397093112354,0.0
2020-05-29,neutral,7,0.25,0.0,0.023539021621403672,0.0009489896336909342,0.18979792673818682,0.022590031987712738,0.0,7,"RGEN,AMZN,NOW,VEEV,JD,GOOG,GOOGL",1.4480280916404478,0.0
2020-06-30,bull,7,0.25,0.0,0.09642940137053506,0.0015181562451361563,0.30363124902723126,0.0949112451253989,0.0,7,"GOOGL,NOW,JD,GOOG,AMZN,SE,SHOP",1.5854622407945977,0.0
2020-07-31,bull,7,0.25,0.0,0.12527919472389284,0.002156487897677712,0.4312975795355424,0.12312270682621514,0.0,7,"GOOGL,NOW,JD,SE,RGEN,CTAS,MELI",1.780668643451985,0.0
2020-08-31,neutral,7,0.25,0.0,-0.02818642252456995,0.0010192305570356159,0.20384611140712317,-0.029205653081605564,0.0,7,"SE,RGEN,JD,NOW,MELI,GOOGL,HD",1.728663052798033,-0.02920565308160572
2020-09-30,neutral,7,0.25,0.0,0.04841270864538677,0.0013992091790025515,0.2798418358005103,0.047013499466384216,0.0,7,"HD,JD,NOW,SE,MELI,ENPH,CTAS",1.8099335523083113,0.0
2020-10-30,neutral,7,0.25,0.0,0.12903588271006985,0.0030631139529933298,0.612622790598666,0.12597276875707653,1.1102230246251565e-16,7,"HD,MELI,GOOG,GOOGL,SE,XPO,PWR",2.0379358931589207,0.0
2020-11-30,neutral,7,0.25,0.0,0.05937918343503334,0.0020689404512810924,0.41378809025621843,0.057310242983752244,0.0,7,"GOOG,GOOGL,MELI,SE,LSCC,LAD,PDD",2.1547304943811683,0.0
2020-12-31,bull,7,0.25,0.0,0.06331730870579748,0.0023421265103710192,0.4684253020742038,0.06097518219542646,0.0,7,"GOOG,GOOGL,LSCC,MELI,AAPL,CPRT,ENPH",2.2861155788581016,0.0
2021-01-29,neutral,7,0.25,0.0,0.019487971083194014,0.0029065571167570907,0.5813114233514182,0.016581413966436923,1.1102230246251565e-16,7,"GOOG,MELI,GOOGL,PTC,UI,HALO,QGEN",2.3240226076462682,0.0
2021-02-26,neutral,7,0.25,0.0,-0.01973639693405853,0.003524488691146086,0.7048977382292172,-0.02326088562520462,0.0,7,"GOOG,GOOGL,TER,LSCC,LPX,ENTG,BX",2.269963783579419,-0.023260885625204453
2021-03-31,bull,7,0.25,0.0,0.08551009745344468,0.0028480409674879366,0.5696081934975873,0.08266205648595674,0.0,7,"GOOG,GOOGL,LPX,HD,PWR,JBL,WSM",2.457603658078737,0.0
2021-04-30,bull,7,0.25,0.0,-0.014443299366948954,0.0008214757860209898,0.16429515720419796,-0.015264775152969944,0.0,7,"HD,LPX,GOOGL,GOOG,PWR,MORN,WSM",2.4200888908230485,-0.01526477515297009
