rebalance_date,ticker,decision,reason,score,previous_weight
2019-05-31,HEI,add,pass,0.6009736787140505,0.0
2019-05-31,NOW,add,pass,0.5638070397404205,0.0
2019-05-31,SHOP,add,pass,0.5462863207330917,0.0
2019-05-31,HD,add,pass,0.5231687384435787,0.0
2019-05-31,FDS,add,pass,0.5055361397025018,0.0
2019-05-31,AMT,add,pass,0.4901927603211517,0.0
2019-05-31,MSCI,add,pass,0.48238987018407836,0.0
2019-06-28,HEI,hold,protected_winner,0.6495672048143636,0.15506799373995453
2019-06-28,NOW,drop,negative_rs_accel,0.5245830350005934,0.13648101820441338
2019-06-28,SHOP,drop,negative_rs_accel,0.5933317688347743,0.12813032179504186
2019-06-28,HD,hold,protected_winner,0.6398391026839011,0.11751541422299064
2019-06-28,FDS,drop,negative_rs_accel+leader_rank_decay,0.49934597317725543,0.1097275496769333
2019-06-28,AMT,drop,negative_rs_accel+low_concentrated_v2_score+leader_rank_decay,0.21853211508211864,0.10316800942707105
2019-06-28,MSCI,hold,protected_winner,0.5877626426402892,0.09990969293359524
2019-06-28,TER,add,monster_gate_override,0.6248285880689255,0.0
2019-06-28,SHOP,add,pass,0.5933317688347743,0.12813032179504186
2019-06-28,VEEV,add,pass,0.5882745064910443,0.0
2019-06-28,KBR,add,pass,0.5458267419248827,0.0
2019-07-31,HEI,hold,protected_winner,0.6520033284542076,0.16461078763033862
2019-07-31,HD,hold,protected_winner,0.6465251519115456,0.15971719262517678
2019-07-31,TER,hold,protected_winner,0.6593791012790782,0.15231121974014997
2019-07-31,SHOP,drop,negative_rs_accel,0.5929648466533085,0.13734261666139252
2019-07-31,VEEV,drop,negative_rs_accel,0.5435575283485012,0.13501131547691145
2019-07-31,MSCI,drop,negative_rs_accel+low_concentrated_v2_score+leader_rank_decay,0.3298065008211483,0.13477646815468527
2019-07-31,KBR,drop,low_concentrated_v2_score+leader_rank_decay,0.2626691464593738,0.1162303997113454
2019-07-31,PODD,add,pass,0.5983333705121151,0.0
2019-07-31,SHOP,add,pass,0.5929648466533085,0.13734261666139252
2019-07-31,LSCC,add,pass,0.5620750851252252,0.0
2019-07-31,ENTG,add,pass,0.5349245822908132,0.0
2019-08-30,TER,drop,leader_rank_decay,0.4728304779192874,0.16789711972294222
2019-08-30,HEI,drop,negative_rs_accel+leader_rank_decay,0.4819740860520648,0.16416195480547424
2019-08-30,HD,hold,intact,0.5244232528981324,0.16141494384229005
2019-08-30,PODD,hold,intact,0.4981516528066941,0.13824815360210688
2019-08-30,SHOP,hold,intact,0.5183384360314804,0.1357784304741972
2019-08-30,LSCC,drop,low_concentrated_v2_score+leader_rank_decay,0.41261400005205395,0.12200048557161546
2019-08-30,ENTG,drop,leader_rank_decay,0.4783236010476545,0.11049891198137403
2019-08-30,AEP,add,pass,0.5216115536931547,0.0
2019-08-30,JD,add,pass,0.5152045383115457,0.0
2019-08-30,DG,add,pass,0.507179783619293,0.0
2019-08-30,MLM,add,pass,0.49874420196885155,0.0
2019-09-30,HD,hold,intact,0.5321778983103739,0.13486200893129843
2019-09-30,AEP,hold,protected_winner,0.5923226129044109,0.1334197582971892
2019-09-30,SHOP,drop,negative_rs_accel+low_concentrated_v2_score+leader_rank_decay,0.14417157217292048,0.13175059119266191
2019-09-30,JD,drop,negative_rs_accel+low_concentrated_v2_score+leader_rank_decay,0.18512212625635263,0.13016226717815016
2019-09-30,DG,hold,intact,0.5459943416384188,0.12613906654392512
2019-09-30,MLM,hold,protected_winner,0.5887782327422407,0.12197798772909335
2019-09-30,PODD,drop,leader_rank_decay,0.48302349380261755,0.12168832012768185
2019-09-30,TER,add,pass,0.6042923389595874,0.0
2019-09-30,ENTG,add,pass,0.5788068329955811,0.0
2019-09-30,BLD,add,pass,0.52385032221148,0.0
2019-10-31,TER,drop,negative_rs_accel+leader_rank_decay,0.487686338213881,0.16205005664584587
2019-10-31,AEP,drop,missing_from_candidate_book,0.0,0.15569391383437842
2019-10-31,MLM,drop,negative_rs_accel+low_concentrated_v2_score+leader_rank_decay,0.12176438726654042,0.1538361851455643
2019-10-31,ENTG,drop,negative_rs_accel+low_concentrated_v2_score+leader_rank_decay,0.2749344272647119,0.14866964665863422
2019-10-31,DG,drop,low_concentrated_v2_score+leader_rank_decay,0.4414455850840558,0.13229130305892764
2019-10-31,HD,hold,protected_winner,0.5831364888490314,0.12568072533179184
2019-10-31,BLD,drop,negative_rs_accel,0.5713204142731817,0.1217781693248578
2019-10-31,AAPL,add,pass,0.6673596539323688,0.0
2019-10-31,LPX,add,pass,0.6242312115778313,0.0
2019-10-31,BKNG,add,pass,0.6205739122819992,0.0
2019-10-31,CBRE,add,pass,0.5932953918993958,0.0
2019-10-31,WU,add,pass,0.5863542881809313,0.0
2019-10-31,MKSI,add,pass,0.5745767249545661,0.0
2019-11-29,AAPL,hold,protected_winner,0.7191121168024117,0.17221357614655705
2019-11-29,LPX,drop,low_concentrated_v2_score+leader_rank_decay,0.17986096129264617,0.1506740458360697
2019-11-29,BKNG,drop,low_concentrated_v2_score+leader_rank_decay,0.08596031175773403,0.14891365394108097
2019-11-29,CBRE,drop,negative_rs_accel+low_concentrated_v2_score+leader_rank_decay,0.18614839952209203,0.1361098141899644
2019-11-29,WU,drop,low_concentrated_v2_score+leader_rank_decay,0.3708811212789609,0.13294368173987747
2019-11-29,HD,drop,negative_rs_accel+low_concentrated_v2_score+leader_rank_decay,0.08108324991408554,0.1314885468664005
2019-11-29,MKSI,drop,low_concentrated_v2_score+leader_rank_decay,0.1614552971903746,0.12765668128004998
2019-11-29,BABA,add,pass,0.7223135190790353,0.0
2019-11-29,UI,add,pass,0.6710863212122102,0.0
2019-11-29,CRUS,add,pass,0.669307040221874,0.0
2019-11-29,CPRT,add,pass,0.6635145059263694,0.0
2019-11-29,QRVO,add,pass,0.660400674829254,0.0
2019-11-29,FTNT,add,pass,0.6073788884269209,0.0
2019-12-31,BABA,hold,protected_winner,0.8377402342214095,0.1557434360605593
2019-12-31,AAPL,hold,protected_winner,0.8168014513856425,0.15436593875979593
2019-12-31,UI,hold,protected_winner,0.7326225322459154,0.13443583179357124
2019-12-31,CRUS,drop,negative_rs_accel,0.7664833165779552,0.13372390543551405
2019-12-31,CPRT,drop,negative_rs_accel,0.689317055816515,0.13141928778389952
2019-12-31,QRVO,hold,protected_winner,0.7761867441865874,0.13018869750822842
2019-12-31,FTNT,drop,leader_rank_decay,0.6008425381305535,0.11012290265843147
2019-12-31,TSLA,add,pass,0.7831717614891429,0.0
2019-12-31,CRUS,add,pass,0.7664833165779552,0.13372390543551405
2019-12-31,CROX,add,pass,0.7503535440893916,0.0
2020-01-31,BABA,hold,protected_winner,0.7392754191234199,0.14785087744146377
2020-01-31,AAPL,hold,protected_winner,0.594278207408784,0.14055236580487118
2020-01-31,TSLA,hold,protected_winner,0.6676877151683703,0.12921686445801245
2020-01-31,QRVO,drop,low_concentrated_v2_score+leader_rank_decay,0.41412229224085506,0.12692220301481366
