portfolio,metric_source,official_source_pass,cagr,cagr_target,cagr_pass,cagr_gap_pp,max_dd,max_dd_target,max_dd_pass,max_dd_improvement_needed_pp,sharpe,avg_turnover_monthly,target_pass
main,broker_ledger_next_close,True,0.2186762246006584,0.35,False,13.1324,-0.2637127035822229,-0.25,False,1.3713,1.0421120791062564,0.0,False
concentrated,broker_ledger_next_close,True,0.28542036155453543,0.5,False,21.458,-0.42957117106860143,-0.25,False,17.9571,1.002462019026703,0.0,False
