row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,GOOG,178.0,383.82000732421875,68319.96130371094,0.17553588309432736
equity,GEV,47.0,1071.97998046875,50383.05908203125,0.1294502309455735
equity,AMZN,175.0,265.82000732421875,46518.50128173828,0.11952094302885669
equity,PLTR,238.0,136.0,32368.0,0.08316376876648747
equity,VRT,88.0,367.1300048828125,32307.4404296875,0.08300817181573159
equity,GLW,140.0,198.24000549316406,27753.60076904297,0.07130789782483002
equity,LRCX,89.0,289.239990234375,25742.359130859375,0.0661403732780112
equity,RKLB,196.0,117.55999755859375,23041.759521484375,0.059201667103859906
equity,FTI,274.0,73.19000244140625,20054.060668945312,0.051525310933677675
equity,ON,150.0,104.11000061035156,15616.500091552734,0.040123795185236094
equity,NXPI,53.0,294.2300109863281,15594.19058227539,0.04006647490375949
equity,AKAM,104.0,149.55999755859375,15554.23974609375,0.03996382839788215
equity,MLI,112.0,138.58999633789062,15522.07958984375,0.03988119864634146
cash,CASH,0.0,1.0,432.19833327049605,0.0011104560754253837
