date,equity_usd,cash_usd,cash_weight,stock_value_usd,position_count,fill_mode
2019-06-03,99475.9923277426,29608.30269341947,0.29764269750503497,69867.68963432312,18,next_close
2019-06-04,101450.33877473357,29608.30269341947,0.2918502101719298,71842.03608131409,18,next_close
2019-06-05,103516.5945768881,29608.30269341947,0.28602469791862767,73908.29188346863,18,next_close
2019-06-06,104227.93481736662,29608.30269341947,0.28407262165657043,74619.63212394714,18,next_close
2019-06-07,105476.6463385153,29608.30269341947,0.28070955724544927,75868.34364509583,18,next_close
2019-06-10,105567.46637444975,29608.30269341947,0.2804680618970079,75959.16368103027,18,next_close
2019-06-11,104532.43850045683,29608.30269341947,0.28324511623528303,74924.13580703735,18,next_close
2019-06-12,105131.93375878813,29608.30269341947,0.281629963749663,75523.63106536865,18,next_close
2019-06-13,105555.91513734343,29608.30269341947,0.2804987541900879,75947.61244392395,18,next_close
2019-06-14,104874.21296220305,29608.30269341947,0.2823220490254395,75265.91026878357,18,next_close
2019-06-17,105196.25926118376,29608.30269341947,0.28145775240835585,75587.95656776428,18,next_close
2019-06-18,105832.48059564116,29608.30269341947,0.27976574419100336,76224.17790222168,18,next_close
2019-06-19,107333.4286394644,29608.30269341947,0.2758535068592142,77725.12594604492,18,next_close
2019-06-20,107808.23106675627,29608.30269341947,0.27463860969099496,78199.92837333679,18,next_close
2019-06-21,107194.98833756926,29608.30269341947,0.2762097664508302,77586.68564414978,18,next_close
2019-06-24,106342.48249726775,29608.30269341947,0.27842403147002137,76734.17980384827,18,next_close
2019-06-25,104228.4718790579,29608.30269341947,0.2840711579056405,74620.16918563843,18,next_close
2019-06-26,104332.52333741667,29608.30269341947,0.28378785201681284,74724.22064399719,18,next_close
2019-06-27,105489.57169633391,29608.30269341947,0.2806751626468918,75881.26900291443,18,next_close
2019-06-28,105894.16012292387,29608.30269341947,0.27960279073982564,76285.8574295044,18,next_close
2019-07-01,106372.39455036641,31349.847627682702,0.2947178895445361,75022.54692268372,18,next_close
2019-07-02,107449.61549191,31349.847627682702,0.2917632369754089,76099.7678642273,18,next_close
2019-07-03,108231.6631870699,31349.847627682702,0.28965504829669814,76881.8155593872,18,next_close
2019-07-05,108381.6375961733,31349.847627682702,0.28925423460098737,77031.7899684906,18,next_close
2019-07-08,108383.90585522176,31349.847627682702,0.2892481810865863,77034.05822753906,18,next_close
2019-07-09,108990.49496845723,31349.847627682702,0.2876383636642407,77640.64734077454,18,next_close
2019-07-10,109198.4903469515,31349.847627682702,0.28709048566583867,77848.6427192688,18,next_close
2019-07-11,109327.0419006777,31349.847627682702,0.28675291202119657,77977.194272995,18,next_close
2019-07-12,109577.91399006368,31349.847627682702,0.28609640835584305,78228.06636238098,18,next_close
2019-07-15,109739.60111622335,31349.847627682702,0.28567488225586507,78389.75348854065,18,next_close
2019-07-16,109140.74417309285,31349.847627682702,0.28724238473180186,77790.89654541016,18,next_close
2019-07-17,109098.9549084139,31349.847627682702,0.28735241005745826,77749.1072807312,18,next_close
2019-07-18,109499.40414623739,31349.847627682702,0.2863015362696834,78149.55651855469,18,next_close
2019-07-19,108352.56166462423,31349.847627682702,0.2893318546977929,77002.71403694153,18,next_close
2019-07-22,108877.7179527712,31349.847627682702,0.2879363033791872,77527.8703250885,18,next_close
2019-07-23,108796.07172207357,31349.847627682702,0.28815238575679336,77446.22409439087,18,next_close
2019-07-24,109738.32913021566,31349.847627682702,0.28567819353694485,78388.48150253296,18,next_close
2019-07-25,109368.22995190145,31349.847627682702,0.2866449209379169,78018.38232421875,18,next_close
2019-07-26,109687.20273785116,31349.847627682702,0.28581135123490947,78337.35511016846,18,next_close
2019-07-29,108498.38074688436,31349.847627682702,0.28894299999572065,77148.53311920166,18,next_close
2019-07-30,108301.23532108785,31349.847627682702,0.2894689754437032,76951.38769340515,18,next_close
2019-07-31,108031.57171253682,31349.847627682702,0.2901915350366473,76681.72408485413,18,next_close
2019-08-01,108484.77082574846,32488.583863620777,0.2994759874250454,75996.18696212769,18,next_close
2019-08-02,107427.95235765459,32488.583863620777,0.30242207126370735,74939.36849403381,18,next_close
2019-08-05,104692.31528032305,32488.583863620777,0.3103244376306865,72203.73141670227,18,next_close
2019-08-06,106919.839833622,32488.583863620777,0.3038592642317485,74431.25597000122,18,next_close
2019-08-07,107721.64479387285,32488.583863620777,0.3015975473247574,75233.06093025208,18,next_close
2019-08-08,110479.07591379168,32488.583863620777,0.29407001819034095,77990.4920501709,18,next_close
2019-08-09,110415.55510461809,32488.583863620777,0.29423919331690207,77926.97124099731,18,next_close
2019-08-12,109319.7127431679,32488.583863620777,0.2971887050229301,76831.12887954712,18,next_close
2019-08-13,109862.63028276445,32488.583863620777,0.29572006222681596,77374.04641914368,18,next_close
2019-08-14,107156.07492006304,32488.583863620777,0.30318937949021385,74667.49105644226,18,next_close
2019-08-15,107738.45689523699,32488.583863620777,0.30155048438471804,75249.87303161621,18,next_close
2019-08-16,108893.56664026262,32488.583863620777,0.2983517288119421,76404.98277664185,18,next_close
2019-08-19,109382.51761186602,32488.583863620777,0.2970180662590304,76893.93374824524,18,next_close
2019-08-20,109934.3375314522,32488.583863620777,0.2955271718840876,77445.75366783142,18,next_close
2019-08-21,111519.88018358233,32488.583863620777,0.29132549111547257,79031.29631996155,18,next_close
2019-08-22,111344.75913560869,32488.583863620777,0.29178368264331483,78856.17527198792,18,next_close
