portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,845
concentrated,cash,cash_binding,820
concentrated,cap_or_replacement,cap_binding,278
concentrated,unknown_requires_investigation,unknown,13
main,candidate_gate,candidate_gate,789
main,cash,cash_binding,643
main,cap_or_replacement,cap_binding,347
