signal,ic_all,n_all,ic_deep_bear,n_deep_bear,ic_bear,n_bear,ic_neutral,n_neutral,ic_bull,n_bull,ic_strong_bull,n_strong_bull
rs_acceleration_score,0.026939471956445773,967,0.6190476190476191,8,0.03354958816324551,153,0.015798792642119416,378,0.005315923832405551,203,-0.09999999999999999,9
h1_oversold_value_score,0.009223907932662513,967,,8,,153,0.017240198184771603,378,,203,,9
h6_dynamic_leader_score,0.015496157171112539,967,-0.09352195295828246,8,0.04156817031377784,153,-0.001617215359002587,378,0.08430423806574833,203,0.5744562646538028,9
stage2_overext_penalty,,967,,8,,153,,378,,203,,9
theme_phase_multiplier_primary,-0.057022059786919516,967,-0.15649215928719032,8,-0.010931790462495613,153,-0.026137925667671456,378,-0.060340039969358585,203,0.0,9
theme_phase_multiplier_max,-0.05148122995171806,967,-0.15649215928719032,8,0.0068034878371605765,153,-0.028747511393086265,378,-0.0344271110825924,203,0.0,9
explosion_entry_score,,967,,8,,153,,378,,203,,9
explosion_exit_score,,967,,8,,153,,378,,203,,9
explosion_net_score,,967,,8,,153,,378,,203,,9
portfolio_monster_early_score,0.051138567677305326,967,,8,,153,,378,,203,,9
entry_quality_score,-0.03693416172257715,967,-0.5819143739626464,8,-0.0689977035596813,153,0.011316705765633057,378,0.011307014615176286,203,0.20018930434905252,9
breakout_setup_quality_score,,967,,8,,153,,378,,203,,9
selection_confirmation_score,-0.019354168329675566,967,,8,-0.01811714081687536,153,0.06223853598979137,378,0.0030807313859004407,203,,9
portfolio_risk_entry_block_score,0.03388584387619743,967,,8,,153,,378,,203,,9
portfolio_hold_policy_exit_risk,,967,,8,,153,,378,,203,,9
broken_momentum_penalty,,967,,8,,153,,378,,203,,9
relative_strength_composite,,967,,8,,153,,378,,203,,9
