portfolio,ticker,target_weight,current_weight,current_position_exists,target_only_new_buy,reference_price,reference_price_date,price_source,price_status,price_lag_days,max_stale_days,stale_price,missing_price_reason
,FLEX,0.1141052395569537,0.11383812463115171,True,False,136.35000610351562,2026-07-02,price_cache,ok,0,5,False,
,SNDK,0.106242478584349,0.11372707680888187,True,False,1712.0,2026-07-02,price_cache,ok,0,5,False,
,NXT,0.08,0.06637489320673504,True,False,111.0199966430664,2026-07-02,price_cache,ok,0,5,False,
,RKLB,0.0771797818207897,0.06810459723996981,True,False,99.80000305175781,2026-07-02,price_cache,ok,0,5,False,
,WDC,0.0642211559128242,0.06885003959476797,True,False,536.510009765625,2026-07-02,price_cache,ok,0,5,False,
,MU,0.0633954993350146,0.06213261061067409,True,False,957.0700073242188,2026-07-02,price_cache,ok,0,5,False,
,UMC,0.0617817604023048,0.071260577570305,True,False,24.354999542236328,2026-07-02,price_cache,ok,0,5,False,
,HPE,0.0600666006233051,0.05692725105447484,True,False,40.98500061035156,2026-07-02,price_cache,ok,0,5,False,
,CIEN,0.0537158507507146,0.04306840366134732,True,False,419.5101013183594,2026-07-02,price_cache,ok,0,5,False,
,CASH,0.0500690127474076,0.0,False,False,1.0,2026-07-02,cash_par,ok,0,5,False,
,AMD,0.044870436711056,0.04864514999488269,True,False,511.4363098144531,2026-07-02,price_cache,ok,0,5,False,
,ALAB,0.044870436711056,0.06006422554848737,True,False,397.8399963378906,2026-07-02,price_cache,ok,0,5,False,
,MRVL,0.044870436711056,0.05351952150297781,True,False,241.1501007080078,2026-07-02,price_cache,ok,0,5,False,
,ON,0.044870436711056,0.03635205220230948,True,False,90.18000030517578,2026-07-02,price_cache,ok,0,5,False,
,QCOM,0.044870436711056,0.03722667773643803,True,False,174.875,2026-07-02,price_cache,ok,0,5,False,
,STM,0.044870436711056,0.04779925231518633,True,False,67.6500015258789,2026-07-02,price_cache,ok,0,5,False,
