policy_id,portfolio,precedence,candidate_id,policy_variant,evidence_type,source,production_ready,activation_stage,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,avg_turnover_monthly,delta_cagr_pp,delta_max_dd_pp,delta_sharpe,fusion_score,priority_count,diagnostic_action,autolearning_status,macro_latest_risk_state,macro_latest_style_state,dependencies,conflict_scope,notes
position_hard_stop_distribution,main,100,main_v2_position_aware_risk_proxy,,monthly_proxy,sidecar:outputs/position_aware_risk_replay/metrics.json#with_position_risk,False,confirm_with_production_compatible_replay,True,0.3609848174155128,0.3,0.0,-0.12627979304735826,-0.15,0.0,1.7263162854462386,,7.9824,3.2932,0.1061,53.4944,,,,,,Requires weekly/intramonth replay before production activation.,Overrides shakeout and long-hold rules when hard exits trigger.,"Main position-aware risk proxy for hard stops, decay, and risk exits."
position_hard_stop_distribution,concentrated,100,concentrated_position_risk_proxy,,monthly_proxy,sidecar:outputs/concentrated_position_risk_replay/metrics.json,False,confirm_with_production_compatible_replay,True,0.503782536325996,0.5,0.0,-0.17821298596873147,-0.18,0.0,1.8248097434839676,,2.6723,1.8955,0.0753,43.974,,,,,,"Requires cost sensitivity, rolling windows, and weekly/intramonth confirmation.",Overrides 50% conviction sizing when a position breaks.,Concentrated hard-stop proxy near the 50% CAGR / -18% MaxDD goal.
macro_crisis_cash_ladder,main,95,,fast_reentry,monthly_proxy,outputs/crisis_reentry_replay/metrics.json#best_by_cagr,False,candidate_for_combination,False,0.2986897606788055,0.3,0.131,-0.10755091073653755,-0.15,0.0,1.9216525674538716,0.5112334819104977,1.7529,5.1661,0.3014,5.7915,,,,,,Requires macro_policy_engine risk states and production-compatible cash accounting.,Overrides idle cash redeploy and new risk-on adds in red/crisis regimes.,Crisis cash ladder plus staged bargain re-entry.
stale_leader_trim,main,90,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,False,0.28116073881810344,0.3,1.8839,-0.15921178440601547,-0.15,0.9212,1.6202096991237043,,0.0,0.0,0.0,-5.0898,3,review_trim_or_exit,,,,Requires relative-strength underperformance and no shakeout veto.,Can be delayed by shakeout_hold_veto; yields to hard exits.,Historical journey found stale leaders that should be reviewed for half-trim or exit.
shakeout_hold_veto,main,86,,,diagnostic,outputs/shakeout_breakdown_study/pattern_summary.json,False,shadow_watch,False,0.28116073881810344,0.3,1.8839,-0.15921178440601547,-0.15,0.9212,1.6202096991237043,,0.0,0.0,0.0,-5.0898,1316,shakeout_veto_candidate,,,,"Needs shakeout/distribution classifier with volume, RS recovery, sector context, and fundamental deterioration flags.",Cannot override hard stops or confirmed distribution.,Protects valid shake-outs from soft stale trims; not yet hard-wired to production exits.
monster_early_staged_sizing,main,80,,,diagnostic,outputs/winner_onset_study/pattern_summary.json,False,shadow_watch,False,0.28116073881810344,0.3,1.8839,-0.15921178440601547,-0.15,0.9212,1.6202096991237043,,0.0,0.0,0.0,-5.0898,28,refine_monster_entry_pattern,,,,Requires conversion from event-level onset evidence into portfolio-level challenger replay.,Can support monster staged sizing only after macro/risk/liquidity gates pass.,Winner-onset study is available to refine early monster entry patterns without ticker hardcoding.
monster_early_staged_sizing,concentrated,80,monster_lifecycle_review_concentrated,,historical_replay,sidecar:outputs/monster_lifecycle_review_concentrated/metrics.json,False,reject_current_form,False,0.1411279453250589,0.5,35.8872,-0.2671077689360175,-0.18,8.7108,0.867601396483136,0.28313378453015875,-33.5932,-6.994,-0.8819,-128.7461,,,,,,Requires weekly/intramonth validation before production activation.,Conflicts with hard stops and macro crisis defense.,Concentrated staged monster sizing up to the 50% policy cap.
long_winner_hold_template,main,76,,,diagnostic,outputs/historical_trade_journey/historical_decision_priorities.csv,False,shadow_watch,False,0.28116073881810344,0.3,1.8839,-0.15921178440601547,-0.15,0.9212,1.6202096991237043,,0.0,0.0,0.0,-5.0898,153,preserve_or_repair_winner_hold,,,,"Requires structural theme, no hard distribution, and no stale-leader breakdown.","Yields to stale_leader_trim, hard stops, and crisis defense.",Historical journey found short big winners and long-winner templates that should reduce premature exits.
idle_cash_redeploy,main,70,,cash0.00_cap0.18,monthly_proxy,outputs/main_cash_drag_replay/summary.json#best_by_cagr,False,confirm_with_production_compatible_replay,True,0.33937328654410104,0.3,0.0,-0.13356059474690096,-0.15,0.0,1.807305924058752,0.495584532774231,5.8213,2.5651,0.1871,49.7135,,,,,,Blocked by macro crisis cash ladder; allowed in green/recovery regimes only.,Conflicts with crisis cash floors and confirmed monster stage funding.,Redeploy normal-market idle cash while respecting single-name caps.
style_macro_router,main,64,,,diagnostic,outputs/macro_policy_engine/summary.json,False,shadow_watch,False,0.28116073881810344,0.3,1.8839,-0.15921178440601547,-0.15,0.9212,1.6202096991237043,,0.0,0.0,0.0,-5.0898,,,,red,cash_defense,Needs long-history macro learner and policy replay before production activation.,Sets style opportunity set but yields to crisis and hard exits.,"Macro/style sidecar is available for routing breakout growth, turnaround, compounder, or defense styles."
