as_of_date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,realized_pnl_usd
2026-06-18,CIEN,103.0,428.2200012207031,44106.66012573242,0.055534913038802786,385.7085811688881,4378.6762653369515,23265.200740583452
2026-06-18,COHR,46.0,389.57000732421875,17920.220336914062,0.022563437703280002,276.156788524683,5217.0080647786435,6979.3199136988305
2026-06-18,FIX,12.0,1967.4100341796875,23608.92041015625,0.029726107988691686,1866.2886962890625,1213.4560546875,0.0
2026-06-18,KEYS,20.0,363.6700134277344,7273.4002685546875,0.009157974107745522,313.2699890136719,1008.00048828125,-3663.219067764282
2026-06-18,LITE,39.0,850.0,33150.0,0.04173932830072206,307.08680720799055,21173.614518888367,61396.76653242313
2026-06-18,MRVL,308.0,310.5799865722656,95658.63586425781,0.12044425964215631,164.9499969482422,44854.03680419922,-6065.666757507324
2026-06-18,MU,35.0,1133.989990234375,39689.649658203125,0.04997343340043382,465.0863717953189,23411.626645366963,20146.05471945543
2026-06-18,ON,329.0,121.62000274658203,40012.98090362549,0.05038054136431211,103.02999877929688,6116.111305236816,445.4823851013188
2026-06-18,PWR,42.0,702.25,29494.5,0.03713667024330759,742.2100219726562,-1678.3209228515625,970.8314836120605
2026-06-18,SNDK,60.0,2184.75,131085.0,0.16504976923982356,770.5253458658855,84853.47924804688,1582.1990454101563
2026-06-18,STM,1144.0,78.38999938964844,89678.15930175781,0.11291421214179549,55.75,25900.159301757812,228.06195462226887
2026-06-18,TER,24.0,437.9200134277344,10510.080322265625,0.013233293907632084,214.96397320142992,5350.944965431307,12220.487090366272
2026-06-18,WDC,152.0,746.22998046875,113426.95703125,0.14281644035231486,336.42687498503574,62290.07203352457,30842.76455579275
