comparison_method,rebalance_date,target_cash_weight,target_stock_weight,broker_cash_date,broker_cash_weight,cash_drift
rebalance_day_next_close,2019-07-31,6.661338147750939e-16,0.9999999999999993,2019-08-01,0.0001695128958361,0.00016951289583543386
rebalance_day_next_close,2019-09-30,7.771561172376096e-16,0.9999999999999992,2019-10-01,0.0028909281984773,0.002890928198476523
rebalance_day_next_close,2019-10-31,1.3322676295501878e-15,0.9999999999999987,2019-11-01,0.0014528625088914,0.0014528625088900677
rebalance_day_next_close,2019-12-31,8.881784197001252e-16,0.9999999999999991,2020-01-02,0.0038703208930995,0.003870320893098612
rebalance_day_next_close,2020-03-31,0.4,0.5999999999999992,2020-04-01,0.4001738662580147,0.0001738662580146877
rebalance_day_next_close,2020-04-30,7.771561172376096e-16,0.9999999999999992,2020-05-01,0.00983120065691,0.009831200656909223
rebalance_day_next_close,2020-06-30,6.661338147750939e-16,0.9999999999999993,2020-07-01,0.0041292856401758,0.004129285640175134
rebalance_day_next_close,2020-08-31,5.551115123125783e-16,0.9999999999999994,2020-09-01,0.0049869909840392,0.004986990984038645
rebalance_day_next_close,2020-09-30,1.2212453270876722e-15,0.9999999999999988,2020-10-01,3.052816254064307e-05,3.0528162539421826e-05
rebalance_day_next_close,2020-11-30,9.992007221626409e-16,0.999999999999999,2020-12-01,0.0004898184819752,0.0004898184819742008
rebalance_day_next_close,2021-03-31,0.0367670994787001,0.963232900521299,2021-04-01,0.0421843624130176,0.005417262934317504
rebalance_day_next_close,2021-06-30,6.661338147750939e-16,0.9999999999999993,2021-07-01,0.002280277440043,0.002280277440042334
rebalance_day_next_close,2021-08-31,8.881784197001252e-16,0.9999999999999991,2021-09-01,0.0002067704176937,0.00020677041769281182
rebalance_day_next_close,2021-09-30,0.28,0.7199999999999993,2021-10-01,0.2853658158820975,0.005365815882097447
rebalance_day_next_close,2021-11-30,0.02,0.979999999999999,2021-12-01,0.0185339335357057,-0.0014660664642942994
rebalance_day_next_close,2022-01-31,1.1102230246251565e-15,0.9999999999999989,2022-02-01,0.0070984021416467,0.0070984021416455895
rebalance_day_next_close,2022-02-28,9.992007221626409e-16,0.999999999999999,2022-03-01,0.0005104668409667,0.0005104668409657008
