rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,portfolio_sleeve_role,policy_id
2019-04-30,V,0.1337827506257709,VISA INC CLASS A,Financials,core_compounder,core_compounder,fast_reentry
2019-04-30,HD,0.1080070517041365,HOME DEPOT INC,Consumer Discretionary,core_compounder,core_compounder,fast_reentry
2019-04-30,NOW,0.0596612216712144,SERVICENOW INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-04-30,AVGO,0.0557037723398198,BROADCOM INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-04-30,DHR,0.0526221311562807,DANAHER CORP,Health Care,core_compounder,core_compounder,fast_reentry
2019-04-30,AMT,0.0497188038434256,AMERICAN TOWER REIT CORP,Real Estate,core_compounder,core_compounder,fast_reentry
2019-04-30,CSX,0.0474979710662999,CSX CORP,Industrials,core_compounder,core_compounder,fast_reentry
2019-04-30,W,0.0473584767787122,WAYFAIR INC CLASS A,Consumer Discretionary,core_compounder,core_compounder,fast_reentry
2019-04-30,MELI,0.0472150770365593,MercadoLibre,Internet,core_compounder,core_compounder,fast_reentry
2019-04-30,CDNS,0.0463088500031318,CADENCE DESIGN SYSTEMS INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-04-30,FDS,0.044015486721831,FACTSET RESEARCH SYSTEMS INC,Financials,core_compounder,core_compounder,fast_reentry
2019-04-30,PAYC,0.044015486721831,PAYCOM SOFTWARE INC,Industrials,core_compounder,core_compounder,fast_reentry
2019-04-30,CPRT,0.044015486721831,COPART INC,Industrials,core_compounder,core_compounder,fast_reentry
2019-04-30,SHOP,0.044015486721831,Shopify,Software,core_compounder,core_compounder,fast_reentry
2019-04-30,VICI,0.044015486721831,VICI PPTYS INC,Real Estate,core_compounder,core_compounder,fast_reentry
2019-04-30,KEYS,0.044015486721831,KEYSIGHT TECHNOLOGIES INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-04-30,MKTX,0.044015486721831,MARKETAXESS HOLDINGS INC,Financials,core_compounder,core_compounder,fast_reentry
2019-04-30,GPK,0.044015486721831,GRAPHIC PACKAGING HOLDING,Materials,core_compounder,core_compounder,fast_reentry
2019-05-31,CASH,0.2799999999999998,Cash,Cash,cash,cash,fast_reentry
2019-05-31,NOW,0.0851219030823358,SERVICENOW INC,Information Technology,core_compounder,core_compounder,fast_reentry
2019-05-31,V,0.0599723748137558,VISA INC CLASS A,Financials,core_compounder,core_compounder,fast_reentry
2019-05-31,MA,0.0501135300012132,MASTERCARD INC CLASS A,Financials,core_compounder,core_compounder,fast_reentry
