date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd
2019-06-03,ROKU,111.0,89.70999908447266,9957.809898376465,0.09982540609436918,89.70999908447266,0.0
2019-06-03,MELI,24.0,568.77001953125,13650.48046875,0.13684382108945406,568.77001953125,0.0
2019-06-03,PAYC,91.0,192.3712158203125,17505.780639648438,0.1754925710759722,192.3712158203125,0.0
2019-06-03,HEI,209.0,121.46788787841797,25386.788566589355,0.25449837905670986,121.46788787841797,0.0
2019-06-03,SHOP,1230.0,26.5,32595.0,0.32675951287004074,26.5,0.0
2019-06-04,ROKU,111.0,93.5999984741211,10389.599830627441,0.10138643202267578,89.70999908447266,431.78993225097656
2019-06-04,MELI,24.0,551.7100219726562,13241.04052734375,0.1292120848945112,568.77001953125,-409.43994140625
2019-06-04,PAYC,91.0,203.7571258544922,18541.89845275879,0.18094026311872463,192.3712158203125,1036.1178131103516
2019-06-04,HEI,209.0,124.13545227050781,25944.309524536133,0.2531763510496813,121.46788787841797,557.5209579467773
2019-06-04,SHOP,1230.0,27.399999618530273,33701.999530792236,0.3288794121198184,26.5,1106.9995307922363
2019-06-05,ROKU,111.0,101.70999908447266,11289.809898376465,0.10534910376247016,89.70999908447266,1332.0
2019-06-05,MELI,24.0,569.1500244140625,13659.6005859375,0.1274624366960127,568.77001953125,9.1201171875
2019-06-05,PAYC,91.0,211.31198120117188,19229.39028930664,0.17943606235287649,192.3712158203125,1723.6096496582031
2019-06-05,HEI,209.0,126.0791015625,26350.5322265625,0.24588588990605156,121.46788787841797,963.7436599731445
2019-06-05,SHOP,1230.0,29.25200080871582,35979.96099472046,0.3357414055968757,26.5,3384.960994720459
2019-06-06,ROKU,111.0,100.25,11127.75,0.10306965682679985,89.70999908447266,1169.9401016235352
2019-06-06,MELI,24.0,581.6900024414062,13960.56005859375,0.12930827295268016,568.77001953125,310.07958984375
2019-06-06,PAYC,91.0,213.69053649902344,19445.838821411133,0.18011511168314415,192.3712158203125,1940.0581817626953
2019-06-06,HEI,209.0,125.52375793457031,26234.465408325195,0.24299407756919678,121.46788787841797,847.6768417358398
2019-06-06,SHOP,1230.0,29.70599937438965,36538.37923049927,0.3384330352762266,26.5,3943.3792304992676
2019-06-07,ROKU,111.0,101.87000274658203,11307.570304870605,0.10256807670725193,89.70999908447266,1349.7604064941406
2019-06-07,MELI,24.0,604.489990234375,14507.759765625,0.13159617639963336,568.77001953125,857.279296875
2019-06-07,PAYC,91.0,216.8489532470703,19733.2547454834,0.17899530419427673,192.3712158203125,2227.474105834961
2019-06-07,HEI,209.0,126.88231658935547,26518.404167175293,0.24054165832611815,121.46788787841797,1131.6156005859375
2019-06-07,SHOP,1230.0,30.5049991607666,37521.14896774292,0.34034474088655436,26.5,4926.14896774292
2019-06-10,ROKU,111.0,100.61000061035156,11167.710067749023,0.10100943118238437,89.70999908447266,1209.9001693725586
2019-06-10,MELI,24.0,616.4600219726562,14795.04052734375,0.13381782110399443,568.77001953125,1144.56005859375
2019-06-10,PAYC,91.0,216.32257080078125,19685.353942871094,0.17804960840947961,192.3712158203125,2179.5733032226562
2019-06-10,HEI,209.0,126.93190002441406,26528.76710510254,0.23994674458776236,121.46788787841797,1141.9785385131836
2019-06-10,SHOP,1230.0,30.67300033569336,37727.79041290283,0.3412393969987485,26.5,5132.790412902832
2019-06-11,ROKU,111.0,100.19999694824219,11122.199661254883,0.10156994002270575,89.70999908447266,1164.389762878418
2019-06-11,MELI,24.0,613.2999877929688,14719.19970703125,0.13441839536773004,568.77001953125,1068.71923828125
2019-06-11,PAYC,91.0,208.4459991455078,18968.58592224121,0.17322455927033806,192.3712158203125,1462.8052825927734
2019-06-11,HEI,209.0,125.89067840576172,26311.1517868042,0.2402781994845513,121.46788787841797,924.3632202148438
2019-06-11,SHOP,1230.0,30.67099952697754,37725.32941818237,0.344514535167882,26.5,5130.329418182373
2019-06-12,ROKU,111.0,104.86000061035156,11639.460067749023,0.1050952363214048,89.70999908447266,1681.6501693725586
2019-06-12,MELI,24.0,623.4099731445312,14961.83935546875,0.13509372717578094,568.77001953125,1311.35888671875
2019-06-12,PAYC,91.0,208.6116943359375,18983.664184570312,0.17140766514175945,192.3712158203125,1477.883544921875
2019-06-12,HEI,209.0,126.13858032226562,26362.963287353516,0.2380369742831853,121.46788787841797,976.1747207641602
2019-06-12,SHOP,1230.0,31.013999938964844,38147.21992492676,0.3444396105729417,26.5,5552.219924926758
2019-06-13,ROKU,111.0,104.97000122070312,11651.670135498047,0.10483327191120083,89.70999908447266,1693.860237121582
2019-06-13,MELI,24.0,635.5900268554688,15254.16064453125,0.13724586707559827,568.77001953125,1603.68017578125
2019-06-13,PAYC,91.0,213.25189208984375,19405.92218017578,0.17460040431491428,192.3712158203125,1900.1415405273438
2019-06-13,HEI,209.0,126.39640808105469,26416.84928894043,0.23767963839857956,121.46788787841797,1030.0607223510742
