adaptive_rebalance_policy,avg_rebalance_interval_months,rebalance_count,rebalanced_month_ratio,strategy_cagr,benchmark_cagr,excess_cagr,sharpe,sortino,max_dd,ir,beat_month_ratio,avg_turnover_monthly,avg_cash_weight,avg_stock_names,rebalance_interval_months,trade_cost_bps_per_side,starting_capital_usd,ending_capital_usd,months,benchmark_source,portfolio_mode,policy_mode,sleeve_test,sleeve_role,target_stock_names,weighting_mode,comparison_objective
False,1.0,83,1.0,0.4862020696210987,0.12431659548690965,0.36188547413418903,1.733861454092223,5.02686895700274,-0.21050634416333125,1.4650541658203646,0.6144578313253012,0.6672113088823353,0.08882132651327325,3.0,1,25.0,100000.0,1549548.6301364668,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,winner_take_all,0.6033816512900994
False,1.0,83,1.0,0.48838739903906103,0.12431659548690965,0.3640708035521514,1.7215370422445215,5.108594712299894,-0.21752715323491378,1.4546904114895558,0.6265060240963856,0.6481902918525119,0.09331069116453618,3.0,1,25.0,100000.0,1565376.800532233,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,score_power,0.6021221243306731
False,1.0,83,1.0,0.46584048563302205,0.12431659548690965,0.3415238901461124,1.8043054134801704,5.196639333938419,-0.18324877761349567,1.5710600628184075,0.6385542168674698,0.6216221305140851,0.08881256158493755,4.0,1,25.0,100000.0,1408531.0591900728,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,4,score_power,0.5998491860233637
False,1.0,83,1.0,0.4771454553237806,0.12431659548690965,0.35282885983687096,1.739328592176972,4.911323574422288,-0.19966271287843407,1.4322395910980907,0.6144578313253012,0.6640989871801718,0.08606024169317668,3.0,1,25.0,100000.0,1485402.7828511165,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,3,conviction_curve,0.5987363806880333
False,1.0,83,1.0,0.4612711779676919,0.12431659548690965,0.33695458248078225,1.8226640319907255,5.090371214919638,-0.18404236202164992,1.5506126291331774,0.6144578313253012,0.6303800114654922,0.08615142034404455,4.0,1,25.0,100000.0,1378440.930975495,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,4,conviction_curve,0.5949706686669888
False,1.0,83,1.0,0.4504215649975243,0.12431659548690965,0.32610496951061463,1.7788928371914892,5.041187998081406,-0.20450545891779237,1.483188815501043,0.6144578313253012,0.6539382082354469,0.07780438077400033,4.0,1,25.0,100000.0,1309187.6018239192,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,4,winner_take_all,0.5703260052126014
False,1.0,83,1.0,0.4322013897550998,0.12431659548690965,0.30788479426819015,1.7395560684287414,4.983522306404614,-0.16545588732328376,1.4769454168021208,0.6144578313253012,0.6337093251273448,0.09209150013422789,5.0,1,25.0,100000.0,1199577.4544843396,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,5,conviction_curve,0.5647091781624435
False,1.0,83,1.0,0.4300522685382939,0.12431659548690965,0.30573567305138427,1.6887762417358696,4.939931734929491,-0.15463276433074225,1.4696801442990555,0.6024096385542169,0.6257232471942584,0.09811763313266672,5.0,1,25.0,100000.0,1187182.2267917683,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,5,score_power,0.5626712363243276
False,1.0,83,1.0,0.43651760892807445,0.12431659548690965,0.3122010134411648,1.5527754978442891,4.638801612307277,-0.19530934937523237,1.1772301917119363,0.6024096385542169,0.7028570240782692,0.08173424712822121,2.0,1,25.0,100000.0,1224806.3566020725,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,conviction_curve,0.5405985879717392
False,1.0,83,1.0,0.43651760892807445,0.12431659548690965,0.3122010134411648,1.5527754978442891,4.638801612307276,-0.19530934937523237,1.177230191711936,0.6024096385542169,0.7028570240782692,0.08173424712822121,2.0,1,25.0,100000.0,1224806.3566020725,83,FRED:SP500 (fallback ^GSPC),concentrated_alpha,fixed_interval,future_early_concentrated,concentrated_alpha,2,winner_take_all,0.5405985879717392
