portfolio,official_metric_mode,status,valid_for_production,target_pass,cagr,cagr_target,cagr_gap_pp,max_dd,max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,completed,True,False,0.2186762246006584,0.35,13.1324,-0.2637127035822229,-0.25,1.3713,1.0421120791062564,2019-06-03,2026-06-12,7.025325119780972,401230.09607720864,0.059294899522204465,0.26855821022303483,18,2416,40872.689194436076,33,16,17,1697,0.5598114319387154,0.06152520268517045,69.57454331172657,2.816394611485266,0.3113005963734776,-0.13066122187190587,1.824301323467311
concentrated,broker_ledger_next_close,completed,True,False,0.28542036155453543,0.5,21.458,-0.42957117106860143,-0.25,17.9571,1.002462019026703,2019-06-03,2026-06-12,7.025325119780972,583549.642409167,0.0005256598680828079,0.00010989280591565863,4,536,63444.60960690022,8,4,4,326,0.5950920245398773,0.06920276101705683,53.3159509202454,3.494857890580707,0.4149710650345626,-0.22741284415373908,1.615740434646857
