ticker,position_pnl_usd,avg_weight,max_weight,days_held,sector,industry_group,primary_lane
BILL,-60995.773498535156,0.1615282752908604,0.3141623204623827,39,Information Technology,Software - Application,MARKET_LEADER
DDOG,-31852.79931640625,0.14849077592360796,0.2226351556581479,82,Information Technology,Software - Application,MARKET_LEADER
NVDA,-30292.093364715576,0.055508244174994656,0.0793610567668266,42,Information Technology,Semiconductors,MARKET_LEADER
BLD,-23063.669662475586,0.13461340151578235,0.2169064434708957,41,Consumer Discretionary,Construction & Engineering,MARKET_LEADER
TSLA,-18079.413665771484,0.0735191462939584,0.0807287376925285,43,Consumer Discretionary,Auto Manufacturers & Parts,MARKET_LEADER
ORLY,-15135.35366821289,0.057792550515638856,0.1010679902011368,41,Consumer Discretionary,Auto Manufacturers & Parts,QUALITY_COMPOUNDER
STLD,-13262.111999511719,0.01575551601749961,0.0233886336942312,42,Materials,Metals & Mining,MARKET_LEADER
DXCM,-12595.675506591793,0.12936301524351237,0.1706193495456164,42,Health Care,Medical Devices,MARKET_LEADER
MA,-12456.718749999996,0.04684660429518127,0.1098339060801697,123,Financials,Consumer Finance,QUALITY_COMPOUNDER
MLI,-11741.50080871582,0.07428923193107494,0.1078194145572897,42,Industrials,Other,MARKET_LEADER
XPO,-11219.850521087646,0.18265000954491464,0.2307001791291995,33,Industrials,Transportation & Logistics,MARKET_LEADER
NTLA,-10401.72119140625,0.17033692564073394,0.1788985471263156,18,Health Care,Biotechnology,MARKET_LEADER
MRNA,-10372.441162109375,0.09630922866218973,0.1297844772644513,39,Health Care,Biotechnology,MARKET_LEADER
WCC,-6250.764633178711,0.04785773744351659,0.0691888747854316,65,Industrials,Capital Goods - Machinery,QUALITY_COMPOUNDER
LOPE,-3880.540023803711,0.07449580493866363,0.0905318633004374,42,Consumer Discretionary,Other,MARKET_LEADER
ON,-3774.5394897460938,0.1141345111457061,0.1200311367206627,13,Information Technology,Semiconductors,MARKET_LEADER
RKLB,-2889.6298484802264,0.06423060246016384,0.0760446473384632,22,Industrials,Aerospace & Defense,MARKET_LEADER
FANG,-2711.271125793457,0.02772126476125291,0.0388597762548783,43,Energy,Oil Gas & Consumable Fuels,QUALITY_COMPOUNDER
ONTO,-2461.3494415283203,0.11716855762652502,0.1202741945388183,13,Information Technology,Semiconductors,MARKET_LEADER
DKS,-2385.2166748046857,0.07602713646110863,0.0789612121227591,18,Consumer Discretionary,Specialty Retail,MARKET_LEADER
CTAS,-1835.2136840820312,0.017968423265976172,0.023288660834334,44,Industrials,Commercial Services,QUALITY_COMPOUNDER
NET,-1830.0766601562427,0.2773113039066775,0.2921092438570049,21,Information Technology,Software - Infrastructure,MARKET_LEADER
MSI,-878.7612304687536,0.11187253447916422,0.1144025209980806,22,Information Technology,Communication Equipment,QUALITY_COMPOUNDER
TXRH,-792.4335784912109,0.11286649952592417,0.1174352882482589,22,Consumer Discretionary,Hotels Restaurants & Leisure,QUALITY_COMPOUNDER
BRKR,-730.1626853942871,0.018845714327250875,0.0212662623115006,23,Health Care,Medical Devices,QUALITY_COMPOUNDER
JBL,-692.3742141723633,0.12369481871525133,0.2918292666690644,123,Information Technology,Tech Hardware & Storage,MARKET_LEADER
DAL,-575.4021148681641,0.09396670696243203,0.098676817002798,20,Industrials,Transportation & Logistics,MARKET_LEADER
RGLD,-493.45664978027344,0.01846161962623397,0.0203557325112171,21,Materials,Metals & Mining,MARKET_LEADER
CHE,-390.14959716796875,0.06284810748557684,0.064006822427291,22,Health Care,Diagnostics & Research,QUALITY_COMPOUNDER
PLNT,-387.24005126953125,0.04012118925490743,0.0420300622868836,19,Consumer Discretionary,Specialty Retail,QUALITY_COMPOUNDER
