ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
BILL,-60995.773498535156,-0.6029481962469093
DDOG,-31852.79931640625,-0.3148675193651437
BLD,-23063.669662475586,-0.22798625583718818
ORLY,-15135.35366821289,-0.149614205548638
DXCM,-12888.94053649902,-0.12740822850951122
MA,-12456.718749999996,-0.12313568089513494
MLI,-11741.50080871582,-0.11606569320769167
XPO,-11219.850521087646,-0.11090913756528076
NTLA,-10401.72119140625,-0.10282186240940562
MRNA,-10372.441162109375,-0.10253242693153547
AMD,-9004.860061645508,-0.08901377620459855
NVDA,-8677.49034500122,-0.08577769985315635
WCC,-6250.764633178711,-0.06178931825218332
LOPE,-3880.540023803711,-0.03835945465750306
ON,-3774.5394897460938,-0.037311630732247254
RKLB,-2889.6298484802264,-0.028564226749320992
FANG,-2711.271125793457,-0.026801136227459294
TSLA,-2528.2033081054688,-0.024991495917405987
ONTO,-2461.3494415283203,-0.02433063999325263
DKS,-2385.2166748046857,-0.023578061384303527
STLD,-2340.9672851562505,-0.023140652558359356
CTAS,-1835.2136840820312,-0.018141236959171934
NET,-1830.0766601562427,-0.018090457058656275
MSI,-878.7612304687536,-0.008686626440692225
TXRH,-792.4335784912109,-0.007833270559446775
BRKR,-730.1626853942871,-0.007217717701962707
JBL,-692.3742141723633,-0.006844175581659332
DAL,-575.4021148681641,-0.0056878968390285
RGLD,-493.45664978027344,-0.004877859232627061
CHE,-390.14959716796875,-0.0038566605911561145
PLNT,-387.24005126953125,-0.0038278994926284823
CW,-100.27677917480469,-0.000991244141372355
LOW,-81.20657348632835,-0.0008027336026511681
DPZ,-54.12506103515648,-0.000535030643126203
AFG,-41.198974609375,-0.0004072552244712732
RRX,-40.21099853515619,-0.00039748900039183533
CARR,66.81260299682253,0.0006604480302961064
FDS,101.8645935058596,0.001006939815547346
FTNT,113.38966369628906,0.0011208660744397813
BWA,724.0350761413574,0.007157145784689643
ANET,1250.9399681091309,0.012365643619597355
MOS,1480.4073333740234,0.014633947242098683
PCTY,3030.2792053222656,0.029954557113985227
INTU,3294.4121704101562,0.032565533018289745
CPRT,4555.680233001709,0.04503327069427272
BKR,5414.801063537598,0.05352575017962921
CHRW,6075.072937011719,0.060052591505009724
AVGO,15653.618343353271,0.1547372941354544
SQM,18150.74829864502,0.17942162742575102
BLDR,18346.859695434574,0.18136020457914287
LPX,19036.26968383789,0.18817507854729354
LRCX,27363.517238616943,0.270490599851013
ACLS,32364.850692749023,0.3199291889865485
