ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
ADI,29.0,416.5199890136719,2026-05-08,12079.079681396484,351.30999755859375,0.030183317759868475
AEM,3.0,193.2100067138672,2026-05-08,579.6300201416016,178.03512124454275,0.001448384938468282
AMAT,84.0,435.44000244140625,2026-05-08,36576.960205078125,305.55113002232144,0.09139885170724364
APH,98.0,128.02999877929688,2026-05-08,12546.939880371094,134.8933868408203,0.03135241121941367
ATI,47.0,158.38999938964844,2026-05-08,7444.329971313477,166.4199981689453,0.018601961652718386
BKNG,62.0,165.92999267578125,2026-05-08,10287.659545898438,166.81065368652344,0.02570690029948519
CNQ,9.0,44.529998779296875,2026-05-08,400.7699890136719,36.17146301269531,0.001001447812754237
COST,11.0,1008.7899780273438,2026-05-08,11096.689758300781,1001.3170776367188,0.027728512593001468
CSCO,8.0,96.56999969482422,2026-05-08,772.5599975585938,80.13287322547603,0.0019304801781205208
ETR,170.0,111.58999633789062,2026-05-08,18970.299377441406,106.05122375488281,0.04740316226169238
FTI,191.0,70.1500015258789,2026-05-08,13398.650291442871,67.44703674316406,0.03348067319423621
GOOG,48.0,397.04998779296875,2026-05-08,19058.3994140625,320.5096785254862,0.04762330746067522
GTLS,49.0,207.42999267578125,2026-05-08,10164.069641113281,207.05999755859375,0.025398072684597647
KO,161.0,78.41999816894531,2026-05-08,12625.619705200195,79.67218017578125,0.03154901710469193
LRCX,84.0,294.04998779296875,2026-05-08,24700.198974609375,155.2250529081031,0.06172108919281669
MU,48.0,746.8099975585938,2026-05-08,35846.8798828125,237.43863346891584,0.08957452014073286
NOC,1.0,549.52001953125,2026-05-08,549.52001953125,682.8330688476562,0.0013731457861368519
PBA,9.0,45.720001220703125,2026-05-08,411.4800109863281,40.50447082519531,0.0010282101162527172
PH,1.0,878.8300170898438,2026-05-08,878.8300170898438,948.0860595703125,0.0021960287010596717
PR,555.0,19.719999313354492,2026-05-08,10944.599618911743,18.6336612701416,0.02734846832419909
RGLD,41.0,238.91000366210938,2026-05-08,9795.310150146484,303.7432556152344,0.024476613005019528
SCCO,75.0,185.2899932861328,2026-05-08,13896.749496459961,218.85000610351562,0.034725328166098315
STE,2.0,207.4499969482422,2026-05-08,414.8999938964844,263.5697021484375,0.0010367560016705897
SYY,5.0,72.44000244140625,2026-05-08,362.20001220703125,82.2400131225586,0.0009050687924437262
TPR,7.0,133.47999572753906,2026-05-08,934.3599700927734,116.64021918114196,0.002334787469184978
VRT,48.0,339.9700012207031,2026-05-08,16318.56005859375,257.68865966796875,0.04077697114546136
VZ,307.0,47.220001220703125,2026-05-08,14496.54037475586,49.239402770996094,0.03622409124628215
GOOGL,0.0,400.79998779296875,2026-05-08,0.0,,0.0
AMZN,0.0,272.67999267578125,2026-05-08,0.0,,0.0
GEV,0.0,1040.1500244140625,2026-05-08,0.0,,0.0
TSM,0.0,411.67999267578125,2026-05-08,0.0,,0.0
TXN,0.0,287.79998779296875,2026-05-08,0.0,,0.0
GLW,0.0,186.94000244140625,2026-05-08,0.0,,0.0
FIX,0.0,1952.3699951171875,2026-05-08,0.0,,0.0
PWR,0.0,745.0,2026-05-08,0.0,,0.0
CBOE,0.0,348.55999755859375,2026-05-08,0.0,,0.0
NXPI,0.0,294.75,2026-05-08,0.0,,0.0
MLI,0.0,140.8300018310547,2026-05-08,0.0,,0.0
AKAM,0.0,147.7100067138672,2026-05-08,0.0,,0.0
ON,0.0,103.19999694824219,2026-05-08,0.0,,0.0
