rebalance_date,net_return,drawdown,regime_state
2022-03-31,-0.1540293000609151,-0.20315409799095507,
2022-05-31,-0.1468042986365212,-0.31811491990132135,
2025-01-31,-0.14205623838541606,-0.15205401336431312,
2022-11-30,-0.12882482206037704,-0.3561742441011386,
2025-02-28,-0.10792985106292645,-0.24357269741130894,
2021-12-31,-0.1023044879863342,-0.11496858836913726,
2023-03-31,-0.09115074228778236,-0.32186820120814297,
2019-08-30,-0.09096301938624116,-0.09096301938624118,
2020-02-28,-0.09083934259552334,-0.11506546571105514,
2021-08-31,-0.06518340745719219,-0.0651834074571922,
