study,arm,metric_mode,cagr,max_dd,sharpe,delta_cagr_pp,delta_max_dd_pp,delta_windows.oos.cagr_pp,delta_windows.oos2.cagr_pp,ab_verdict,target_35_50_25_restored,mdd_pass_25,cagr_50_pass,both_oos_nonnegative,arm_metrics_path
run287_best_path_source_broker_ab,w4_sec_top_quintile_tilt10,broker_ledger_next_close_cash_carry,0.4956290053586112,-0.222562987674422,1.5339932888472372,1.1576181547898745,0.698904816805912,-3.058808336490681,-0.2822846632423381,reject_oos_cagr_worse,False,True,False,False,outputs\run287_best_path_source_broker_ab\signal_replays\w4_sec_score\concentrated\arm_metrics.csv
run287_best_path_source_broker_ab,w4_sec_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.493738865859713,-0.2260271590771917,1.517474985557964,0.9686042049000588,0.3524876765289453,-1.212289253423915,0.0018810798046775,reject_oos_cagr_worse,False,True,False,False,outputs\run287_best_path_source_broker_ab\signal_replays\w4_sec_score\concentrated\arm_metrics.csv
run287_evidence_column_broker_ab_cash_carry,evidence_fusion_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.4878983163108357,-0.2227013992005595,1.5139561948749467,0.3845492500123226,0.6850636641921648,-2.9369664854263178,-1.6030184946671522,reject_oos_cagr_worse,False,True,False,False,outputs\run287_evidence_column_broker_ab_cash_carry\evidence_fusion_score\concentrated\arm_metrics.csv
run287_evidence_column_broker_ab_cash_carry,sec_combined_evidence_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.4871035939666885,-0.2282167395277642,1.495363366143373,0.3050770155976101,0.133529631471696,-0.4152796592768126,-0.6348537240006946,reject_oos_cagr_worse,False,True,False,False,outputs\run287_evidence_column_broker_ab_cash_carry\sec_combined_evidence_score\concentrated\arm_metrics.csv
run287_evidence_column_broker_ab_cash_carry,smart_money_shadow_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.4860734775894535,-0.2258015282791805,1.5100143745016932,0.2020653778741055,0.3750507563300642,-2.0743380615001694,-1.2157121945738592,reject_oos_cagr_worse,False,True,False,False,outputs\run287_evidence_column_broker_ab_cash_carry\smart_money_shadow_score\concentrated\arm_metrics.csv
run287_w4_consensus_broker_ab_cash_carry,w4_consensus_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.4840528238107124,-0.2295520358424811,1.4875164756773855,0.0,0.0,0.0,0.0,blocked_no_signal,False,True,False,True,outputs\run287_w4_consensus_broker_ab_cash_carry\arm_metrics.csv
run287_w4_consensus_broker_ab_cash_carry,w4_consensus_top_quintile_tilt10,broker_ledger_next_close_cash_carry,0.4840528238107124,-0.2295520358424811,1.4875164756773855,0.0,0.0,0.0,0.0,blocked_no_signal,False,True,False,True,outputs\run287_w4_consensus_broker_ab_cash_carry\arm_metrics.csv
run287_w4_consensus_broker_ab_cash_carry,w4_consensus_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.4840528238107124,-0.2295520358424811,1.4875164756773855,0.0,0.0,0.0,0.0,blocked_no_signal,False,True,False,True,outputs\run287_w4_consensus_broker_ab_cash_carry\signal_replays\w4_consensus_score\concentrated\arm_metrics.csv
run287_w4_consensus_broker_ab_cash_carry,w4_consensus_top_quintile_tilt10,broker_ledger_next_close_cash_carry,0.4840528238107124,-0.2295520358424811,1.4875164756773855,0.0,0.0,0.0,0.0,blocked_no_signal,False,True,False,True,outputs\run287_w4_consensus_broker_ab_cash_carry\signal_replays\w4_consensus_score\concentrated\arm_metrics.csv
run287_actual_results_onepass_ab_cash_carry,actual_results_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.479815201012058,-0.2319197454381594,1.4952677246258406,-0.4237622798654472,-0.2367709595678224,-4.648324752281052,-1.0795366575605536,reject_oos_cagr_worse,False,True,False,False,outputs\run287_actual_results_onepass_ab_cash_carry\concentrated\arm_metrics.csv
run287_evidence_column_broker_ab_cash_carry,evidence_support_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.4793135256325946,-0.2230932345525133,1.491775902851967,-0.4739298178117801,0.6458801289967897,-4.47462980645188,-2.4922628535348545,reject_oos_cagr_worse,False,True,False,False,outputs\run287_evidence_column_broker_ab_cash_carry\evidence_support_score\concentrated\arm_metrics.csv
run287_best_path_source_broker_ab,macro_regime_top_quintile_tilt05,broker_ledger_next_close_cash_carry,0.4776080926653709,-0.2312772470995361,1.4879924475457285,-0.6444731145341498,-0.1725211257054937,-1.7585764110362057,-0.5420587892923656,reject_oos_cagr_worse,False,True,False,False,outputs\run287_best_path_source_broker_ab\signal_replays\macro_regime_score\concentrated\arm_metrics.csv
