portfolio,official_metric_mode,target_type,target_contract_status,status,valid_for_production,verdict_status,target_pass,cagr,cagr_target,canonical_cagr_target,cagr_gap_pp,max_dd,max_dd_target,canonical_max_dd_target,max_dd_gap_pp,sharpe,start_date,end_date,years,broker_ledger_trading_days_estimate,broker_ledger_actual_trading_days,data_readiness_status,data_readiness_policy_replay_ready,ending_capital_usd,avg_cash_weight,latest_cash_weight,latest_position_count,broker_trade_count,total_fees_usd,order_preview_count,order_preview_buy_count,order_preview_sell_count,journal_trade_count,journal_win_rate,journal_avg_realized_return,journal_avg_holding_days,journal_profit_factor,legacy_cagr,legacy_max_dd,legacy_sharpe
main,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,False,invalid_window,False,0.3500822982419973,0.3,0.35,0.0,-0.260506696589315,-0.25,-0.25,1.0507,1.2912352207008047,2019-06-03,2026-06-15,7.0335386721423685,1769,1769,blocked,False,825835.99934932,0.26665424595335424,0.14200161032111847,13,1680,40994.43837383986,8,4,4,1138,0.5843585237258347,0.11560942853951349,60.08523725834798,3.8387862708189826,0.33219761062103803,-0.18654394278288633,1.8168617181270432
concentrated,broker_ledger_next_close,interim_operating_gate,unresolved_user_decision_required,completed,False,invalid_window,False,0.450012338209671,0.5,0.5,4.9988,-0.2581903349486949,-0.28,-0.25,0.0,1.411290321568764,2019-06-03,2026-06-15,7.0335386721423685,1750,1750,blocked,False,1364627.3657360529,0.4228938877524497,0.0001347940262161758,5,597,42751.31418509722,4,2,2,396,0.5631313131313131,0.12614899286457648,53.42424242424242,4.013573845168149,0.5034562499355868,-0.2667727780171453,1.7111522543095041
