signal_date,effective_next_trading_day,portfolio,crisis_state,prior_cash_weight,target_cash_weight,policy_cash_floor,equity_drawdown,equity_drawdown_cash_floor,base_cash_floor,turnover_from_cash_action,estimated_cost_usd,cash_action
2019-06-19,2019-06-20,main,GREEN,0.5275995446837236,0.4973825490629828,0.03,0.0,0.0,0.4973825490629828,0.030216995620740816,7.993078452171971,RELEASE_CASH
2019-07-01,2019-07-02,main,GREEN,0.4973825490629828,0.39738254906298276,0.03,-0.01880522435768317,0.0,0.0383787158369221,0.10000000000000003,25.99525223062744,RELEASE_CASH
2019-07-02,2019-07-03,main,GREEN,0.39738254906298276,0.2973825490629828,0.03,-0.01595630795520564,0.0,0.0381865057636632,0.09999999999999998,26.07072990570768,RELEASE_CASH
2019-07-03,2019-07-05,main,GREEN,0.2973825490629828,0.19738254906298278,0.03,-0.01058993510952122,0.0,0.0378906057079199,0.1,26.212903732097903,RELEASE_CASH
2019-07-05,2019-07-08,main,GREEN,0.19738254906298278,0.09738254906298277,0.03,-0.008947584067822034,0.0,0.0378040332122954,0.1,26.25641530659875,RELEASE_CASH
2019-07-08,2019-07-09,main,GREEN,0.09738254906298277,0.0378302533474545,0.03,-0.00983955189891672,0.0,0.0378302533474545,0.059552295715528274,15.622225093492693,RELEASE_CASH
2019-08-02,2019-08-05,main,WATCH,0.0378302533474545,0.15,0.15,-0.027389876607764818,0.0,0.0395515425266221,0.1121697466525455,29.33914477683975,RAISE_CASH
2019-11-01,2019-11-04,main,GREEN,0.15,0.04999999999999999,0.03,-0.03361977623565848,0.0,0.0333382453230365,0.1,25.988484788458482,RELEASE_CASH
2020-02-04,2020-02-05,main,WATCH,0.04999999999999999,0.15,0.15,0.0,0.0,0.0346234591904641,0.1,29.694696023216956,RAISE_CASH
2020-02-06,2020-02-07,main,GREEN,0.15,0.04999999999999999,0.03,-0.020686169258020803,0.0,0.0354463022328438,0.1,29.080426515215212,RELEASE_CASH
2020-02-25,2020-02-26,main,WATCH,0.04999999999999999,0.35,0.03,-0.10053671090974847,0.35,0.0361400979433136,0.3,85.58026246443775,RAISE_CASH
