ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
TSLA,25015.319274902344,0.1048154138127974,0.0,0.0,-25015.319274902344
NET,24691.67921447754,0.1034593460973691,0.0,0.0,-24691.67921447754
SAIA,22582.97946166992,0.0946237907815021,0.0,0.0,-22582.97946166992
NVDA,21559.59545135498,0.0903357616201802,0.0,0.0,-21559.59545135498
ENPH,20348.2392578125,0.0852601197982412,0.0,0.0,-20348.2392578125
DDOG,20030.400634765625,0.0839283603897666,0.0,0.0,-20030.400634765625
U,16887.75,0.0707605002024896,0.0,0.0,-16887.75
BE,16202.950412750244,0.0678911563685122,0.0,0.0,-16202.950412750244
FSLR,13004.400329589844,0.054489074752717,0.0,0.0,-13004.400329589844
SNOW,12940.949798583984,0.0542232139179647,0.0,0.0,-12940.949798583984
DXCM,10258.8798828125,0.0429852095172578,0.0,0.0,-10258.8798828125
MDB,9686.09033203125,0.0405851932259199,0.0,0.0,-9686.09033203125
PCTY,8976.659637451172,0.0376126438450086,0.0,0.0,-8976.659637451172
BILL,7636.080322265625,0.0319955508099008,0.0,0.0,-7636.080322265625
PAYC,2752.037109375,0.0115311703711381,0.0,0.0,-2752.037109375
