ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
PLTR,-57128.30658721924,-0.5644490941925139
TPR,-29236.194557189945,-0.2888645668193826
BROS,-25387.26852798462,-0.25083573416910815
APP,-22304.061279296875,-0.22037249024164093
CORT,-5793.638381958008,-0.057243320030543186
HUBS,-3888.6392822265625,-0.03842121448398162
LI,-2413.040084838867,-0.023841741012541075
UBER,-2217.5994873046875,-0.02191071461185145
GOOGL,-2053.250381469723,-0.020286883809545662
KVUE,-1741.018886566162,-0.017201919542179863
NRG,-1218.8286437988263,-0.012042484104054466
GTLS,-856.9201354980432,-0.008466692313708587
AMZN,-250.920166015625,-0.0024791853440627033
SAN,1082.3319768905603,0.0106938458439821
