gate,check,passed,severity,observed,threshold,reason,evidence
broker_accounting,audit_artifact_present,True,hard,True,True,research/broker_accounting_audit.json must exist so the challenger can read known-bias flags.,research/broker_accounting_audit.json
broker_accounting,delisted_cost_basis_fallback_eliminated,False,hard,False,True,"account_equity falls back to state.cost_basis when price_at_or_before returns None or <=0; positions that delist to zero are silently held at full purchase value, understating MaxDD.",tools/run_broker_ledger_replay.py:313-315
broker_accounting,survivorship_coverage_audited,False,hard,False,True,"The price cache must include historical R1000 constituents that have since been delisted or acquired. Without this audit, broker-ledger metrics over 7+ years can only see survivors, inflating CAGR and hiding MaxDD.",tools/audit_data_readiness.py (no delisted-coverage field present)
broker_accounting,multi_day_fill_date_stamping_corrected,False,soft,False,True,"When per-ticker fill dates span multiple days, every trade is stamped with min(fill_dt_by_ticker.values()) instead of each ticker's actual_dt. Cash is debited earlier than the trade could have happened in reality. Minor for liquid R1000 universe but should be corrected.",tools/run_broker_ledger_replay.py:552-611
broker_accounting,sharpe_uses_excess_return,False,soft,False,True,"Sharpe is computed with risk_free=0. Over 2019-2026 the average T-bill yield is ~2-3%, so reported Sharpe is overstated by ~0.20-0.30. Sharpe-based gates inherit this bias until risk-free series is subtracted.",tools/run_broker_ledger_replay.py:394
schema,policy_valid,True,hard,[],valid proposal-only schema,Policy must be proposal-only and keep production activation disabled.,
schema,production_activation_disabled,True,hard,False,False,AutoLearning policy cannot directly change production.,
schema,human_approval_required,True,hard,True,True,Capital allocation and execution policies require human approval.,
main,feature_gate_candidate_backtest_executed,False,hard,candidate_only,full candidate rebuild/backtest,Feature-gate candidate currently has dry-run/proxy metrics only.,outputs/experiments/E1_auto_feature_gates_on/metrics.json
main,main_cagr_floor,False,hard,0.20165834588806963,0.3206595355775701,Candidate main CAGR must not regress beyond the policy gate.,outputs/experiments/E1_auto_feature_gates_on/metrics.json
main,main_sharpe_floor,False,hard,1.0971959712745438,1.764916769060813,Candidate main Sharpe must not regress beyond the policy gate.,outputs/experiments/E1_auto_feature_gates_on/metrics.json
main,main_max_dd_floor,False,hard,-0.27307967491398366,-0.16841809942309327,Candidate main MaxDD must not worsen beyond the policy gate.,outputs/experiments/E1_auto_feature_gates_on/metrics.json
main_v2,main_v2_historical_backtest_exists,False,hard,latest_snapshot_only,83-month main_v2 backtest,"Main v2 currently has latest shadow output, not historical performance.",outputs/main_v2/main_v2_audit_latest.json
main_v2,main_v2_cap_audit,True,soft,"{'positions': 11, 'cash': 0.07820306303913749}","cap<=15%, positions>0",Latest shadow construction is internally useful but not enough for promotion.,outputs/main_v2/main_v2_audit_latest.json
concentrated,concentrated_cagr_floor,True,hard,0.5095440569967113,0.3,Standalone concentrated historical CAGR must clear the policy floor.,cloud_results/full_rebuild/latest_global_alpha_universe/concentrated_backtest_metrics.json
concentrated,concentrated_max_dd_floor,True,hard,-0.18520078824589115,-0.25,Standalone concentrated MaxDD must clear the policy floor.,cloud_results/full_rebuild/latest_global_alpha_universe/concentrated_backtest_metrics.json
concentrated,single_name_and_sector_cap_audit,False,hard,2,0,Latest concentrated policy audit found cap violations that must be resolved before more capital.,outputs/concentrated_policy/policy_audit_latest.json
orchestrator,orchestrator_historical_backtest_exists,False,hard,snapshot_report_only,83-month orchestrator backtest,Orchestrator balanced currently reports latest snapshot only.,outputs/experiments/E5_orchestrator_balanced/metrics.json
orchestrator,snapshot_cash_floor,True,soft,0.19999999999999996,0.25,"Latest snapshot cash is within the proposed max average cash threshold, but historical cash drag is unknown.",outputs/experiments/E5_orchestrator_balanced/metrics.json
alpha_sprint,alpha_sprint_historical_backtest_exists,False,hard,"{'alpha_sprint_status': 'not_backtested_missing_historical_scored_snapshot', 'weekly_leader_available': False}",weekly/historical alpha sprint or weekly leader-entry broker replay,Alpha Sprint can remain candidate-only until bull/strong-bull historical tests exist; weekly leader entry broker replay can now serve as the first counterfactual bridge.,"outputs/weekly_leader_broker_replay/main/metrics.json,outputs/weekly_leader_broker_replay/concentrated/metrics.json"
weekly_leader_entry,weekly_leader_broker_replay_available,False,soft,"{'main_status': None, 'main_cagr': None, 'concentrated_status': None, 'concentrated_cagr': None}",completed account-like replay,"New-leader entry ideas should be judged by broker-ledger metrics, not latest snapshot recommendations.","outputs/weekly_leader_broker_replay/main/metrics.json,outputs/weekly_leader_broker_replay/concentrated/metrics.json"
stress,stress_windows_backtested,False,hard,not_available,2020/2022/momentum/rate/vix stress windows,Policy challenger needs monthly equity and allocation series before stress gates can pass.,
cost,cost_sensitivity_backtested,False,hard,"{'main': {'schema_version': None, 'completed_levels': [], 'breakeven_cost_bps': None}, 'concentrated': {'schema_version': None, 'completed_levels': [], 'breakeven_cost_bps': None}}","{'cost_bps_levels_required': [25, 50, 75], 'main_summary_path': 'outputs/cost_sensitivity/main/summary.json', 'concentrated_summary_path': 'outputs/cost_sensitivity/concentrated/summary.json'}",Cost sensitivity sidecar must run for both main and concentrated target books and emit one completed level per required cost_bps step.,"outputs/cost_sensitivity/main/summary.json,outputs/cost_sensitivity/concentrated/summary.json"
stability,rolling_3y_5y_backtested,False,hard,not_available,rolling 3y and 5y pass,Rolling stability cannot pass until full challenger return series exists.,
