portfolio,crisis_end_date,cash_normalized_date,reentry_cash_normalization_days
concentrated,2020-06-30,2020-06-30,0
concentrated,2020-10-30,2020-12-31,62
concentrated,2023-06-30,2023-07-31,31
concentrated,2023-11-30,2023-11-30,0
concentrated,2025-05-30,2025-07-31,62
main,2020-10-30,2021-06-30,243
main,2023-06-30,2023-08-31,62
main,2023-11-30,2024-03-28,119
main,2025-05-30,2025-06-30,31
