portfolio,client_order_id,broker_order_id,ticker,side,submitted_qty,filled_qty,remaining_qty,avg_fill_price,fees_usd,fill_status,submitted_at,last_update_at,notes
main,r1k-M-20260513-S-MU-12f5f84ae59f,,MU,SELL,56.0,,,,,pending,,,
main,r1k-M-20260513-S-AMAT-c1045832d2fb,,AMAT,SELL,62.0,,,,,pending,,,
main,r1k-M-20260513-S-LRCX-d661fb63878b,,LRCX,SELL,82.0,,,,,pending,,,
main,r1k-M-20260513-S-BE-db4cbda00c3b,,BE,SELL,79.0,,,,,pending,,,
main,r1k-M-20260513-S-WDC-60236d05aaf7,,WDC,SELL,46.0,,,,,pending,,,
main,r1k-M-20260513-S-GOOG-527790269169,,GOOG,SELL,52.0,,,,,pending,,,
main,r1k-M-20260513-S-ETR-c0c9175b3288,,ETR,SELL,168.0,,,,,pending,,,
main,r1k-M-20260513-S-SCCO-51baeab20afa,,SCCO,SELL,74.0,,,,,pending,,,
main,r1k-M-20260513-S-KO-b48217691dd2,,KO,SELL,170.0,,,,,pending,,,
main,r1k-M-20260513-S-RGLD-573bbce50d5c,,RGLD,SELL,50.0,,,,,pending,,,
main,r1k-M-20260513-S-APH-a45e01867039,,APH,SELL,97.0,,,,,pending,,,
main,r1k-M-20260513-S-VZ-5f9c6ae881ba,,VZ,SELL,251.0,,,,,pending,,,
main,r1k-M-20260513-S-ATI-b7f9d7810641,,ATI,SELL,64.0,,,,,pending,,,
main,r1k-M-20260513-S-BKNG-192d140ecce5,,BKNG,SELL,64.0,,,,,pending,,,
main,r1k-M-20260513-S-ADI-bbbfc41b26c6,,ADI,SELL,22.0,,,,,pending,,,
main,r1k-M-20260513-S-THC-b24ef4eb0cfb,,THC,SELL,45.0,,,,,pending,,,
main,r1k-M-20260513-S-PR-792620d0ba3e,,PR,SELL,157.0,,,,,pending,,,
main,r1k-M-20260513-B-GOOGL-bb6ebd28db17,,GOOGL,BUY,149.0,,,,,pending,,,
main,r1k-M-20260513-B-GEV-4dd391b59acf,,GEV,BUY,56.0,,,,,pending,,,
main,r1k-M-20260513-B-FIX-56feafa46f50,,FIX,BUY,12.0,,,,,pending,,,
main,r1k-M-20260513-B-MRVL-590e04179bd6,,MRVL,BUY,137.0,,,,,pending,,,
main,r1k-M-20260513-B-ARM-372d92f4f98c,,ARM,BUY,110.0,,,,,pending,,,
main,r1k-M-20260513-B-RKLB-d51dd3480122,,RKLB,BUY,189.0,,,,,pending,,,
main,r1k-M-20260513-B-UMC-f8283674ad44,,UMC,BUY,1437.0,,,,,pending,,,
main,r1k-M-20260513-B-FTI-b3bab4612933,,FTI,BUY,313.0,,,,,pending,,,
main,r1k-M-20260513-B-CBOE-0dcd00070261,,CBOE,BUY,61.0,,,,,pending,,,
main,r1k-M-20260513-B-TKR-c76a17dd3669,,TKR,BUY,149.0,,,,,pending,,,
main,r1k-M-20260513-B-STM-7235b2ec6ae5,,STM,BUY,272.0,,,,,pending,,,
main,r1k-M-20260513-B-ON-58255703e111,,ON,BUY,149.0,,,,,pending,,,
main,r1k-M-20260513-B-HPE-c415cc57fb3b,,HPE,BUY,537.0,,,,,pending,,,
main,r1k-M-20260513-B-MLI-a3c5aa651415,,MLI,BUY,123.0,,,,,pending,,,
main,r1k-M-20260513-B-NXPI-48c8a56f5fa1,,NXPI,BUY,57.0,,,,,pending,,,
main,r1k-M-20260513-B-VRT-e088c1b6e982,,VRT,BUY,9.0,,,,,pending,,,
concentrated,r1k-C-20260513-S-PR-6a56884558d4,,PR,SELL,19583.0,,,,,pending,,,
concentrated,r1k-C-20260513-S-ETR-bfd0d9eb22e2,,ETR,SELL,1728.0,,,,,pending,,,
concentrated,r1k-C-20260513-S-THC-142ad8dd2985,,THC,SELL,779.0,,,,,pending,,,
concentrated,r1k-C-20260513-B-MU-2dbd08f3b7d5,,MU,BUY,462.0,,,,,pending,,,
concentrated,r1k-C-20260513-B-GLW-96d9b41ecc46,,GLW,BUY,899.0,,,,,pending,,,
concentrated,r1k-C-20260513-B-WDC-57a296e975e6,,WDC,BUY,369.0,,,,,pending,,,
