date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd
2019-06-03,HEI,190.0,121.5122299194336,23087.323684692383,0.23113919549964287,121.5122299194336,0.0
2019-06-03,SBAC,115.0,199.46424865722656,22938.388595581055,0.22964812892349898,199.46424865722656,0.0
2019-06-04,HEI,107.0,124.1807632446289,13287.341667175293,0.13241463322018793,121.5122299194336,285.53306579589844
2019-06-04,SBAC,67.0,199.50099182128906,13366.566452026367,0.13320414560654575,199.46424865722656,2.4617919921875
2019-06-05,HEI,107.0,126.12510681152344,13495.386428833008,0.13394273454347094,121.5122299194336,493.5778274536133
2019-06-05,SBAC,67.0,202.49169921875,13566.94384765625,0.13465294735616817,199.46424865722656,202.8391876220703
2019-06-06,HEI,107.0,125.56959533691406,13435.946701049805,0.13336963347845232,121.5122299194336,434.13809967041016
2019-06-06,SBAC,67.0,203.18894958496094,13613.659622192383,0.13513367048191252,199.46424865722656,249.55496215820312
2019-06-07,HEI,107.0,126.92864990234375,13581.365539550781,0.13469920964303084,121.5122299194336,579.5569381713867
2019-06-07,SBAC,67.0,202.28994750976562,13553.426483154297,0.13442211167347695,199.46424865722656,189.3218231201172
2019-06-10,HEI,107.0,126.97825622558594,13586.673416137695,0.13465939365122181,121.5122299194336,584.8648147583008
2019-06-10,SBAC,67.0,203.24400329589844,13617.348220825195,0.13496341587013244,199.46424865722656,253.24356079101562
2019-06-11,HEI,107.0,125.9366226196289,13475.218620300293,0.1335615210254017,121.5122299194336,473.41001892089844
2019-06-11,SBAC,67.0,204.83116149902344,13723.68782043457,0.13602425838299118,199.46424865722656,359.5831604003906
2019-06-12,HEI,185.0,126.18463134765625,23344.156799316406,0.23092440111065157,123.48221538646801,499.9469528198242
2019-06-12,SBAC,112.0,208.11546325683594,23308.931884765625,0.23057595021706215,202.94018309456962,579.6313781738281
2019-06-13,HEI,263.0,126.44256591796875,33254.39483642578,0.32975289180592043,124.36019006881423,547.6648483276367
2019-06-13,SBAC,161.0,205.9595489501953,33159.487380981445,0.3288117828775923,203.8591205288905,338.1689758300781
2019-06-14,HEI,187.0,125.1628646850586,23405.455696105957,0.23229712516722834,124.36019006881423,150.10015323769403
2019-06-14,SBAC,113.0,207.79441833496094,23480.769271850586,0.23304460589816117,203.8591205288905,444.68865208596253
2019-06-17,HEI,265.0,125.26207733154297,33194.45049285889,0.3291264580615838,124.62565122539098,168.6529181302758
2019-06-17,SBAC,159.0,208.9411163330078,33221.63749694824,0.3293960200584953,205.3293834659307,574.2655258652594
2019-06-18,HEI,265.0,126.22431182861328,33449.44263458252,0.3299614748515344,124.62565122539098,423.6450598539086
2019-06-18,SBAC,159.0,210.59249877929688,33484.2073059082,0.330304410378104,205.3293834659307,836.8353348252203
2019-06-19,HEI,265.0,129.85513305664062,34411.610260009766,0.33438804570718433,124.62565122539098,1385.8126852811547
2019-06-19,SBAC,159.0,214.1979217529297,34057.46955871582,0.3309467531865413,205.3293834659307,1410.0975876328375
2019-06-20,HEI,265.0,128.109130859375,33948.919677734375,0.3312875098561862,124.62565122539098,923.1221030057641
2019-06-20,SBAC,159.0,214.38143920898438,34086.648834228516,0.3326315275664011,205.3293834659307,1439.2768631455328
2019-06-21,HEI,265.0,127.24612426757812,33720.2229309082,0.33062668202884116,124.62565122539098,694.4253561795922
2019-06-21,SBAC,159.0,212.75759887695312,33828.45822143555,0.33168792871925623,205.3293834659307,1181.086250352564
2019-06-24,HEI,265.0,128.38693237304688,34022.53707885742,0.33231589106058856,124.62565122539098,996.739504128811
2019-06-24,SBAC,159.0,213.31723022460938,33917.43960571289,0.3312893491435266,205.3293834659307,1270.0676346299078
2019-06-25,HEI,265.0,128.21827697753906,33977.84339904785,0.3340192078705526,124.62565122539098,952.0458243192406
2019-06-25,SBAC,159.0,209.47323608398438,33306.244537353516,0.32741705489823675,205.3293834659307,658.8725662705328
2019-06-26,HEI,265.0,129.26979064941406,34256.49452209473,0.3381743343494821,124.62565122539098,1230.6969473661156
2019-06-26,SBAC,159.0,205.04214477539062,32601.70101928711,0.32183849207767934,205.3293834659307,-45.67095179587341
2019-06-27,HEI,265.0,130.49990844726562,34582.47573852539,0.3396488847233672,124.62565122539098,1556.6781637967797
2019-06-27,SBAC,159.0,206.2622833251953,32795.703048706055,0.3221002466229654,205.3293834659307,148.3310776230719
2019-06-28,HEI,265.0,132.81253051757812,35195.3205871582,0.3435948694744319,124.62565122539098,2169.523012429592
2019-06-28,SBAC,159.0,206.27145385742188,32797.16116333008,0.3201828004702997,205.3293834659307,149.78919224709534
2019-07-01,HEI,256.0,131.7604522705078,33730.67578125,0.3306707827863769,124.62565122539098,1826.5090675499087
2019-07-01,HD,188.0,178.43072509765625,33544.976318359375,0.3288503215790391,178.43072509765625,0.0
