rebalance_date,regime_state,main_capacity,concentrated_capacity,cash_capacity,main_return,concentrated_return,net_return,equity,main_names,concentrated_source_proxy
2019-04-30,bull,0.6,0.25,0.15000000000000002,-0.0147341396853405,-0.012591319157181525,-0.011988313600499682,0.9880116863995003,13,True
2019-05-31,bear,0.55,0.05,0.39999999999999997,0.05285571621997456,0.08780427868851462,0.033460857855411745,1.0210714049975995,12,True
2019-06-28,neutral,0.55,0.25,0.19999999999999996,0.014842599558646464,0.005182347995439329,0.009459016756115388,1.030729736526662,17,True
2019-07-31,neutral,0.55,0.25,0.19999999999999996,0.015865056909317332,-0.007374037020840718,0.0068822720449143535,1.0378234989782216,12,True
2019-08-30,neutral,0.55,0.25,0.19999999999999996,0.0012338268305610682,-0.0020353883483821057,0.00016975766971306114,1.0379996774769815,12,True
2019-09-30,neutral,0.55,0.25,0.19999999999999996,0.024357084704349097,0.01880259635900696,0.018097045677143743,1.0567844050531428,12,True
2019-10-31,neutral,0.55,0.25,0.19999999999999996,-0.010403311633249994,-0.01978956789831985,-0.01066921337286746,1.045509346746512,20,True
2019-11-29,bull,0.6,0.25,0.15000000000000002,0.02571080491501679,0.02730933039495138,0.022253815547747916,1.0687759189024553,26,True
2019-12-31,neutral,0.55,0.25,0.19999999999999996,0.06870541685955779,0.026993230005941095,0.04453628677424206,1.116375229724099,12,True
2020-01-31,neutral,0.55,0.25,0.19999999999999996,-0.0340935231033986,-0.03093525693867454,-0.026485251941537866,1.086807750503564,12,True
2020-02-28,bear,0.55,0.05,0.39999999999999997,-0.05718105811741708,-0.08,-0.035449581964579396,1.0482808700723478,12,True
2020-03-31,deep_bear,0.4,0.0,0.6,0.16490126508509112,0.1294620113487864,0.06596050603403646,1.1174260067281199,13,True
2020-04-30,bear,0.55,0.05,0.39999999999999997,0.12093345696867494,0.09065582449392347,0.0710461925574674,1.1968148699708478,12,True
2020-05-29,neutral,0.55,0.25,0.19999999999999996,0.025935802716944702,0.026939492551453493,0.02099956463218296,1.2219474611855583,12,True
2020-06-30,bull,0.6,0.25,0.15000000000000002,0.07734105101078735,0.08285759825306967,0.06711903016973983,1.3039633896987086,12,True
2020-07-31,bull,0.6,0.25,0.15000000000000002,0.1205307458699049,0.12800955761356012,0.10432083692533298,1.439993941832072,14,True
2020-08-31,neutral,0.55,0.25,0.19999999999999996,-0.027356528408566182,-0.038308478105940263,-0.024623210151196468,1.404536668385891,13,True
2020-09-30,neutral,0.55,0.25,0.19999999999999996,0.016315403235273068,0.00610888428388563,0.010500692850371597,1.4192852765376958,12,True
2020-10-30,neutral,0.55,0.25,0.19999999999999996,0.08118997306325684,0.04205174406655173,0.0551674212014292,1.4975835851934378,18,True
2020-11-30,neutral,0.55,0.25,0.19999999999999996,0.04623794301041382,0.009975387121490532,0.027924715436100235,1.5394031806517392,23,True
2020-12-31,bull,0.6,0.25,0.15000000000000002,-0.01800942053936823,-0.0025969462868148468,-0.011454888895324648,1.521769488252264,13,True
2021-01-29,neutral,0.55,0.25,0.19999999999999996,0.04423073689677653,0.051739175959524944,0.037261699283108324,1.5784732053017296,12,True
2021-02-26,neutral,0.55,0.25,0.19999999999999996,-0.00547292561940664,-0.029931470343663547,-0.010492976676589539,1.561910322773877,12,True
2021-03-31,bull,0.6,0.25,0.15000000000000002,0.05805062848660251,0.06451120158630379,0.050958177488537454,1.6415024262229672,20,True
2021-04-30,bull,0.6,0.25,0.15000000000000002,0.008548820926731059,0.0036495658872191554,0.006041684027843424,1.6514198652131447,14,True
2021-05-28,bull,0.6,0.25,0.15000000000000002,0.044742372075847144,0.09556066923810205,0.050735590555033794,1.7352056273290477,17,True
2021-06-30,bull,0.6,0.25,0.15000000000000002,0.05334868718280864,0.0522055967418797,0.04506061149515511,1.8133950539663288,24,True
2021-07-30,neutral,0.55,0.25,0.19999999999999996,0.04639380692530299,0.07603114386762204,0.04452437977582216,1.894135344032723,26,True
2021-08-31,bull,0.6,0.25,0.15000000000000002,-0.04255835031034754,-0.07625742431123264,-0.044599366264016685,1.8096581080705882,28,True
2021-09-30,neutral,0.55,0.25,0.19999999999999996,0.07539883771808362,0.09460247427667201,0.065119979314114,1.9275030066337635,11,True
2021-10-29,bull,0.6,0.25,0.15000000000000002,-0.021257691982892124,-0.036431897105323005,-0.021862589466066028,1.8853627997051217,17,True
