recommendation_date,as_of_date,recommended_next_review_date,recommendation_semantics,portfolio_kind,rank,ticker,company_name,sector,recommended_weight,current_account_weight,projected_account_weight_after_orders,trade_action_from_current,trade_value_delta_usd,estimated_order_quantity,target_value_per_100k_usd,reference_price,reference_price_date,reference_price_source,estimated_shares_per_100k,suggested_action,buy_logic,score,monster_early_score,stale_leader_score,risk_entry_block_score
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,1,GOOG,ALPHABET INC CLASS C,Communication,0.1980367649507865,0.0,0.1986461684591606,BUY,76706.9068073051,202.0,19803.67649507865,379.3800048828125,2026-05-22,price_cache_latest_close,52,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,5.789191823794172,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,2,VRT,VERTIV HOLDINGS CLASS A,Industrials,0.1244380835846251,0.0718602170900469,0.1247756860331354,BUY,20365.337245984512,62.0,12443.808358462511,327.4599914550781,2026-05-22,price_cache_latest_close,38,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,6.519266501756319,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,3,GEV,GE VERNOVA INC,Industrials,0.1153015153591668,0.0,0.1130864387132546,BUY,44660.5083434612,42.0,11530.15153591668,1038.739990234375,2026-05-22,price_cache_latest_close,11,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,5.642507553957427,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,4,AMD,ADVANCED MICRO DEVICES INC,Information Technology,0.0744284413280043,0.0,0.0739222427083927,BUY,28828.86677218228,61.0,7442.84413280043,467.510009765625,2026-05-22,price_cache_latest_close,15,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,6.585610876374959,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,5,MRVL,MARVELL TECHNOLOGY INC,Information Technology,0.0744284413280043,0.0,0.0743008722000765,BUY,28828.86677218228,146.0,7442.84413280043,196.3300018310547,2026-05-22,price_cache_latest_close,37,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,6.533893497830289,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,6,ARM,Arm Holdings,Information Technology,0.0744284413280043,0.0,0.0746838849050142,BUY,28828.86677218228,94.0,7442.84413280043,306.510009765625,2026-05-22,price_cache_latest_close,24,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,7.495395751089799,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,7,UMC,United Microelectronics,Semiconductors,0.0559209058481101,0.0,0.056107275752366,BUY,21660.21907365049,1188.0,5592.090584811011,18.219999313354492,2026-05-22,price_cache_latest_close,306,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=early_scout; dominant_archetype_label=emerging_growth,3.597142130184665,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,8,RKLB,ROCKET LAB CORP,Industrials,0.0492180451954504,0.0,0.0492667861795552,BUY,19063.955154909487,140.0,4921.80451954504,135.75999450683594,2026-05-22,price_cache_latest_close,36,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,3.116124310571146,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,9,NXPI,NXP Semiconductors,Semiconductors,0.0460423292011031,0.0,0.0459383043996776,BUY,17833.88380484778,56.0,4604.23292011031,316.4700012207031,2026-05-22,price_cache_latest_close,14,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,4.067611289547268,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,10,TKR,TIMKEN,Industrials,0.0385790127056437,0.0,0.0385546097779791,BUY,14943.067430257464,124.0,3857.90127056437,119.94999694824219,2026-05-22,price_cache_latest_close,32,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=early_scout; dominant_archetype_label=emerging_growth,2.5902604931399003,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,11,MLI,MUELLER INDUSTRIES INC,Industrials,0.0385790127056437,0.0,0.0387253791651555,BUY,14943.067430257464,112.0,3857.90127056437,133.38999938964844,2026-05-22,price_cache_latest_close,28,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=future_winner; dominant_archetype_label=emerging_growth,2.132483265098395,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,12,ON,ON SEMICONDUCTOR CORP,Information Technology,0.0383573380079935,0.0,0.0382528874847312,BUY,14857.204684628305,127.0,3835.73380079935,116.19999694824219,2026-05-22,price_cache_latest_close,33,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=early_scout; dominant_archetype_label=emerging_growth,4.503674197788952,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,13,HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,0.0383573380079935,0.0,0.0384776267968634,BUY,14857.204684628305,395.0,3835.73380079935,37.58000183105469,2026-05-22,price_cache_latest_close,102,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=early_scout; dominant_archetype_label=emerging_growth,4.986079451665175,0.0,0.0,0.0
2026-05-22,2026-05-22,2026-06-30,latest_close_target_recommendation_not_yet_filled,main,14,FIX,COMFORT SYSTEMS USA INC,Industrials,0.0338843304494701,0.0,0.0331732489235761,BUY,13124.64470251947,7.0,3388.43304494701,1828.25,2026-05-22,price_cache_latest_close,1,BUY_OR_HOLD_TO_TARGET,portfolio_sleeve_label=core_compounder; dominant_archetype_label=emerging_growth,3.8942107593028528,0.0,0.0,0.0
2026-05-22,2026-05-22,,latest_close_target_recommendation_not_yet_filled,main,15,CASH,Cash reserve,Cash,0.0,0.24801899755823498,0.0020885885010613,DEPLOY_CASH,0.0,0.0,0.0,1.0,2026-05-22,cash,0,NO_CASH_TARGET,residual cash after target stock weights,0.0,0.0,0.0,0.0
