ticker,drawdown_pnl_usd,drawdown_contribution_return_on_start
PLTR,-156404.4035797119,-1.5561777796012772
TPR,-26304.83116149902,-0.26172532750221067
BROS,-22399.82865524292,-0.22287170196201964
APP,-20090.68115234375,-0.19989636398183255
AXON,-7625.5198974609375,-0.07587167848690554
CORT,-5216.678543090824,-0.05190441602843557
HUBS,-3491.83935546875,-0.034742773800152636
LI,-2198.210077285774,-0.02187154324861643
UBER,-2019.5995330810547,-0.020094420905943912
KVUE,-1756.8609924316406,-0.017480249760851413
SAN,986.271512508396,0.009813111250650222
