rank,ticker,target_weight,main_v2_sleeves,main_v2_score,regime_state,row_type
1,ZTO,0.18,early,0.6406384939872403,neutral,equity
2,NVDA,0.15720945709520648,core,2.3212548306088236,neutral,equity
3,MRVL,0.154059217567007,future,1.7314508927289076,neutral,equity
4,UI,0.1347713373260986,future,1.699787354435111,neutral,equity
5,CIEN,0.09170814882321955,future,1.6196314356687251,neutral,equity
6,FTI,0.0684351687746502,future,1.5682143677696807,neutral,equity
7,VRT,0.05600342195809573,future,1.5371006089892039,neutral,equity
8,WDC,0.054830485793454176,future,1.5339939173481372,neutral,equity
9,GLW,0.040192219757474744,future,1.4919957946049056,neutral,equity
10,CW,0.02436141892258884,core,1.878514306536041,neutral,equity
11,AAPL,0.01842912398220471,core,1.8410797677111208,neutral,equity
12,CASH,0.020000000000000018,cash,0.0,neutral,cash
