stress_window,status,reason
2020,not_backtested,E3_main_v2_aggressive is latest-snapshot Main v2 only; historical backtest not executed
2022,not_backtested,E3_main_v2_aggressive is latest-snapshot Main v2 only; historical backtest not executed
2025-2026 momentum,not_backtested,E3_main_v2_aggressive is latest-snapshot Main v2 only; historical backtest not executed
