rebalance_date,net_return,drawdown,regime_state
2020-02-28,-0.2395105521601059,-0.25878764745313776,
2022-05-31,-0.20267073170711886,-0.47879726232989706,
2021-12-31,-0.14989751053746178,-0.1498975105374618,
2022-03-31,-0.1382899530951403,-0.3371165629479004,
2023-04-28,-0.10505124970369381,-0.43596906724406137,
2020-09-30,-0.09606545762903629,-0.1373147879996558,
2022-01-31,-0.08961683890921752,-0.2260810083919509,
2025-02-28,-0.08950466966621616,-0.08950466966621629,
2022-11-30,-0.08443186085800788,-0.44326656905161144,
2022-10-31,-0.08310151711737936,-0.39192572660935854,
