row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,44.0,2184.75,96129.0,0.12090119281367535
equity,WDC,118.0,746.22998046875,88055.1376953125,0.11074671723138398
equity,STM,1078.0,78.38999938964844,84504.41934204102,0.10628098801069166
equity,CIEN,172.0,428.2200012207031,73653.84020996094,0.09263424290996601
equity,MRVL,219.0,310.5799865722656,68017.01705932617,0.08554482512145804
equity,LITE,58.0,850.0,49300.0,0.06200448153745691
equity,ON,368.0,121.62000274658203,44756.16101074219,0.056289707080689914
equity,PWR,59.0,702.25,41432.75,0.052109861712394887
equity,FIX,16.0,1967.4100341796875,31478.560546875,0.03959050357514057
equity,MU,23.0,1133.989990234375,26081.769775390625,0.032802973884430216
equity,COHR,51.0,389.57000732421875,19868.070373535156,0.02498802033794635
equity,TER,24.0,437.9200134277344,10510.080322265625,0.013218500634870347
equity,KEYS,24.0,363.6700134277344,8728.080322265625,0.010977283878283162
cash,CASH,0.0,1.0,152588.93128515224,0.19191070127161264
