ticker,target_weight,Name,sector,portfolio_sleeve_label
CASH,0.1919852043557129,Cash,Cash,
SNDK,0.12,SANDISK CORP,Information Technology,future_winner
WDC,0.1103767503060305,WESTERN DIGITAL CORP,Information Technology,future_winner
STM,0.1062470352186422,STMicroelectronics,Semiconductors,early_scout
CIEN,0.0926416949801767,CIENA CORP,Information Technology,future_winner
MRVL,0.0852620036506741,MARVELL TECHNOLOGY INC,Information Technology,future_winner
LITE,0.063121621444509,LUMENTUM HOLDINGS INC,Information Technology,future_winner
ON,0.056486650620838,ON SEMICONDUCTOR CORP,Information Technology,future_winner
PWR,0.0527095682414274,QUANTA SERVICES INC,Industrials,future_winner
FIX,0.0397066788566912,COMFORT SYSTEMS USA INC,Industrials,future_winner
MU,0.0314983467889042,MICRON TECHNOLOGY INC,Information Technology,future_winner
COHR,0.0252241121663043,COHERENT CORP,Information Technology,future_winner
TER,0.013489705178385,TERADYNE INC,Information Technology,unassigned
KEYS,0.0112506281917038,KEYSIGHT TECHNOLOGIES INC,Information Technology,future_winner
