ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
CIEN,101.0,428.2200012207031,2026-06-18,43250.220123291016,384.31793532820416,0.05554401793871347
COHR,45.0,389.57000732421875,2026-06-18,17530.650329589844,278.3794223361545,0.022513706372090447
FIX,12.0,1967.4100341796875,2026-06-18,23608.92041015625,1866.2886962890625,0.03031971386590008
KEYS,19.0,363.6700134277344,2026-06-18,6909.730255126953,313.2699890136719,0.008873808737814091
LITE,39.0,850.0,2026-06-18,33150.0,326.9366876906363,0.04257282828664234
MRVL,303.0,310.5799865722656,2026-06-18,94105.73593139648,164.9499969482422,0.12085512327588087
MU,34.0,1133.989990234375,2026-06-18,38555.65966796875,470.2160957551985,0.049515037059506946
ON,322.0,121.62000274658203,2026-06-18,39161.640884399414,103.02999877929688,0.050293267354289246
PWR,41.0,702.25,2026-06-18,28792.25,742.2100219726562,0.036976395633064194
SNDK,59.0,2184.75,2026-06-18,128900.25,763.4664534229344,0.16553991581765518
STM,1113.0,78.38999938964844,2026-06-18,87248.06932067871,55.75,0.11204817718040189
TER,24.0,437.9200134277344,2026-06-18,10510.080322265625,212.4328474293712,0.013497551880501751
WDC,150.0,746.22998046875,2026-06-18,111934.4970703125,337.28512967644156,0.1437516779223555
