rebalance_date,net_return,drawdown,regime_state
2024-11-29,-0.06871984255697933,-0.06871984255697927,
2021-08-31,-0.06211199452329234,-0.0621119945232923,
2022-11-30,-0.061010279812908595,-0.17408044653805033,
2020-08-31,-0.05869683104692183,-0.058696831046921916,
2019-08-30,-0.055642801932607185,-0.05564280193260718,
2023-08-31,-0.05381894620856632,-0.18897732121685173,
2022-08-31,-0.052169664547572346,-0.1454880723522557,
2022-03-31,-0.05085282064900525,-0.07873702019618711,
2021-12-31,-0.044984829892504505,-0.05305802879884158,
2023-03-31,-0.04270489592112838,-0.20889220378535867,
