ticker,months_held_main,first_held_main,last_held_main,avg_weight_main,max_weight_main,months_held_concentrated,first_held_concentrated,last_held_concentrated,avg_weight_concentrated,max_weight_concentrated
AAPL,38.0,2019-10-31,2025-11-28,0.08183524371778572,0.2196843606430702,1.0,2019-12-31,2019-12-31,0.24684680042558632,0.5
ABBV,1.0,2020-06-30,2020-06-30,0.0918557531993201,0.0918557531993201,,,,,
ABT,20.0,2019-06-28,2025-04-30,0.03295831116990332,0.0920309995035613,8.0,2020-04-30,2021-08-31,0.31628649971875594,1.0
ACI,1.0,2024-12-31,2024-12-31,0.0359299321474211,0.0359299321474211,9.0,2023-11-30,2026-01-30,0.11112027393653962,0.5
ACLS,3.0,2023-01-31,2023-03-31,0.0313293659774934,0.0425505372549189,,,,,
ACM,,,,,,1.0,2024-11-29,2024-11-29,0.053349472758223236,0.0753147449338656
ADI,4.0,2021-05-28,2026-02-27,0.03741649823889377,0.0833848619762329,,,,,
AEE,3.0,2022-05-31,2022-12-30,0.020665618583875233,0.0369608018977756,22.0,2022-05-31,2026-01-30,0.17611490648883055,0.5165364921331703
AEM,4.0,2025-11-28,2026-02-27,0.030036271188384926,0.0424264567755918,,,,,
AEP,4.0,2019-08-30,2020-11-30,0.03351822083817495,0.0677617300013419,4.0,2019-08-30,2020-10-30,0.23842453792000595,0.5031454192264226
AFG,3.0,2022-06-30,2022-08-31,0.046543291555024034,0.0921306202179303,7.0,2020-09-30,2025-10-31,0.04873789112321781,0.095607664379646
AGCO,1.0,2022-12-30,2022-12-30,0.027457629330555,0.027457629330555,6.0,2022-02-28,2024-04-30,0.07686596056281711,0.1498616640824794
AIT,,,,,,1.0,2023-12-29,2023-12-29,0.05019398083791516,0.0658482691729414
AIZ,,,,,,9.0,2020-11-30,2024-02-29,0.09514306678623297,0.1976532277899189
AJG,8.0,2022-08-31,2023-11-30,0.016363541610913912,0.0303477014754923,,,,,
AKAM,4.0,2025-11-28,2026-02-27,0.009955203535713676,0.0323405332500195,2.0,2021-07-30,2021-08-31,0.03977824647161317,0.0555555555555555
ALLE,,,,,,3.0,2020-02-28,2020-04-30,0.0460680657979629,0.0680307308938853
ALNY,2.0,2025-07-31,2025-08-29,0.050206849483393406,0.0639456221036133,3.0,2024-08-30,2024-10-31,0.08298939152363118,0.1182051411431371
ALSN,2.0,2024-07-31,2024-08-30,0.0136418013039342,0.0206906125143697,4.0,2023-08-31,2024-08-30,0.08307442867768863,0.1535994129691775
AM,6.0,2022-03-31,2025-04-30,0.019343251514177782,0.04,10.0,2022-03-31,2026-02-27,0.06389545566639135,0.1379895744696218
