policy_id,rebalance_date,macro_risk_state,macro_style_state,recommended_action,target_cash,realized_cash,policy_action,single_name_cap
crisis_ladder,2019-04-30,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.029999999999999805,normal_low_cash,0.22
crisis_ladder,2019-05-31,red,cash_defense,defend_half_trim_stale_leaders_no_tactical_new_buys,0.3,0.30000000000000004,raise_or_hold_red_floor,0.22
crisis_ladder,2019-06-28,green,quality_compounder,favor_core_compounders_long_hold,0.10000000000000003,0.10000000000000003,green_redeploy_step,0.22
crisis_ladder,2019-07-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000138,green_redeploy_step,0.22
crisis_ladder,2019-08-30,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.029999999999999916,green_redeploy_step,0.22
crisis_ladder,2019-09-30,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.03,normal_low_cash,0.22
crisis_ladder,2019-10-31,recovery,breakout_growth,staged_reentry_scout_then_scale_confirmed_new_leaders,0.1,0.1,bargain_reentry_step,0.22
crisis_ladder,2019-11-29,green,breakout_growth,favor_future_winners_and_monster_breakouts,0.03,0.030000000000000027,green_redeploy_step,0.22
crisis_ladder,2019-12-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.03,green_redeploy_step,0.22
crisis_ladder,2020-01-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000027,normal_low_cash,0.22
crisis_ladder,2020-02-28,red,cash_defense,defend_half_trim_stale_leaders_no_tactical_new_buys,0.3,0.29999999999999993,raise_or_hold_red_floor,0.22
crisis_ladder,2020-03-31,crisis,cash_defense,raise_cash_exit_distribution_only_hold_best_structural_winners,0.5,0.5,raise_or_hold_crisis_floor,0.22
crisis_ladder,2020-04-30,green,turnaround_accumulation,favor_early_scout_turnaround_accumulation,0.3,0.3,green_redeploy_step,0.22
crisis_ladder,2020-05-29,green,quality_compounder,favor_core_compounders_long_hold,0.09999999999999998,0.09999999999999998,green_redeploy_step,0.22
crisis_ladder,2020-06-30,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.03,green_redeploy_step,0.22
crisis_ladder,2020-07-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000138,normal_low_cash,0.22
crisis_ladder,2020-08-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000027,green_redeploy_step,0.22
crisis_ladder,2020-09-30,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000027,green_redeploy_step,0.22
crisis_ladder,2020-10-30,red,cash_defense,defend_half_trim_stale_leaders_no_tactical_new_buys,0.3,0.29999999999999993,raise_or_hold_red_floor,0.22
crisis_ladder,2020-11-30,recovery,breakout_growth,staged_reentry_scout_then_scale_confirmed_new_leaders,0.1,0.1,bargain_reentry_step,0.22
crisis_ladder,2020-12-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000027,green_redeploy_step,0.22
crisis_ladder,2021-01-29,red,cash_defense,defend_half_trim_stale_leaders_no_tactical_new_buys,0.3,0.29999999999999993,raise_or_hold_red_floor,0.22
crisis_ladder,2021-02-26,red,cash_defense,defend_half_trim_stale_leaders_no_tactical_new_buys,0.3,0.30000000000000004,raise_or_hold_red_floor,0.22
crisis_ladder,2021-03-31,recovery,quality_compounder,staged_reentry_scout_then_scale_confirmed_new_leaders,0.10000000000000003,0.10000000000000009,bargain_reentry_step,0.22
crisis_ladder,2021-04-30,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000027,green_redeploy_step,0.22
crisis_ladder,2021-05-28,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.029999999999999916,green_redeploy_step,0.22
crisis_ladder,2021-06-30,green,breakout_growth,favor_future_winners_and_monster_breakouts,0.03,0.029999999999999916,normal_low_cash,0.22
crisis_ladder,2021-07-30,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000027,normal_low_cash,0.22
crisis_ladder,2021-08-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.029999999999999916,normal_low_cash,0.22
crisis_ladder,2021-09-30,red,cash_defense,defend_half_trim_stale_leaders_no_tactical_new_buys,0.3,0.2999999999999998,raise_or_hold_red_floor,0.22
crisis_ladder,2021-10-29,recovery,breakout_growth,staged_reentry_scout_then_scale_confirmed_new_leaders,0.1,0.09999999999999998,bargain_reentry_step,0.22
crisis_ladder,2021-11-30,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.03000000000000036,green_redeploy_step,0.22
crisis_ladder,2021-12-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.030000000000000027,green_redeploy_step,0.22
crisis_ladder,2022-01-31,green,quality_compounder,favor_core_compounders_long_hold,0.03,0.03000000000000025,normal_low_cash,0.22
crisis_ladder,2022-02-28,yellow,cash_defense,slow_new_buys_scout_only_require_confirmation,0.1,0.1,yellow_partial_redeploy,0.22
crisis_ladder,2022-03-31,yellow,quality_compounder,slow_new_buys_scout_only_require_confirmation,0.1,0.09999999999999998,yellow_partial_redeploy,0.22
crisis_ladder,2022-04-29,red,cash_defense,defend_half_trim_stale_leaders_no_tactical_new_buys,0.3,0.3,raise_or_hold_red_floor,0.22
crisis_ladder,2022-05-31,red,cash_defense,defend_half_trim_stale_leaders_no_tactical_new_buys,0.3,0.30000000000000004,raise_or_hold_red_floor,0.22
crisis_ladder,2022-06-30,yellow,turnaround_accumulation,slow_new_buys_scout_only_require_confirmation,0.10000000000000003,0.10000000000000031,yellow_partial_redeploy,0.22
crisis_ladder,2022-07-29,yellow,turnaround_accumulation,slow_new_buys_scout_only_require_confirmation,0.1,0.1,yellow_partial_redeploy,0.22
crisis_ladder,2022-08-31,crisis,cash_defense,raise_cash_exit_distribution_only_hold_best_structural_winners,0.5,0.5,raise_or_hold_crisis_floor,0.22
crisis_ladder,2022-09-30,crisis,cash_defense,raise_cash_exit_distribution_only_hold_best_structural_winners,0.5,0.5,raise_or_hold_crisis_floor,0.22
