ticker,price_pnl_usd_baseline,price_contribution_pct_peak_equity_baseline,avg_weight_baseline,peak_weight_baseline,trough_weight_baseline,price_pnl_usd_tilt,price_contribution_pct_peak_equity_tilt,avg_weight_tilt,peak_weight_tilt,trough_weight_tilt,delta_price_contribution_pp,avg_weight_delta_pp,peak_weight_delta_pp,trough_weight_delta_pp,target_delta_weight_sum_pp_in_mdd_window,avg_score_in_mdd_window
AMD,10367.671096801758,0.04019470773704852,0.008744173355788174,0.0,0.0,9016.930953979492,0.03403316113778345,0.007408090397955836,0.0,0.0,-0.6161546599265072,-0.13360829578323383,0.0,0.0,-0.17435340602715999,0.1429059499728973
BLDR,9796.120132446289,0.037978846165573406,0.023932883773880205,0.0,0.0,8542.060104370117,0.032240826669783625,0.02068101132098163,0.0,0.0,-0.5738019495789781,-0.32518724528985754,0.0,0.0,-1.30217737655578,0.22403473012985142
NET,-7504.788314819336,-0.0290955191504517,0.040854458286663106,0.1145461413703041,0.0,-9194.639053344727,-0.034703895827009064,0.07277651045745781,0.0979745825454087,0.0,-0.5608376676557364,3.1922052170794704,-1.6571558824895403,0.0,5.2555502240965595,0.318979773381045
CHRW,-1034.0875091552734,-0.004009082157115374,0.019418937901261788,0.0,0.0383602811243486,-2113.212844848633,-0.00797603016305972,0.032661290347483884,0.0,0.0661926739667477,-0.3966948005944346,1.3242352446222097,0.0,2.7832392842399107,4.43200211272166,0.34854465990716216
NVDA,-3056.2892246246306,-0.01184901131572101,0.07842806119646953,0.1111469437934391,0.0,-4143.7003345489475,-0.015639824892986782,0.08452278563952262,0.2126903274972942,0.0,-0.3790813577265772,0.609472444305309,10.154338370385508,0.0,-2.11533445159653,0.2120038069645586
KMI,-385.133376121521,-0.0014931341232229795,0.011292243926646184,0.0,0.0,-1293.106948852539,-0.0048806536706664525,0.02788106926189706,0.0,0.0,-0.3387519547443473,1.6588825335250876,0.0,0.0,3.4900715071514896,0.3866949654664938
MA,-1662.677749633789,-0.0064460808587996025,0.028043730703052872,0.0,0.0,-2464.0559844970703,-0.009300239161296693,0.0318400748564484,0.0,0.0,-0.28541583024970907,0.3796344153395529,0.0,0.0,2.398492875426085,0.31824063044172723
MEDP,3580.1604537963867,0.013880022017333907,0.0170788912073806,0.0,0.0,3053.280387878418,0.011524185331999214,0.014983215189147787,0.0,0.0,-0.23558366853346935,-0.2095676018232814,0.0,0.0,-0.4196615158726801,0.1383329168293028
AVGO,43.380577087402344,0.00016818334621268339,0.028297819320986725,0.0,0.0,-443.78325271606445,-0.0016749986250332606,0.03057289715056079,0.0,0.0,-0.1843181971245944,0.2275077829574066,0.0,0.0,0.9233656723374398,0.33578310493935
FICO,1941.0802917480464,0.007525427291479737,0.0110719975728383,0.0,0.0,1669.660247802734,0.00630190211601249,0.009600070005234464,0.0,0.0,-0.12235251754672472,-0.14719275676038351,0.0,0.0,-0.27446105099371,0.20599768007145655
NOW,2033.2000732421875,0.00788256899277271,0.00364346238250956,0.0,0.0,1771.1200637817383,0.006684848185339924,0.003121632100173615,0.0,0.0,-0.11977208074327866,-0.052183028233594504,0.0,0.0,-0.056320273493759995,0.2463043110866904
ANET,1307.2079830169678,0.005067950394868549,0.03366191547340676,0.0,0.0,1113.9004211425781,0.004204263370505169,0.02934187656739492,0.0,0.0,-0.08636870243633804,-0.43200389060118405,0.0,0.0,-1.2375532218313678,0.2724203018624381
ENPH,-6631.03887939453,-0.025708056058268428,0.07130100439881906,0.0996488153824469,0.0,-7015.358978271484,-0.02647850402375969,0.07577506210035084,0.0848860011552934,0.0,-0.07704479654912604,0.44740577015317806,-1.476281422715349,0.0,1.11921362765158,0.3036185648799624
MDB,-1003.3801879882812,-0.0038900321035237155,0.029482274669664913,0.0309253976886266,0.0,-1218.3902282714844,-0.004598645723150837,0.03473966850880168,0.0365588108357046,0.0,-0.07086136196271216,0.5257393839136769,0.5633413147077999,0.0,0.0,
ACLS,1462.1999816894531,0.00566884311513852,0.032270915040113354,0.0,0.0,1316.9599800109863,0.004970683643967039,0.02787223313690212,0.0,0.0,-0.06981594711714814,-0.4398681903211233,0.0,0.0,-1.17597259519441,0.22356446409775424
BRKR,1137.4430694580074,0.0044097841566848655,0.01533572582758977,0.0,0.0,987.7875480651851,0.0037282677404069336,0.01331801686850171,0.0,0.0,-0.06815164162779319,-0.20177089590880606,0.0,0.0,-0.41725697253571,0.2062938336497732
V,-752.3043212890625,-0.0029166292064242475,0.049575748760762844,0.0,0.0,-951.895263671875,-0.0035927972677377855,0.061321911465028724,0.0,0.0,-0.0676168061313538,1.174616270426588,0.0,0.0,1.19948519372483,0.3856948610383147
ON,1282.1796112060547,0.00497091721541283,0.03585210380959696,0.0,0.0,1144.2496528625488,0.004318812356053056,0.030751451620270497,0.0,0.0,-0.0652104859359774,-0.5100652189326464,0.0,0.0,-2.036179574724,0.23375263563772125
DVA,1077.7500381469724,0.004178358610380094,0.021599622705639004,0.0,0.0,949.1500320434569,0.003582435769923581,0.01915295334871171,0.0,0.0,-0.059592284045651256,-0.24466693569272951,0.0,0.0,-0.27352539884748,0.2763789413737443
AAPL,798.7966918945312,0.0030968767500665064,0.0098860513057787,0.0,0.0099943985461528,664.4875259399414,0.002508016437053946,0.008202022363435235,0.0,0.008295821092571,-0.05888603130125604,-0.1684028942343466,0.0,-0.16985774535818005,-0.13823211199170002,-0.0768148275120672
SAIA,-3728.1498413085938,-0.014453766122803548,0.05380455872547364,0.0875525709504428,0.0,-3985.269775390625,-0.015041850618091764,0.05942809774381996,0.0865892962501087,0.0,-0.05880844952882158,0.5623539018346322,-0.09632747003341102,0.0,0.8328708355191601,0.3446492974979199
WCC,-866.4037704467773,-0.003358984482650876,0.039243988445261675,0.0,0.0333123094729219,-937.1615447998047,-0.00353718687978082,0.05704830092885164,0.0,0.0398784810684427,-0.017820239712994408,1.7804312483589961,0.0,0.6566171595520802,4.74081389059341,0.29576509337756296
SQM,-139.70697402954124,-0.0005416337900299629,0.042102489533163395,0.0,0.0,-185.61751174926758,-0.0007005876744092459,0.03686149254682495,0.0,0.0,-0.0158953884379283,-0.5240996986338446,0.0,0.0,-2.43761749498672,0.10543570289304052
FDS,203.72918701171875,0.0007898432592029899,0.01160458881144625,0.0,0.0,169.77432250976562,0.0006407897437079576,0.00946899687418721,0.0,0.0,-0.01490535154950323,-0.21355919372590387,0.0,0.0,-0.16318016114108,0.1884430717474012
FANG,124.47650909423936,0.00048258638381327914,0.03694352372903979,0.0,0.0238522104151335,89.80483245849712,0.0003389559429489482,0.03247686478217961,0.0,0.0204734044400905,-0.014363044086433093,-0.4466658946860186,0.0,-0.3378805975043,-1.6857405636270615,0.2544560252597345
COO,70.74440002441405,0.0002742709000376522,0.02149997230976929,0.0,0.0,62.8839111328125,0.0002373466417209886,0.018777852631656957,0.0,0.0,-0.0036924258316663634,-0.27221196781123325,0.0,0.0,-0.27352539884748,0.3103519900012686
CNC,1703.600242614746,0.006604734391486264,0.02197715319151262,0.0,0.0,1742.960262298584,0.0065785629019796,0.029054524723998425,0.0,0.0,-0.0026171489506663682,0.7077371532485804,0.0,0.0,0.65746445355713,0.3585101915585034
CW,-204.20379638671875,-0.0007916832852743487,0.021593900944058265,0.0,0.0212138234056128,-211.01058959960938,-0.0007964303413516558,0.021878671407556824,0.0,0.0215036790398809,-0.00047470560773071185,0.028477046349855914,0.0,0.028985563426809843,4.7914507778079596e-08,0.300077968400613
PLNT,-239.72003173828125,-0.0009293771498411619,0.021870536773183215,0.0,0.0,-244.3300323486328,-0.0009221899784040173,0.02179189294864859,0.0,0.0,0.0007187171437144616,-0.007864382453462437,0.0,0.0,3.7456331786200885e-08,0.3536712991211191
LNG,-50.567901611328125,-0.00019604808130633777,0.014093458012557646,0.0,0.0,-48.715301513671875,-0.0001838691806283373,0.012281912858668257,0.0,0.0,0.0012178900678000474,-0.18115451538893884,0.0,0.0,-0.40209452115803995,0.19106248971885698
FCX,-21.797481536865234,-8.450725255436431e-05,0.0035196627507308,0.0,0.0,-18.683555603027344,-7.051850144021992e-05,0.0029609942674068573,0.0,0.0,0.0013988751114144395,-0.05586684833239425,0.0,0.0,-0.058864856827739995,0.2634687246382364
RGLD,-853.2797241210938,-0.0033081035083739174,0.028152888774882773,0.0,0.0,-869.6889495849609,-0.0032825208834400396,0.028162718860645062,0.0,0.0,0.002558262493387777,0.0009830085762288499,0.0,0.0,1.866319876420164e-08,0.335811211631287
HII,-103.24328613281318,-0.0004002667207682785,0.02108686748662837,0.0,0.0,-94.63967895507875,-0.00035720440362081246,0.01899281774743696,0.0,0.0,0.004306231714746602,-0.20940497391914065,0.0,0.0,-0.27352539884748,0.3408227285288302
SNX,-142.5679626464842,-0.0005527256350762934,0.005839315335865343,0.0,0.0,-131.60119628906233,-0.000496710548421586,0.00529100833716231,0.0,0.0,0.005601508665470747,-0.05483069987030327,0.0,0.0,-0.06814476074674,0.0988689977376156
OKE,-131.83157730102522,-0.0005111014489805193,0.00600123689450197,0.0,0.0,-120.36796188354478,-0.00045431225585700237,0.00536754666860221,0.0,0.0,0.005678919312351698,-0.063369022589976,0.0,0.0,-0.07092787381092999,0.3065234656410107
EHC,-99.19775390625,-0.0003845824861924266,0.011303842385592885,0.0,0.0,-86.79803466796875,-0.0003276071997639268,0.00970778343329732,0.0,0.0,0.00569752864284998,-0.15960589522955662,0.0,0.0,-0.18203248813237,0.2391726358694613
AMZN,-190.0499725341797,-0.0007368099383285749,0.00939161960348867,0.0,0.00897186005326,-177.37997436523438,-0.0006694962267093399,0.00859437093798814,0.0,0.0082143394960155,0.006731371161923506,-0.07972486655005301,0.0,-0.07575205572444998,-0.13823211199170002,0.1356185799856361
HLI,-107.28256225585938,-0.0004159267008852369,0.016053032781593635,0.0,0.0,-91.95648193359375,-0.0003470770468668697,0.01345158206674281,0.0,0.0,0.006884965401836719,-0.2601450714850826,0.0,0.0,-0.23980256499677002,0.2817820524316234
DPZ,-277.95782470703165,-0.0010776222955964912,0.016896568347882272,0.0,0.0,-260.76959228515665,-0.0009842388279748396,0.015575496625652914,0.0,0.0,0.009338346762165151,-0.1321071722229358,0.0,0.0,-0.25735249989009906,0.219229371545058
REXR,-174.64694213867188,-0.0006770935083577882,0.008439736499353315,0.0,0.0,-150.55770874023438,-0.000568259287804625,0.007111909188841685,0.0,0.0,0.010883422055316323,-0.13278273105116306,0.0,0.0,-0.14529450502263,0.1624840403503439
LOW,-198.98123168945312,-0.0007714357813089523,0.019890424738433506,0.0,0.0197397455740961,-171.84742736816406,-0.0006486143918128938,0.01684291024115331,0.0,0.0167234490631424,0.012282138949605852,-0.3047514497280194,0.0,-0.3016296510953701,-0.27605000356756,0.1315790374477989
EXE,-463.97179412841797,-0.0017987849430311073,0.035363216322310584,0.0,0.036351470576006,-442.5208969116211,-0.001670234037312105,0.030950598300204645,0.0,0.0312521544221059,0.012855090571900225,-0.44126180221059386,0.0,-0.5099316153900093,-2.52223993413609,0.1009671957343951
HUBS,-154.300537109375,-0.0005982119740174015,0.03260513168867717,0.031881525495276,0.0,-123.4404296875,-0.0004659088614422443,0.025309526991808,0.0248304712872796,0.0,0.013230311257515722,-0.7295604696869175,-0.7051054207996402,0.0,0.0,
KNSL,-117.93643188476588,-0.00045723097954185977,0.008762342261726012,0.0,0.0,-79.95672607421895,-0.00030178562488964735,0.007194090879029438,0.0,0.0,0.015544535465221242,-0.15682513826965738,0.0,0.0,-0.28735715779125,0.1630427092062178
FTNT,1598.4279251098633,0.006196988956212867,0.029636593857545256,0.0,0.0,1687.3496894836426,0.006368668471686767,0.05881903491061665,0.0,0.0,0.017167951547389978,2.9182441053071395,0.0,0.0,3.1110666757041097,0.3652107319714333
DDS,-393.09576416015676,-0.0015240037232627285,0.016779589716075363,0.0,0.0,-349.41845703125045,-0.0013188317303696251,0.014491519440607082,0.0,0.0,0.020517199289310332,-0.22880702754682816,0.0,0.0,-0.26845612398196,0.0618146378269617
HIMX,-396.38289070129395,-0.0015367476740865988,0.01002844727872281,0.0,0.0,-339.75676345825195,-0.0012823650017330234,0.0084027371305978,0.0,0.0,0.025438267235357543,-0.16257101481250094,0.0,0.0,-0.17435340602715999,0.1724971158566456
AM,-459.6903152465814,-0.0017821859604118713,0.031045236039689346,0.0,0.0252579737417039,-404.6685819625849,-0.0015273656998840432,0.027066984712159233,0.0,0.0218747109669772,0.025482026052782804,-0.3978251327530113,0.0,-0.3383262774726701,-1.17195061024906,0.20185346760329462
ADM,-548.3620529174805,-0.0021259598462672487,0.020823688281957967,0.0,0.0,-495.4602508544922,-0.0018700463207224302,0.018118145856790387,0.0,0.0,0.025591352554481858,-0.27055424251675797,0.0,0.0,-1.01349037437371,0.1760585853542222
PCTY,-511.67980957031176,-0.001983745453400024,0.027503426352721055,0.0274196451863453,0.0,-452.63983154296807,-0.0017084265592033083,0.0236088199903747,0.023614143639243,0.0,0.02753188941967157,-0.3894606362346356,-0.38055015471023,0.0,0.0,
SRE,-675.0424575805664,-0.0026170905731104773,0.018325339401387586,0.0,0.0152462095386163,-607.7807540893555,-0.0022939845548265708,0.01610780580819993,0.0,0.0131755180041582,0.032310601828390656,-0.2217533593187656,0.0,-0.2070691534458099,-1.38379360950378,0.20379664369245057
FSLR,-572.4005126953142,-0.0022191552086777023,0.052065465972480525,0.0504171154411608,0.0,-500.8504486083999,-0.0018903908780512515,0.04420651474350057,0.0429478996128519,0.0,0.03287643306264507,-0.7858951228979956,-0.7469215828308902,0.0,0.0,
XOM,-879.7994232177734,-0.0034109184553868816,0.04578606902039628,0.0,0.0388971970637471,-813.6760559082031,-0.0030711079485929212,0.04012191324674028,0.0,0.0340010887371519,0.03398105067939604,-0.5664155773655998,0.0,-0.4896108326595199,-3.36401738329108,0.2177867925372231
DBX,-605.8000888824463,-0.0023486429394176554,0.02572271240198626,0.0,0.0,-527.8000774383545,-0.001992108531791132,0.02190838258584691,0.0,0.0,0.03565344076265232,-0.3814329816139349,0.0,0.0,-0.40680240184254,0.1912214742018658
BWA,-684.6425590515137,-0.0026543094691641694,0.0312694440084457,0.0,0.0295026292597801,-603.6995964050293,-0.0022785807885331096,0.02703453443581047,0.0,0.0255194374007113,0.03757286806310599,-0.42349095726352326,0.0,-0.3983191859068799,-0.43248276231039995,0.1922979201357016
VST,-851.4257087707506,-0.003300915625535887,0.04540415051035241,0.0,0.043005699679389,-750.7429771423328,-0.0028335757304283333,0.039254789049671265,0.0,0.037198370640157,0.046733989510755386,-0.6149361460681145,0.0,-0.5807329039232,-0.61899366519383,0.241878702631744
MOS,-2636.486991882324,-0.010221468553717042,0.02987011370679818,0.0,0.0,-2567.706100463867,-0.009691452215566684,0.03178466409117127,0.0,0.0,0.05300163381503579,0.191455038437309,0.0,0.0,0.48837478128719997,0.29474431028133113
DXCM,-864.4896240234375,-0.003351563476010745,0.02660377545589559,0.0273438908207994,0.0,-746.6046752929688,-0.0028179562813724396,0.0222962461663865,0.0229904310173915,0.0,0.053360719463830524,-0.4307529289509088,-0.43534598034079,0.0,0.0,
LPX,669.2166099548335,0.002594504185053747,0.02650178244489608,0.0,0.0,854.2379951477049,0.0032242033888535237,0.023192390689913904,0.0,0.0,0.06296992037997766,-0.3309391754982176,0.0,0.0,-0.73085031836539,0.2253595464163563
VICI,313.09543800354004,0.001213848269958879,0.013725357383841721,0.0,0.0,546.1108932495117,0.002061220178342042,0.029054100244225767,0.0,0.0,0.0847371908383163,1.5328742860384046,0.0,0.0,4.44982583668263,0.32615663722258853
RKLB,-1600.4999160766602,-0.00620502191468219,0.031185521518343952,0.0,0.0,-1417.1699256896973,-0.005348912250385161,0.026825065121166673,0.0,0.0,0.08561096642970287,-0.4360456397177279,0.0,0.0,-0.53916140154704,0.1846327967806841
BE,-1548.6907653808594,-0.006004161600839401,0.07186712885681752,0.0728034638277473,0.0,-1358.5006713867188,-0.005127473249053377,0.061173911401285905,0.0621731788769662,0.0,0.08766883517860236,-1.0693217455531618,-1.0630284950781104,0.0,0.0,
SNOW,-1820.0,-0.007056007795617198,0.05099619771635091,0.0532117964227852,0.0,-1612.0,-0.006084271470426931,0.04383052713698171,0.0458835965383168,0.0,0.0971736325190267,-0.7165670579369198,-0.7328199884468402,0.0,0.0,
CIEN,-1549.7999572753906,-0.006008461857243053,0.045055107623576306,0.0,0.0,-1328.3999633789062,-0.005013862281949417,0.037750389315697866,0.0,0.0,0.09945995752936362,-0.730471830787844,0.0,0.0,-0.7897290594894799,0.2948026690610161
TSLA,909.5539855957031,0.0035262747323615245,0.06527904733206166,0.0984520086872194,0.0,1214.1805725097656,0.004582756958602857,0.06313509806624605,0.0844029589620145,0.0,0.10564822262413326,-0.21439492658156117,-1.4049049725204905,0.0,-0.1452942357510694,0.24018984868782245
