rebalance_date,regime_state,active,gross_return,cost,turnover,net_return,n_positions,selected_tickers,equity,drawdown
2019-05-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2019-06-28,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2019-07-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2019-08-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2019-09-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2019-10-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2019-11-29,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2019-12-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-01-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-02-28,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-03-31,deep_bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-04-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-05-29,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-06-30,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-07-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-08-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-09-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-10-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-11-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2020-12-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-01-29,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-02-26,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-03-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-04-30,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-05-28,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-06-30,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-07-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-08-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-09-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-10-29,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-11-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2021-12-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-01-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-02-28,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-03-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-04-29,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-05-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-06-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-07-29,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-08-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-09-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-10-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-11-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2022-12-30,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-01-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-02-28,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-03-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-04-28,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-05-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-06-30,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-07-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-08-31,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-09-29,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-10-31,bear,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-11-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2023-12-29,bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2024-01-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2024-02-29,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2024-03-28,strong_bull,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2024-04-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2024-05-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2024-06-28,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2024-07-31,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
2024-08-30,neutral,False,0.0,0.0,0.0,0.0,0,,1.0,0.0
