rebalance_date,original_return,gross_defended_return,defense_turnover,cost,net_return,return_delta,risk_exit_count,relative_trim_count,equity,drawdown
2019-04-30,-0.017356070662597693,-0.01142484673613976,0.21548505441910212,0.0005387126360477554,-0.011963559372187514,0.005392511290410179,4,0,0.9880364406278125,-0.011963559372187516
2019-05-31,0.04966193774082019,0.04966193774082019,0.0391515753751403,9.787893843785076e-05,0.04956405880238234,-9.787893843785089e-05,1,0,1.0370075368699858,0.0
2019-06-28,0.02870401459843621,0.02870401459843621,0.078861633686706,0.000197154084216765,0.028506860514219447,-0.0001971540842167635,1,0,1.0665693660757327,0.0
2019-07-31,0.05113457107077614,0.05113457107077614,0.0385312866756161,9.632821668904026e-05,0.0510382428540871,-9.63282166890414e-05,1,0,1.1210051924022357,0.0
2019-08-30,-0.06406762821454515,-0.021626778003073638,0.3249731995091128,0.000812432998772782,-0.02243921100184642,0.04162841721269873,5,0,1.0958507203557566,-0.022439211001846315
2019-09-30,0.014350711220413724,0.016528682114889868,0.24696967482113671,0.0006174241870528418,0.015911257927837028,0.0015605467074233034,4,0,1.113287083817743,-0.006884989147956766
2019-10-31,8.902865985321146e-05,0.00014918115171320967,0.054847792485789706,0.00013711948121447427,1.2061670498735396e-05,-7.696698935447607e-05,2,0,1.1133005119197188,-0.006873010521928347
2019-11-29,0.04874918758919821,0.04874918758919821,0.10676899957811839,0.000266922498945296,0.04848226509025291,-0.00026692249894529757,2,0,1.167275842463725,0.0
2019-12-31,-0.011104910181951852,-0.0023319494465247055,0.2256820505129142,0.0005642051262822855,-0.002896154572806991,0.008208755609144861,2,0,1.1638952311948465,-0.002896154572807119
2020-01-31,-0.03119713335287484,-0.026322221272757372,0.1356497801562413,0.00033912445039060323,-0.026661345723147975,0.004535787629726864,3,0,1.1328642180504376,-0.02948028491762167
2020-02-28,-0.08792463321195854,-0.04138704498151199,0.439732699509676,0.00109933174877419,-0.04248637673028618,0.04543825648167236,8,0,1.0847329220980855,-0.0707141511567817
2020-03-31,0.0863249873848589,0.0863249873848589,0.0,0.0,0.0863249873848589,0.0,0,0,1.1783724779141438,0.0
2020-04-30,0.09213166338650067,0.09224252657290126,0.0269526856238161,6.738171405954025e-05,0.09217514485884172,4.348147234105315e-05,1,0,1.2869891317635522,0.0
2020-05-29,0.06023786494117819,0.060810057981777604,0.1046690641300474,0.0002616726603251185,0.060548385321452486,0.00031052038027429285,2,0,1.3649142456180934,0.0
2020-06-30,0.12789064933922176,0.12875322717662546,0.0134561479806627,3.364036995165675e-05,0.1287195868066738,0.0008289374674520511,1,0,1.5406054433405971,0.0
2020-07-31,0.07835914841807357,0.07707575186578329,0.01355586704648055,3.3889667616201377e-05,0.07704186219816708,-0.0013172862199064828,0,1,1.6592965556081893,0.0
2020-08-31,-0.02870256694737762,-0.021428912784076687,0.30320045155662767,0.0007580011288915692,-0.022186913912968256,0.006515653034409364,5,0,1.6224818857728258,-0.02218691391296823
2020-09-30,0.035665401062684975,0.030108480920054862,0.04415083364835915,0.00011037708412089789,0.029998103835933963,-0.005667297226751012,0,1,1.671153265854161,0.0
2020-10-30,0.08926162810324419,0.08926162810324419,0.0,0.0,0.08926162810324419,0.0,0,0,1.820323127174357,0.0
2020-11-30,0.05707513508643679,0.0537251875395252,0.01153302514937025,2.8832562873425625e-05,0.053696354976651775,-0.0033787801097850123,0,1,1.91806784398332,0.0
2020-12-31,0.05974756527524438,0.05974756527524438,0.15,0.000375,0.05937256527524438,-0.00037500000000000033,1,0,2.031948452252567,0.0
