rebalance_date,regime_state,style_regime,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,equity,drawdown
2019-05-31,bear,cash_defense,0.05525718034177908,0.001395547132334123,0.27910942646682463,0.05386163320944496,0.44178114706635074,8,"HEI,SBUX,HD,SHOP,TSCO,FDS,PODD,AMT",1.053861633209445,0.0
2019-06-28,neutral,balanced,0.029213364035683094,0.001063267895875081,0.2126535791750162,0.028150096139808012,0.21842006879189801,11,"HD,HEI,SBUX,MSCI,SHOP,AWI,CHDN,PODD,ORCL,MELI,TSCO",1.083527939502346,0.0
2019-07-31,neutral,quality_compounder,0.04548714057539175,0.002228883661312403,0.44577673226248055,0.04325825691407935,0.18114499441613063,11,"HEI,GOOG,HD,PODD,FCN,TER,FICO,TSCO,MELI,LAD,GOOGL",1.1303994694829216,0.0
2019-08-30,neutral,quality_compounder,-0.027890392241204633,0.0022271231926648794,0.44542463853297587,-0.03011751543386951,0.08297363824817594,12,"AMT,GOOG,PODD,SHOP,HEI,DLTR,DG,HD,BAH,RMD,GOOGL,LAD",1.0963546460143319,-0.030117515433869424
2019-09-30,neutral,quality_compounder,-0.003224780262811981,0.002347362389577652,0.4694724779155304,-0.005572142652389632,0.051343864334936096,12,"AMT,GOOGL,PODD,ENTG,DG,DLTR,TER,MLM,HD,CPRT,GOOG,CBRE",1.09024560152913,-0.035521838993925914
2019-10-31,neutral,breakout_growth,-0.008346023915188508,0.003765775261154414,0.7531550522308827,-0.012111799176342922,0.055250545785092364,12,"CPRT,AAPL,CAT,RMD,HD,TAL,EW,DLTR,MKSI,DG,ORLY,GOOG",1.0770407657505179,-0.04720340479000007
2019-11-29,bull,balanced,0.05068011188675497,0.002956080914711858,0.5912161829423717,0.04772403097204311,0.16743206092565255,10,"AAPL,BABA,FTNT,QRVO,CPRT,GOOG,EW,PODD,MSCI,TER",1.1284414926133486,-0.0017321105701408879
2019-12-31,neutral,quality_compounder,0.01426212151303637,0.0016264901399863916,0.3252980279972783,0.012635631373049978,0.23990785426010575,9,"BABA,UI,QRVO,AAPL,TSLA,FTNT,GOOGL,GOOG,CPRT",1.1427000633400652,0.0
2020-01-31,neutral,quality_compounder,-0.033649308895099074,0.002269497763330575,0.453899552666115,-0.03591880665842965,0.11053010819539733,11,"BABA,GOOG,FTNT,FICO,CPRT,TSLA,NOW,MSCI,AAPL,GOOGL,LW",1.1016556406963782,-0.035918806658429614
2020-02-28,bear,cash_defense,-0.0917900002622965,0.001989931532079018,0.39798630641580357,-0.09377993179437552,0.38524888027595816,8,"BABA,TT,NOW,ALLE,TSLA,GOOG,GOOGL,MSCI",0.9983424498509829,-0.12633027521424212
2020-03-31,deep_bear,cash_defense,0.07167204247529618,0.001818257391699514,0.3636514783399028,0.06985378508359667,0.5421578045704112,7,"BABA,RGEN,VEEV,AMZN,NOW,VRTX,TYL",1.068080448782705,-0.0653011380250127
2020-04-30,bear,turnaround_accumulation,0.07065046195562733,0.0010633203950157649,0.21266407900315298,0.06958714156061156,0.3213976946828637,8,"AMZN,BABA,NOW,VEEV,RGEN,TSCO,GILD,GOOGL",1.1424051141702685,-0.00025811600021674597
2020-05-29,neutral,turnaround_accumulation,0.03537581344452064,0.0019324322944295111,0.3864864588859022,0.03344338115009113,0.18011857074537507,11,"NOW,VEEV,GOOGL,AMZN,MELI,RGEN,GOOG,NRG,SE,FTNT,CDNS",1.1806110038312783,0.0
2020-06-30,bull,balanced,0.09581755273942029,0.0015961622425568632,0.3192324485113726,0.09422139049686343,0.27091528202483817,10,"MELI,NOW,SE,AMZN,VEEV,ZTO,CDNS,SHOP,GOOGL,TSLA",1.291849814248159,0.0
2020-07-31,bull,balanced,0.13704131715997392,0.0012507087073722167,0.25014174147444335,0.1357906084526017,0.12421955785188254,12,"MELI,NOW,SE,TSLA,VEEV,GOOGL,PDD,GOOG,JD,ZTO,MEDP,RGEN",1.467270886554297,0.0
2020-08-31,neutral,quality_compounder,-0.02564468016356982,0.00208399899141259,0.416799798282518,-0.02772867915498241,0.09263125004598316,10,"CRM,SE,JD,LOW,NOW,TSLA,VEEV,GOOG,GOOGL,TSCO",1.4265854029075862,-0.02772867915498245
2020-09-30,neutral,quality_compounder,0.022870979634599487,0.0021394635958600513,0.42789271917201027,0.020731516038739437,0.055425091534002546,11,"ENPH,LOW,PG,NOW,ENTG,JD,TSLA,SE,CPRT,TAL,GOOGL",1.4561606810685963,-0.007572020672877655
