rebalance_date,ticker,Name,sector,weight,portfolio_sleeve_label,portfolio_candidate_gate_label,leader_onset_score,alpha_selector_style,alpha_selector_score,target_stock_names,weighting_mode,active_rebalance_interval_months,research_only_backtest,production_activation_allowed,dynamic_regime_state,dynamic_regime_source_variant,dynamic_regime_multiplier
2019-05-31,HEI,HEICO CORP,Industrials,0.30000000000000004,future_winner,future_relaxed,0.4942310220354384,rs_heavy,0.9383374689826303,2,alpha_selector,1,True,False,bear,rs_heavy_N2_cap0.4,0.75
2019-05-31,SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,0.30000000000000004,future_winner,future_relaxed,0.457990584877088,rs_heavy,0.9375310173697272,2,alpha_selector,1,True,False,bear,rs_heavy_N2_cap0.4,0.75
2019-06-28,HD,HOME DEPOT INC,Consumer Discretionary,0.36000000000000004,core_compounder,core_strict,0.5040057289303804,rs_heavy,0.956219512195122,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-06-28,LPX,LOUISIANA PACIFIC CORP,Materials,0.36000000000000004,early_scout,early_relaxed,0.4021376460944259,rs_heavy,0.9015853658536587,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-07-31,CTAS,CINTAS CORP,Industrials,0.36000000000000004,early_scout,early_relaxed,0.5892881704772105,rs_heavy,0.9716101694915255,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-07-31,HD,HOME DEPOT INC,Consumer Discretionary,0.36000000000000004,core_compounder,core_strict,0.510611139574453,rs_heavy,0.960230024213075,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-08-30,RMD,RESMED INC,Health Care,0.36000000000000004,future_winner,future_relaxed,0.5427541557771252,rs_heavy,0.969390243902439,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-08-30,HD,HOME DEPOT INC,Consumer Discretionary,0.36000000000000004,core_compounder,core_strict,0.5514151047256234,rs_heavy,0.9570731707317074,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-09-30,SHW,SHERWIN WILLIAMS,Materials,0.36000000000000004,future_winner,future_relaxed,0.5762388489992802,rs_heavy,0.9873205741626795,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-09-30,LHX,L3HARRIS TECHNOLOGIES INC,Industrials,0.36000000000000004,future_winner,future_relaxed,0.45264978610521167,rs_heavy,0.9437799043062202,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-10-31,AAPL,APPLE INC,Information Technology,0.36000000000000004,core_compounder,core_strict,0.6132163690115133,rs_heavy,1.0,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-10-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.36000000000000004,early_scout,early_relaxed,0.5369443522162639,rs_heavy,0.9965456674473068,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-11-29,BABA,Alibaba Group,Internet,0.5,future_winner,adr_global_alpha_fallback,0.6154674722594075,rs_heavy,0.9651829268292683,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2019-11-29,AAPL,APPLE INC,Information Technology,0.5,core_compounder,core_strict,0.5874744812218788,rs_heavy,0.9370731707317074,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2019-12-31,BABA,Alibaba Group,Internet,0.36000000000000004,future_winner,adr_global_alpha_fallback,0.7473552422595524,rs_heavy,1.0,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2019-12-31,TSLA,TESLA INC,Consumer Discretionary,0.36000000000000004,early_scout,early_relaxed,0.6486742977643912,rs_heavy,0.9635265700483093,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-01-31,GOOG,ALPHABET INC CLASS C,Communication,0.36000000000000004,future_winner,future_relaxed,0.6673624457718553,rs_heavy,1.0,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-01-31,BABA,Alibaba Group,Internet,0.36000000000000004,future_winner,adr_global_alpha_fallback,0.7065497921980146,rs_heavy,1.0,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-02-28,BABA,Alibaba Group,Internet,0.30000000000000004,future_winner,adr_global_alpha_fallback,0.5920013219288132,rs_heavy,1.0,2,alpha_selector,1,True,False,bear,rs_heavy_N2_cap0.4,0.75
2020-02-28,JD,JD.com,Internet,0.30000000000000004,early_scout,adr_global_alpha_fallback,0.6181945474021917,rs_heavy,0.9636363636363636,2,alpha_selector,1,True,False,bear,rs_heavy_N2_cap0.4,0.75
2020-03-31,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0.30000000000000004,future_winner,future_relaxed,0.6218967140619117,rs_heavy,1.0,2,alpha_selector,1,True,False,deep_bear,rs_heavy_N2_cap0.4,0.75
2020-03-31,QGEN,QIAGEN NV,Health Care,0.30000000000000004,early_scout,early_relaxed,0.6148656762975557,rs_heavy,1.0,2,alpha_selector,1,True,False,deep_bear,rs_heavy_N2_cap0.4,0.75
2020-04-30,GILD,GILEAD SCIENCES INC,Health Care,0.30000000000000004,future_winner,future_relaxed,0.6411559213364597,rs_heavy,1.0,2,alpha_selector,1,True,False,bear,rs_heavy_N2_cap0.4,0.75
2020-04-30,QGEN,QIAGEN NV,Health Care,0.30000000000000004,early_scout,early_relaxed,0.606492003965504,rs_heavy,1.0,2,alpha_selector,1,True,False,bear,rs_heavy_N2_cap0.4,0.75
2020-05-29,ABT,ABBOTT LABORATORIES,Health Care,0.36000000000000004,future_winner,future_relaxed,0.6142373293543977,rs_heavy,1.0,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-05-29,CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,0.36000000000000004,future_winner,future_relaxed,0.6246919769418053,rs_heavy,1.0,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-06-30,MELI,MercadoLibre,Internet,0.5,future_winner,adr_global_alpha_fallback,0.6149284500891842,rs_heavy,0.9550133689839572,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2020-06-30,CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,0.5,future_winner,future_relaxed,0.5483334966433144,rs_heavy,0.9342245989304813,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2020-07-31,CTAS,CINTAS CORP,Industrials,0.5,early_scout,early_relaxed,0.5075116367621005,rs_heavy,0.9601063829787234,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2020-07-31,MELI,MercadoLibre,Internet,0.5,future_winner,adr_global_alpha_fallback,0.5789496816801625,rs_heavy,0.9498005319148937,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2020-08-31,CTAS,CINTAS CORP,Industrials,0.36000000000000004,future_winner,future_relaxed,0.47636164251341195,rs_heavy,0.9426056338028169,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-08-31,CRM,SALESFORCE INC,Information Technology,0.36000000000000004,core_compounder,core_strict,0.562147990046066,rs_heavy,0.935,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-09-30,PWR,QUANTA SERVICES INC,Industrials,0.36000000000000004,future_winner,future_relaxed,0.5139896985170236,rs_heavy,0.9684604904632151,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-09-30,HD,HOME DEPOT INC,Consumer Discretionary,0.36000000000000004,core_compounder,core_strict,0.5591503221094496,rs_heavy,0.9536103542234333,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-10-30,PWR,QUANTA SERVICES INC,Industrials,0.36000000000000004,future_winner,future_relaxed,0.622008647248444,rs_heavy,1.0,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-10-30,GOOG,ALPHABET INC CLASS C,Communication,0.36000000000000004,future_winner,future_relaxed,0.5616188599465127,rs_heavy,0.9541230366492146,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-11-30,UI,UBIQUITI INC,Information Technology,0.36000000000000004,future_winner,future_relaxed,0.5019482496709787,rs_heavy,0.9133858267716535,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-11-30,CRUS,CIRRUS LOGIC INC,Information Technology,0.36000000000000004,early_scout,early_relaxed,0.47887312042372115,rs_heavy,0.907217847769029,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2020-12-31,KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,0.5,early_scout,early_relaxed,0.4325670603687994,rs_heavy,0.9285809018567639,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2020-12-31,DIS,WALT DISNEY,Communication,0.5,core_compounder,core_strict,0.44281911709579236,rs_heavy,0.8959549071618036,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2021-01-29,CRUS,CIRRUS LOGIC INC,Information Technology,0.36000000000000004,early_scout,early_relaxed,0.6075846139842552,rs_heavy,0.9566537467700258,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
2021-01-29,GOOG,ALPHABET INC CLASS C,Communication,0.36000000000000004,future_winner,future_relaxed,0.5490856626968575,rs_heavy,0.9351421188630491,2,alpha_selector,1,True,False,neutral,rs_heavy_N2_cap0.4,0.9
