rebalance_date,portfolio_sleeve_label,sleeve_weight,sleeve_weighted_forward_return,sleeve_return_proxy,ticker_count
2019-04-30,core_compounder,1.0,0.0007801113540882873,0.0007801113540882873,18
2019-05-31,cash,0.28,0.0,0.0,1
2019-05-31,core_compounder,0.72,0.050119833985157694,0.06961088053494124,18
2019-06-28,core_compounder,1.0,0.01302736754947458,0.01302736754947458,25
2019-07-31,core_compounder,1.0,0.02781002674720507,0.02781002674720507,18
2019-08-30,cash,0.004217663187255569,0.0,0.0,1
2019-08-30,core_compounder,0.9957823368127445,-0.009123008633833862,-0.00916164938518028,18
2019-09-30,core_compounder,1.0,0.023894595746929426,0.023894595746929426,25
2019-10-31,core_compounder,1.0,0.00650425881133043,0.00650425881133043,36
2019-11-29,core_compounder,1.0,0.036610517964597446,0.036610517964597446,46
2019-12-31,core_compounder,1.0000000000000002,0.08701859893445235,0.08701859893445234,18
2020-01-31,core_compounder,1.0,-0.02203936078953625,-0.02203936078953625,18
2020-02-28,cash,0.28,0.0,0.0,1
2020-02-28,core_compounder,0.72,-0.054990557119410775,-0.07637577377695941,18
2020-03-31,cash,0.4,0.0,0.0,1
2020-03-31,core_compounder,0.6,0.12619382442324795,0.21032304070541324,18
2020-04-30,core_compounder,1.0,0.16761653777063357,0.16761653777063357,26
2020-05-29,cash,0.005794567832009337,0.0,0.0,1
2020-05-29,core_compounder,0.9942054321679907,0.057805835806889305,0.05814274790355588,18
2020-06-30,core_compounder,0.9999999999999999,0.10577010202338312,0.10577010202338313,18
2020-07-31,cash,0.015882558103144553,0.0,0.0,1
2020-07-31,core_compounder,0.9841174418968555,0.12005373249577071,0.12199126586393075,18
2020-08-31,core_compounder,1.0,-0.020838329966894432,-0.020838329966894432,26
2020-09-30,core_compounder,1.0,0.005177565061377277,0.005177565061377277,18
2020-10-30,cash,0.27194037920186154,0.0,0.0,1
2020-10-30,core_compounder,0.7280596207981386,0.09124279485878178,0.12532324586104152,26
2020-11-30,core_compounder,1.0,0.051262855918222654,0.051262855918222654,33
2020-12-31,cash,0.0053478842361185525,0.0,0.0,1
2020-12-31,core_compounder,0.9946521157638814,-0.00030791204711949844,-0.0003095675786936074,18
2021-01-29,cash,0.2799999999999999,0.0,0.0,1
2021-01-29,core_compounder,0.7200000000000001,0.04839794384481553,0.06721936645113268,17
2021-02-26,cash,0.2810883759001701,0.0,0.0,1
2021-02-26,core_compounder,0.7189116240998299,-0.013022488915024296,-0.01811417214366249,25
2021-03-31,core_compounder,1.0,0.05035863025955725,0.05035863025955725,27
2021-04-30,core_compounder,1.0,-0.0008973723122134074,-0.0008973723122134074,29
2021-05-28,core_compounder,1.0,0.06252880105555558,0.06252880105555558,31
2021-06-30,core_compounder,1.0,0.035428419113861576,0.035428419113861576,18
2021-07-30,core_compounder,1.0,0.051037106696129486,0.051037106696129486,25
2021-08-31,core_compounder,1.0,-0.0516966757977772,-0.0516966757977772,32
2021-09-30,cash,0.28,0.0,0.0,1
2021-09-30,core_compounder,0.72,0.09125628901468218,0.12674484585372525,17
2021-10-29,core_compounder,1.0,0.0056633981030135856,0.0056633981030135856,24
2021-11-30,core_compounder,1.0000000000000002,0.009682337920342982,0.00968233792034298,18
