rebalance_date,net_return,drawdown,regime_state
2023-08-31,-0.05874180994744525,-0.07671651820168679,
2022-05-31,-0.0534156359749107,-0.12724997558080298,
2021-12-31,-0.05268500807679507,-0.05913839967732748,
2025-02-28,-0.049738616936704345,-0.07620992781027514,
2026-02-27,-0.04385777127031622,-0.043857771270316204,
2022-11-30,-0.04317129918489884,-0.05851409388051676,
2020-02-28,-0.04246150677523113,-0.08458683249721644,
2022-03-31,-0.03938467521413548,-0.09594602961887733,
2021-08-31,-0.03756159219960508,-0.03756159219960509,
2021-02-26,-0.035817654163715615,-0.03581765416371563,
