rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,market_circuit_state,market_circuit_multiplier,market_circuit_source_rebalance_date,market_circuit_target_book
2019-05-31,FDS,0.264,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,caution,0.8,2019-05-31,True
2019-05-31,HEI,0.264,HEICO CORP,Industrials,future_winner,caution,0.8,2019-05-31,True
2019-06-03,FDS,0.165,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,crisis,0.5,2019-05-31,True
2019-06-03,HEI,0.165,HEICO CORP,Industrials,future_winner,crisis,0.5,2019-05-31,True
2019-06-11,FDS,0.264,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,caution,0.8,2019-05-31,True
2019-06-11,HEI,0.264,HEICO CORP,Industrials,future_winner,caution,0.8,2019-05-31,True
2019-06-12,FDS,0.33,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,normal,1.0,2019-05-31,True
2019-06-12,HEI,0.33,HEICO CORP,Industrials,future_winner,normal,1.0,2019-05-31,True
2019-06-28,HD,0.33,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-06-28,True
2019-06-28,HEI,0.33,HEICO CORP,Industrials,future_winner,normal,1.0,2019-06-28,True
2019-07-31,CTAS,0.33,CINTAS CORP,Industrials,early_scout,normal,1.0,2019-07-31,True
2019-07-31,HD,0.33,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-07-31,True
2019-08-05,CTAS,0.165,CINTAS CORP,Industrials,early_scout,crisis,0.5,2019-07-31,True
2019-08-05,HD,0.165,HOME DEPOT INC,Consumer Discretionary,core_compounder,crisis,0.5,2019-07-31,True
2019-08-30,HD,0.165,HOME DEPOT INC,Consumer Discretionary,core_compounder,crisis,0.5,2019-08-30,True
2019-08-30,RMD,0.165,RESMED INC,Health Care,future_winner,crisis,0.5,2019-08-30,True
2019-09-09,HD,0.264,HOME DEPOT INC,Consumer Discretionary,core_compounder,caution,0.8,2019-08-30,True
2019-09-09,RMD,0.264,RESMED INC,Health Care,future_winner,caution,0.8,2019-08-30,True
2019-09-10,HD,0.33,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-08-30,True
2019-09-10,RMD,0.33,RESMED INC,Health Care,future_winner,normal,1.0,2019-08-30,True
2019-09-30,MLM,0.33,MARTIN MARIETTA MATERIALS INC,Materials,early_scout,normal,1.0,2019-09-30,True
2019-09-30,SHW,0.33,SHERWIN WILLIAMS,Materials,future_winner,normal,1.0,2019-09-30,True
2019-10-02,MLM,0.165,MARTIN MARIETTA MATERIALS INC,Materials,early_scout,crisis,0.5,2019-09-30,True
2019-10-02,SHW,0.165,SHERWIN WILLIAMS,Materials,future_winner,crisis,0.5,2019-09-30,True
2019-10-15,MLM,0.264,MARTIN MARIETTA MATERIALS INC,Materials,early_scout,caution,0.8,2019-09-30,True
2019-10-15,SHW,0.264,SHERWIN WILLIAMS,Materials,future_winner,caution,0.8,2019-09-30,True
2019-10-16,MLM,0.33,MARTIN MARIETTA MATERIALS INC,Materials,early_scout,normal,1.0,2019-09-30,True
2019-10-16,SHW,0.33,SHERWIN WILLIAMS,Materials,future_winner,normal,1.0,2019-09-30,True
2019-10-31,BKNG,0.33,BOOKING HOLDINGS INC,Consumer Discretionary,early_scout,normal,1.0,2019-10-31,True
