portfolio,status,runner_rows,local_rows,common_date_count,runner_only_date_count,local_only_date_count,ticker_mismatch_date_count,max_weight_delta_abs,average_l1_weight_diff,max_l1_weight_diff
main,parity_gap,1207,1203,86,0,0,84,0.1402969539262207,0.35795627249249223,0.8412396993567169
concentrated,parity_gap,545,543,86,0,0,72,0.4105397874842518,0.38246842101223966,1.1399999999999997
