rebalance_date,policy,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,monster_count,winner_count,scout_count,equity,drawdown
2019-04-30,concentrated,-0.014236651136965758,0.00037500000000000006,0.07500000000000001,-0.014611651136965758,0.85,3,"NOW,ALGN,CDNS",0,0,3,0.9853883488630343,-0.01461165113696572
2019-05-31,concentrated,0.026541246371199784,0.0006125,0.1225,0.025928746371199785,0.655,6,"NOW,ALGN,CDNS,SBAC,BR,SHOP",0,0,5,1.0109382334378392,0.0
2019-06-28,concentrated,0.008158463345658359,0.000775,0.155,0.007383463345658359,0.345,8,"NOW,ALGN,CDNS,SBAC,BR,SHOP,ADBE,HEI",0,0,4,1.018402458829152,0.0
2019-07-31,concentrated,0.028221612922621472,0.0007124999999999999,0.1425,0.02750911292262147,0.10999999999999999,8,"NOW,CDNS,SBAC,BR,SHOP,ADBE,HEI,CTAS",0,0,1,1.0464178070697585,0.0
2019-08-30,concentrated,-0.09376662872447589,0.0014250000000000003,0.28500000000000003,-0.09519162872447588,0.020000000000000018,8,"CDNS,SBAC,SHOP,ADBE,HEI,CTAS,MU,KLAC",0,1,2,0.9468075916884938,-0.09519162872447584
2019-09-30,concentrated,0.007227692981232685,0.0010736842105263159,0.21473684210526317,0.006154008770706369,0.0,8,"SBAC,SHOP,ADBE,HEI,CTAS,MU,KLAC,GMED",0,2,2,0.9526342539119161,-0.08962343007183782
2019-10-31,concentrated,-0.027926283059658257,0.0022013157894736845,0.44026315789473686,-0.03012759884913194,0.32999999999999996,6,"CTAS,MU,KLAC,AAPL,SYY,VST",0,1,3,0.9239336712601158,-0.11705089017228221
2019-11-29,concentrated,0.05737631161818939,0.000425,0.08499999999999999,0.056951311618189386,0.15999999999999992,8,"CTAS,MU,KLAC,AAPL,SYY,VST,DPZ,UNH",0,1,4,0.9765529056865885,-0.06676578027548086
2019-12-31,concentrated,-0.01962376915592462,0.002123684210526316,0.4247368421052632,-0.021747453366450935,0.0,8,"MU,KLAC,AAPL,SYY,DPZ,UNH,RMD,LW",0,2,2,0.9553153669102973,-0.08706124794891601
2020-01-31,concentrated,-0.003634170083606436,0.00027656952298100605,0.05531390459620121,-0.003910739606587442,0.0,8,"MU,KLAC,AAPL,SYY,DPZ,UNH,RMD,LW",0,2,1,0.9515793772681396,-0.0906315136849507
2020-02-28,concentrated,-0.1453242732879121,0.0015334710743801652,0.30669421487603304,-0.14685774436229226,0.05999999999999994,8,"MU,AAPL,DPZ,RMD,LW,XYZ,NOW,TMUS",0,2,4,0.8118325763408658,-0.22417931837933092
2020-03-31,concentrated,0.10319807220397036,0.0016500000000000002,0.33,0.10154807220397036,0.29999999999999993,8,"MU,DPZ,XYZ,NOW,TMUS,QGEN,MASI,GILD",0,1,6,0.8942726094206633,-0.1453962237847818
2020-04-30,concentrated,0.06662943341264811,0.00235,0.47000000000000003,0.06427943341264811,0.020000000000000018,8,"DPZ,NOW,TMUS,QGEN,MASI,GILD,AMZN,INCY",0,1,2,0.951755946070674,-0.09046277725735785
2020-05-29,concentrated,8.451511223011134e-05,0.0009136363636363638,0.18272727272727274,-0.0008291212514062524,0.0,8,"DPZ,NOW,TMUS,QGEN,MASI,GILD,AMZN,INCY",0,5,0,0.9509668249896346,-0.09121689389767884
2020-06-30,concentrated,0.051225335659325896,0.0008270750988142292,0.16541501976284584,0.050398260560511665,1.1102230246251565e-16,8,"DPZ,NOW,TMUS,QGEN,MASI,GILD,AMZN,INCY",1,6,0,0.9988938988198648,-0.04541580612334284
2020-07-31,concentrated,0.04608228215903014,0.0008695652173913046,0.17391304347826092,0.045212716941638836,0.0,8,"NOW,TMUS,QGEN,MASI,AMZN,INCY,MELI,TWLO",1,5,2,1.0440566059219374,-0.0022564611686349823
2020-08-31,concentrated,-0.02851059996894127,0.0014,0.27999999999999997,-0.029910599968941267,1.1102230246251565e-16,8,"NOW,TMUS,QGEN,AMZN,MELI,TWLO,WDAY,IAC",2,2,3,1.0128282464372758,-0.032099569030215824
2020-09-30,concentrated,-0.006367797613054243,0.0001791774518262869,0.03583549036525738,-0.006546975064880531,0.0,8,"NOW,TMUS,QGEN,AMZN,MELI,TWLO,WDAY,IAC",2,2,2,1.0061972851628442,-0.038436389017062145
2020-10-30,concentrated,0.06662229667262044,0.0023157894736842107,0.4631578947368421,0.06430650719893623,0.0,7,"NOW,QGEN,MELI,WDAY,PWR,MLM,ALGN",1,2,3,1.0709023181247186,0.0
2020-11-30,concentrated,0.07394782463295425,0.0027823308270676695,0.5564661654135339,0.07116549380588659,0.05999999999999994,8,"MELI,WDAY,PWR,MLM,ALGN,ROKU,LRCX,MU",0,2,4,1.1471136104119328,0.0
2020-12-31,concentrated,0.08750056123841743,0.0013750000000000001,0.275,0.08612556123841743,0.06999999999999995,8,"MELI,PWR,MLM,ALGN,ROKU,LRCX,MU,HPQ",0,1,1,1.245909413912888,0.0
