window_days,n_fires,avg_return_pct,median_return_pct,spy_return_pct,alpha_pct,alpha_std,alpha_sharpe,hit_rate_positive,hit_rate_beat_spy,max_return_pct,min_return_pct,tier,tier_name
30,281,0.521898278762095,0.40758100672508846,1.1186668303644118,-0.5967685516023167,10.299704024118352,-0.05794035927681909,0.5338078291814946,0.44483985765124556,96.18409554325662,-32.00314527226262,T1,Stage 2 Breakout
60,281,2.057306730862878,0.33454630825213716,2.5739190201973146,-0.5166122893344365,17.984625338373377,-0.028725218324796173,0.5160142348754448,0.4092526690391459,158.13698630136983,-44.837468271513956,T1,Stage 2 Breakout
90,281,1.819733534358886,0.3847563209967042,4.338299784516087,-2.5185662501572,20.435624245720113,-0.1232439107253927,0.505338078291815,0.3807829181494662,162.36399217221137,-70.2756009046442,T1,Stage 2 Breakout
180,281,2.7612877876153914,0.16330166270783764,6.351439985462952,-3.5901521978475586,28.91963534913051,-0.1241423743593468,0.501779359430605,0.31316725978647686,302.7517423696227,-87.73246886196895,T1,Stage 2 Breakout
30,13,0.6695527891876849,3.452754142409309,3.3108239634386054,-2.641271174250922,7.986842194227528,-0.3307028122027871,0.5384615384615384,0.5384615384615384,13.205002452182434,-15.001655811899772,T2,VCP Breakout
60,13,3.282471746855094,2.6063591580832934,5.3111568805747815,-2.028685133719688,16.650082468271275,-0.12184234748299838,0.6923076923076923,0.46153846153846156,28.78907276070397,-25.538793103448263,T2,VCP Breakout
90,13,6.4616732377881885,7.720924367098592,6.886396815428939,-0.4247235776407513,18.793369467223314,-0.022599650285250496,0.5384615384615384,0.5384615384615384,46.608221696874175,-24.461861132575336,T2,VCP Breakout
180,13,12.608446536869561,11.38701146047605,8.696995495672828,3.911451041196735,25.64084243641275,0.15254768055678444,0.6153846153846154,0.5384615384615384,56.67741576781942,-28.73014045590605,T2,VCP Breakout
30,6,9.7792173027067,2.8147917630915065,3.2764882138740035,6.502729088832697,12.392606158062362,0.5247265188527082,0.8333333333333334,0.5,28.894173602853733,-1.2892561983471107,T3,Earnings Gap
60,6,28.773142254834344,2.470078267975823,3.291185482053146,25.4819567727812,59.292954694372376,0.42976365242934583,0.5,0.5,145.89774078477998,-9.255692760847401,T3,Earnings Gap
90,6,40.88291940074926,-1.1934518781726022,4.686641240135599,36.196278160613666,102.35615150125673,0.35363070640819516,0.5,0.5,247.80023781212842,-25.85123966942149,T3,Earnings Gap
180,6,31.511720120269562,-3.3915999372223222,7.389298094110156,24.122422026159402,75.85589613358255,0.3180032569080684,0.5,0.5,176.93222354340068,-25.22644456012494,T3,Earnings Gap
30,75,4.595888191525722,-0.4973668812170873,1.7503597106914086,2.845528480834313,20.234408677645884,0.1406282005155867,0.4533333333333333,0.4266666666666667,96.18409554325662,-29.097921577030206,T4,RS Acceleration
60,75,10.328401272175064,2.8975550616286094,3.2809363135874503,7.047464958587614,31.58339001264695,0.2231383317549381,0.6,0.49333333333333335,145.89774078477998,-37.319382162431495,T4,RS Acceleration
90,75,14.93118464869399,5.405259171085386,4.5959682924883785,10.33521635620561,48.33856151504283,0.2138089349843255,0.56,0.52,262.6036394960698,-39.897843359818395,T4,RS Acceleration
180,75,15.907637898601049,12.919463087248339,7.699020771691535,8.20861712690951,46.42739004877046,0.17680548310569744,0.64,0.5466666666666666,242.414127274685,-67.74994293540288,T4,RS Acceleration
30,68,2.0921396765591327,1.7705642855784243,2.220903546292533,-0.1287638697334006,14.33666751271073,-0.008981436559035771,0.5735294117647058,0.4852941176470588,59.07534246575344,-30.672495947339982,T5,Stage 1->2 Turnaround
60,68,4.4591703912098986,1.208056643790567,3.6509900888354823,0.8081803023744161,24.19536676771649,0.03340227532540481,0.5882352941176471,0.4411764705882353,145.89774078477998,-37.92307314437294,T5,Stage 1->2 Turnaround
90,68,8.357583212488475,1.2458062415622972,5.476717411772044,2.880865800716429,36.32323796339767,0.0793119215753681,0.5588235294117647,0.4411764705882353,247.80023781212842,-50.40888563407787,T5,Stage 1->2 Turnaround
180,68,9.068139363421286,3.1513755787147324,8.167267583294958,0.9008717801263266,39.49182656753749,0.022811600739350166,0.5588235294117647,0.35294117647058826,176.93222354340068,-63.77395337483218,T5,Stage 1->2 Turnaround
