ticker,date,tier,score,fired,fwd_30d,fwd_60d,fwd_90d,fwd_180d,spy_30d,spy_60d,spy_90d,spy_180d
A,2024-02-29,T1,8.0,False,6.203926720677333,1.8830742281585433,6.182030508721992,2.9559886139697955,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AA,2024-02-29,T1,0.0,False,28.381458966565344,43.047112462006076,66.90729483282674,21.92249240121582,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AAL,2024-02-29,T1,16.0,False,-0.7115135834411479,-9.573091849935322,-24.83829236739975,-34.346701164294956,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AAON,2024-02-29,T1,8.0,False,1.380897583429208,7.997698504027606,-13.84349827387802,6.7548906789413055,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AAPL,2024-02-29,T1,8.0,False,-5.478999007827145,-4.365560577665084,4.889207364127435,24.842905964061313,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ABBV,2024-02-29,T1,60.0,True,2.3033707865168562,-9.258426966292133,-13.039325842696636,9.775280898876403,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ABNB,2024-02-29,T1,16.0,False,7.514827608681474,5.7485498272827895,-4.445023789350189,-23.398292380890307,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ABT,2024-02-29,T1,80.0,True,-5.322782174094131,-10.645564348188252,-16.093294460641395,-5.95585172844647,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ACGL,2024-02-29,T1,24.0,False,4.7122791119166285,3.3642954236520195,15.031717263253274,25.747621205256,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ACHC,2024-02-29,T1,16.0,False,-5.046146470094703,-10.571736785329023,-22.006472491909403,-5.237924008150552,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ACI,2024-02-29,T1,0.0,False,4.585365853658541,-0.6341463414634152,-0.6829268292682933,-1.2682926829268415,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ACM,2024-02-29,T1,8.0,False,9.942831521129914,5.346934200201781,-4.169936105817729,11.94933303441319,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ACN,2024-02-29,T1,60.0,True,-8.311509668544815,-19.805306457159478,-22.28923630399704,-10.750469539454532,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ADBE,2024-02-29,T1,8.0,False,-8.557138197238235,-14.270957921061223,-13.450038055887791,1.5802254358305179,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ADC,2024-02-29,T1,0.0,False,3.2724642921713842,4.447658651238484,6.454529018260713,32.59808352919906,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ADI,2024-02-29,T1,0.0,False,5.341925862803576,8.596080102258208,21.511504047720507,20.98956114188326,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ADM,2024-02-29,T1,0.0,False,18.487077909828354,14.487832484436902,13.242784380305617,14.997170345217882,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ADP,2024-02-29,T1,16.0,False,-0.7234854507870869,-3.025123231038329,-4.559548417872472,8.395611384957856,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ADSK,2024-02-29,T1,16.0,False,2.025465230166512,-15.0714985308521,-18.311459353574932,-0.24681684622918088,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ADT,2024-02-29,T1,16.0,False,-6.536856745479847,-8.90125173852574,-2.364394993045904,2.364394993045904,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AEE,2024-02-29,T1,0.0,False,3.4550286753392,4.000559518813818,-1.9443278780248985,15.176947824870624,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AEP,2024-02-29,T1,8.0,False,3.336533845415257,4.020643302928484,4.980796927508413,18.26692270763324,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AES,2024-02-29,T1,0.0,False,19.057104913678625,18.59229747675961,39.90703851261619,14.209827357237703,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AFG,2024-02-29,T1,16.0,False,7.51536158815187,0.5987080510477361,-1.252560264691982,4.183078619820391,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AFL,2024-02-29,T1,8.0,False,6.57894736842104,4.940417080436954,8.217477656405169,35.091857000993045,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AFRM,2024-02-29,T1,8.0,False,-0.6400000000000072,-10.88,-23.41333333333334,-15.78666666666667,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AGCO,2024-02-29,T1,0.0,False,12.347031963470311,8.803652968036534,-4.429223744292232,-17.506849315068497,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AGNC,2024-02-29,T1,0.0,False,5.4313099041533475,-1.5974440894568676,0.8519701810436597,9.478168264110742,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AGO,2024-02-29,T1,100.0,True,-8.157894736842108,-17.42105263157895,-19.852631578947367,-16.98947368421053,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AIG,2024-02-29,T1,60.0,True,7.924893000138056,4.5699295871876044,7.096506972249039,4.266188043628305,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AIT,2024-02-29,T1,60.0,True,3.467239302362124,-3.247263394961508,-0.24092599381972946,6.646414916461518,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AIZ,2024-02-29,T1,80.0,True,3.2866941015089246,-3.8024691358024776,-7.242798353909463,6.447187928669407,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AJG,2024-02-29,T1,16.0,False,1.861734631523193,-4.855990548743227,-0.06110726361673313,18.49513178799853,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
AKAM,2024-02-29,T1,8.0,False,0.5733308673941284,-5.8812650268170845,-15.997780654706862,-7.453301276123547,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALB,2024-02-29,T1,8.0,False,-0.24231409965166373,-4.7932757837346625,-6.527336059366961,-33.3636225957898,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALGM,2024-02-29,T1,0.0,False,-12.43910360506657,-1.7538161740824898,-3.020461188697632,-21.922702176031184,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALGN,2024-02-29,T1,0.0,False,8.442739508581653,0.8035980025794531,-16.41257978107742,-23.63173385363272,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALK,2024-02-29,T1,0.0,False,12.89390756302522,15.782563025210106,6.748949579831942,-6.1186974789915975,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALL,2024-02-29,T1,60.0,True,7.73398094526434,5.598106980509376,1.8120679992527533,16.482969051622142,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALLE,2024-02-29,T1,16.0,False,5.110799001248445,-2.6139200998751555,-6.843008739076151,6.608926342072419,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALLY,2024-02-29,T1,16.0,False,12.03422577974056,8.087220535467843,4.58183825558931,17.306099917195695,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALNY,2024-02-29,T1,0.0,False,-3.7235070540488358,-5.069896282934982,-5.3469045931842984,80.82844810925724,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
ALSN,2024-02-29,T1,80.0,True,7.368699563434311,0.648233893372141,-1.468448207434847,19.989416589495956,3.3204282384545536,0.7506024572354164,3.9189349346185898,10.279303124876549
