ticker,shares,price,price_date,market_value_usd,cost_basis,current_weight
CIEN,115.0,445.9800109863281,2026-06-12,51287.701263427734,385.9596455158453,0.06210397863963009
COHR,51.0,385.0299987792969,2026-06-12,19636.52993774414,275.97206934100615,0.023777759692258336
FIX,16.0,1952.02001953125,2026-06-15,31232.3203125,1877.005111694336,0.03781903469588162
KEYS,26.0,356.94000244140625,2026-06-15,9280.440063476562,319.9884526179387,0.011237630801743524
LITE,53.0,957.239990234375,2026-06-15,50733.719482421875,440.176428209097,0.061433165328703535
MRVL,342.0,279.70001220703125,2026-06-12,95657.40417480469,164.9499969482422,0.11583099338146266
MU,39.0,981.6099853515625,2026-06-12,38282.78942871094,466.68680918114813,0.04635640667017922
ON,364.0,116.79000091552734,2026-06-12,42511.56033325195,103.02999877929688,0.05147700072017569
PWR,60.0,724.3499755859375,2026-06-15,43460.99853515625,738.3403452555339,0.05262666990709944
SNDK,67.0,1980.0999755859375,2026-06-12,132666.6983642578,771.6555348866021,0.16064533208625748
STM,1110.0,78.94999694824219,2026-06-15,87634.49661254883,55.75,0.10611610135861897
TER,26.0,403.20001220703125,2026-06-12,10483.200317382812,215.0043532311531,0.012694046185492731
WDC,170.0,562.9299926757812,2026-06-12,95698.09875488281,336.1831014782335,0.11588027021137828
