row_type,ticker,projected_shares,reference_price,projected_market_value_usd,projected_weight
equity,SNDK,51.0,1980.0999755859375,100985.09875488281,0.12232079229362611
equity,WDC,162.0,562.9299926757812,91194.65881347656,0.11046187067744984
equity,STM,1110.0,78.94999694824219,87634.49661254883,0.1061495328525562
equity,CIEN,171.0,445.9800109863281,76262.58187866211,0.09237500931100918
equity,MRVL,251.0,279.70001220703125,70204.70306396484,0.08503724814259013
equity,LITE,53.0,957.239990234375,50733.719482421875,0.061452519625251716
equity,ON,399.0,116.79000091552734,46599.21036529541,0.05644448935952227
equity,PWR,60.0,724.3499755859375,43460.99853515625,0.05264324974911597
equity,FIX,16.0,1952.02001953125,31232.3203125,0.03783094944598042
equity,MU,27.0,981.6099853515625,26503.469604492188,0.03210300767661297
equity,COHR,54.0,385.0299987792969,20791.61993408203,0.025184383188830557
equity,TER,27.0,403.20001220703125,10886.400329589844,0.01318643176032578
equity,KEYS,26.0,356.94000244140625,9280.440063476562,0.01124117117668387
cash,CASH,0.0,1.0,159806.1868959165,0.19356934474044502
