rebalance_date,ticker,Name,sector,weight,portfolio_sleeve_label,portfolio_candidate_gate_label,leader_onset_score,alpha_selector_style,alpha_selector_score,target_stock_names,weighting_mode,active_rebalance_interval_months,research_only_backtest,production_activation_allowed,dynamic_regime_state,dynamic_regime_source_variant,dynamic_regime_multiplier
2019-05-31,HEI,HEICO CORP,Industrials,0.25,future_winner,future_relaxed,0.4942310220354384,rs_heavy,0.9383374689826303,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2019-05-31,SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,0.25,future_winner,future_relaxed,0.457990584877088,rs_heavy,0.9375310173697272,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2019-05-31,AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,0.25,early_scout,early_relaxed,0.4237014895761225,rs_heavy,0.915074441687345,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2019-06-28,HD,HOME DEPOT INC,Consumer Discretionary,0.33,core_compounder,core_strict,0.5040057289303804,rs_heavy,0.956219512195122,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-06-28,LPX,LOUISIANA PACIFIC CORP,Materials,0.33,early_scout,early_relaxed,0.4021376460944259,rs_heavy,0.9015853658536587,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-06-28,ACM,AECOM,Industrials,0.33,early_scout,early_relaxed,0.4614689142017162,rs_heavy,0.8935975609756096,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-07-31,CTAS,CINTAS CORP,Industrials,0.33,early_scout,early_relaxed,0.5892881704772105,rs_heavy,0.9716101694915255,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-07-31,HD,HOME DEPOT INC,Consumer Discretionary,0.33,core_compounder,core_strict,0.510611139574453,rs_heavy,0.960230024213075,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-07-31,TER,TERADYNE INC,Information Technology,0.33,early_scout,early_relaxed,0.5980920491823485,rs_heavy,0.9381355932203389,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-08-30,RMD,RESMED INC,Health Care,0.33,future_winner,future_relaxed,0.5427541557771252,rs_heavy,0.969390243902439,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-08-30,HD,HOME DEPOT INC,Consumer Discretionary,0.33,core_compounder,core_strict,0.5514151047256234,rs_heavy,0.9570731707317074,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-08-30,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.33,early_scout,early_relaxed,0.5069833015038308,rs_heavy,0.9320731707317075,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-09-30,SHW,SHERWIN WILLIAMS,Materials,0.33,future_winner,future_relaxed,0.5762388489992802,rs_heavy,0.9873205741626795,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-09-30,LHX,L3HARRIS TECHNOLOGIES INC,Industrials,0.33,future_winner,future_relaxed,0.45264978610521167,rs_heavy,0.9437799043062202,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-09-30,MLM,MARTIN MARIETTA MATERIALS INC,Materials,0.33,early_scout,early_relaxed,0.4948965662372211,rs_heavy,0.9435406698564593,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-10-31,AAPL,APPLE INC,Information Technology,0.33,core_compounder,core_strict,0.6132163690115133,rs_heavy,1.0,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-10-31,ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,0.33,early_scout,early_relaxed,0.5369443522162639,rs_heavy,0.9965456674473068,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-10-31,BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,0.33,early_scout,early_relaxed,0.5409590936438506,rs_heavy,0.9813231850117096,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-11-29,BABA,Alibaba Group,Internet,0.5,future_winner,adr_global_alpha_fallback,0.6154674722594075,rs_heavy,0.9651829268292683,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2019-11-29,AAPL,APPLE INC,Information Technology,0.5,core_compounder,core_strict,0.5874744812218788,rs_heavy,0.9370731707317074,2,alpha_selector,1,True,False,bull,rs_heavy_N2_cap0.5,1.0
2019-12-31,BABA,Alibaba Group,Internet,0.33,future_winner,adr_global_alpha_fallback,0.7473552422595524,rs_heavy,1.0,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-12-31,TSLA,TESLA INC,Consumer Discretionary,0.33,early_scout,early_relaxed,0.6486742977643912,rs_heavy,0.9635265700483093,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2019-12-31,RMD,RESMED INC,Health Care,0.33,future_winner,future_relaxed,0.5243670909870568,rs_heavy,0.9551328502415459,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2020-01-31,GOOG,ALPHABET INC CLASS C,Communication,0.33,future_winner,future_relaxed,0.6673624457718553,rs_heavy,1.0,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2020-01-31,BABA,Alibaba Group,Internet,0.33,future_winner,adr_global_alpha_fallback,0.7065497921980146,rs_heavy,1.0,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2020-01-31,FICO,FAIR ISAAC CORP,Information Technology,0.33,future_winner,future_relaxed,0.6298852646768145,rs_heavy,1.0,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2020-02-28,BABA,Alibaba Group,Internet,0.25,future_winner,adr_global_alpha_fallback,0.5920013219288132,rs_heavy,1.0,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2020-02-28,JD,JD.com,Internet,0.25,early_scout,adr_global_alpha_fallback,0.6181945474021917,rs_heavy,0.9636363636363636,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2020-02-28,NOW,SERVICENOW INC,Information Technology,0.25,future_winner,future_relaxed,0.5988894603183996,rs_heavy,0.9617045454545454,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2020-03-31,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0.25,future_winner,future_relaxed,0.6218967140619117,rs_heavy,1.0,3,alpha_selector,1,True,False,deep_bear,rs_heavy_N3_cap0.25,1.0
2020-03-31,QGEN,QIAGEN NV,Health Care,0.25,early_scout,early_relaxed,0.6148656762975557,rs_heavy,1.0,3,alpha_selector,1,True,False,deep_bear,rs_heavy_N3_cap0.25,1.0
2020-03-31,JD,JD.com,Internet,0.25,early_scout,adr_global_alpha_fallback,0.614839637279853,rs_heavy,0.9695680628272251,3,alpha_selector,1,True,False,deep_bear,rs_heavy_N3_cap0.25,1.0
2020-04-30,GILD,GILEAD SCIENCES INC,Health Care,0.25,future_winner,future_relaxed,0.6411559213364597,rs_heavy,1.0,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2020-04-30,QGEN,QIAGEN NV,Health Care,0.25,early_scout,early_relaxed,0.606492003965504,rs_heavy,1.0,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2020-04-30,CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,0.25,future_winner,future_relaxed,0.5739598845360467,rs_heavy,1.0,3,alpha_selector,1,True,False,bear,rs_heavy_N3_cap0.25,1.0
2020-05-29,ABT,ABBOTT LABORATORIES,Health Care,0.33,future_winner,future_relaxed,0.6142373293543977,rs_heavy,1.0,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
2020-05-29,CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,0.33,future_winner,future_relaxed,0.6246919769418053,rs_heavy,1.0,3,alpha_selector,1,True,False,neutral,rs_heavy_N3_cap0.33,1.0
