ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode,risk_rule_action
NOW,BUY,924.0,54.08000183105469,49969.92169189453,124.92480422973632,-50094.846496124264,49905.153503875736,924.0,2019-05-01,2019-04-30,target_rebalance,0.5,next_close,
VICI,BUY,3173.0,15.683967590332031,49765.229164123535,124.41307291030884,-49889.64223703384,15.511266841895122,3173.0,2019-05-01,2019-04-30,target_rebalance,0.5,next_close,
NOW,SELL,924.0,49.67599868774414,45900.622787475586,114.75155696868897,45785.8712305069,45801.38249734879,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
VICI,SELL,3173.0,15.182466506958008,48173.96622657776,120.4349155664444,48053.53131101131,93854.91380836011,0.0,2019-06-03,2019-05-31,target_exit,,next_close,
MA,BUY,100.0,232.9153594970703,23291.53594970703,58.22883987426758,-23349.7647895813,70505.14901877881,100.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close,
PEG,BUY,500.0,46.92021560668945,23460.107803344727,58.650269508361816,-23518.75807285309,46986.39094592573,500.0,2019-06-03,2019-05-31,target_rebalance,0.25,next_close,
PEG,SELL,500.0,46.53152084350586,23265.76042175293,58.164401054382324,23207.596020698547,70193.98696662427,0.0,2019-07-01,2019-06-28,target_exit,,next_close,
MA,BUY,58.0,256.47998046875,14875.8388671875,37.18959716796875,-14913.02846435547,55280.958502268804,158.0,2019-07-01,2019-06-28,target_rebalance,0.425,next_close,
VEEV,BUY,249.0,163.47000122070312,40704.03030395508,101.7600757598877,-40805.79037971496,14475.168122553841,249.0,2019-07-01,2019-06-28,target_rebalance,0.425,next_close,
MA,SELL,158.0,263.9048156738281,41696.960876464844,104.24240219116211,41592.71847427368,56067.88659682752,0.0,2019-08-01,2019-07-31,target_exit,,next_close,
VEEV,SELL,249.0,165.24000549316406,41144.76136779785,102.86190341949464,41041.89946437836,97109.78606120587,0.0,2019-08-01,2019-07-31,target_exit,,next_close,
ORLY,BUY,1651.0,24.98666763305664,41252.988262176514,103.13247065544128,-41356.12073283196,55753.665328373914,1651.0,2019-08-01,2019-07-31,target_rebalance,0.425,next_close,
V,BUY,242.0,170.4923553466797,41259.149993896484,103.14787498474121,-41362.29786888123,14391.367459492685,242.0,2019-08-01,2019-07-31,target_rebalance,0.425,next_close,
ORLY,SELL,1651.0,25.590667724609375,42250.19241333008,105.6254810333252,42144.56693229675,56535.93439178944,0.0,2019-09-03,2019-08-30,target_exit,,next_close,
V,BUY,1.0,170.76695251464844,170.76695251464844,0.4269173812866211,-171.19386989593505,56364.7405218935,243.0,2019-09-03,2019-08-30,target_rebalance,0.425,next_close,
BKNG,BUY,545.0,76.24681854248047,41554.516105651855,103.88629026412964,-41658.40239591598,14706.33812597752,545.0,2019-09-03,2019-08-30,target_rebalance,0.425,next_close,
V,SELL,243.0,166.08802795410156,40359.39079284668,100.8984769821167,40258.49231586456,54964.83044184208,0.0,2019-10-01,2019-09-30,target_exit,,next_close,
BKNG,SELL,12.0,77.67022705078125,932.042724609375,2.3301068115234376,929.7126177978515,55894.54305963993,533.0,2019-10-01,2019-09-30,target_rebalance,0.425,next_close,
AEP,BUY,562.0,73.473876953125,41292.31884765625,103.23079711914063,-41395.54964477539,14498.99341486454,562.0,2019-10-01,2019-09-30,target_rebalance,0.425,next_close,
AEP,SELL,562.0,73.74186706542969,41442.929290771484,103.60732322692871,41339.32196754456,55838.3153824091,0.0,2019-11-01,2019-10-31,target_exit,,next_close,
BKNG,SELL,9.0,79.79022216796875,718.1119995117188,1.795279998779297,716.3167195129395,56554.63210192204,524.0,2019-11-01,2019-10-31,target_rebalance,0.425,next_close,
V,BUY,242.0,172.41555786132812,41724.565002441406,104.31141250610352,-41828.87641494751,14725.755686974531,242.0,2019-11-01,2019-10-31,target_rebalance,0.425,next_close,
BKNG,SELL,262.0,74.45077514648438,19506.103088378906,48.76525772094727,19457.337830657958,34183.093517632486,262.0,2019-11-11,2019-11-08,weekly_relative_trim,,next_close,weekly_relative_trim
BKNG,SELL,262.0,73.99528503417969,19386.764678955078,48.466911697387694,19338.29776725769,53521.391284890175,0.0,2019-12-02,2019-11-29,target_exit,,next_close,
V,SELL,242.0,173.5252227783203,41993.103912353516,104.9827597808838,41888.12115257263,95409.5124374628,0.0,2019-12-02,2019-11-29,target_exit,,next_close,
CPRT,BUY,2169.0,21.989999771118164,47696.3095035553,119.24077375888825,-47815.550277314185,47593.96216014862,2169.0,2019-12-02,2019-11-29,target_rebalance,0.5,next_close,
MA,BUY,171.0,276.08917236328125,47211.248474121094,118.02812118530274,-47329.27659530639,264.6855648422279,171.0,2019-12-02,2019-11-29,target_rebalance,0.5,next_close,
CPRT,SELL,2169.0,23.3700008392334,50689.53182029724,126.7238295507431,50562.8079907465,50827.49355558873,0.0,2020-01-02,2019-12-31,target_exit,,next_close,
MA,SELL,24.0,292.39605712890625,7017.50537109375,17.543763427734376,6999.961607666016,57827.455163254745,147.0,2020-01-02,2019-12-31,target_rebalance,0.425,next_close,
LRCX,BUY,1546.0,27.71572494506836,42848.51076507568,107.12127691268921,-42955.63204198837,14871.823121266374,1546.0,2020-01-02,2019-12-31,target_rebalance,0.425,next_close,
LRCX,SELL,1546.0,28.697294235229492,44366.016887664795,110.91504221916199,44255.101845445635,59126.92496671201,0.0,2020-02-03,2020-01-31,target_exit,,next_close,
MA,SELL,4.0,313.1776428222656,1252.7105712890625,3.1317764282226563,1249.57879486084,60376.50376157285,143.0,2020-02-03,2020-01-31,target_rebalance,0.425,next_close,
CPRT,BUY,1773.0,25.200000762939453,44679.60135269165,111.69900338172913,-44791.30035607338,15585.203405499473,1773.0,2020-02-03,2020-01-31,target_rebalance,0.425,next_close,
CPRT,SELL,886.0,23.1924991607666,20548.55425643921,51.37138564109802,20497.18287079811,36082.386276297584,887.0,2020-02-24,2020-02-21,weekly_relative_trim,,next_close,weekly_relative_trim
CPRT,SELL,887.0,22.09000015258789,19593.83013534546,48.98457533836365,19544.845560007096,55627.23183630468,0.0,2020-02-26,2020-02-25,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
MA,SELL,60.0,296.0190124511719,17761.140747070312,44.402851867675786,17716.737895202637,73343.96973150731,83.0,2020-03-02,2020-02-28,target_rebalance,0.25,next_close,
RNG,BUY,102.0,239.46182250976562,24425.105895996094,61.062764739990236,-24486.168660736083,48857.80107077123,102.0,2020-03-02,2020-02-28,target_rebalance,0.25,next_close,
RNG,SELL,102.0,209.10610961914062,21328.823181152344,53.32205795288086,21275.50112319946,70133.3021939707,0.0,2020-03-09,2020-03-06,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
MA,SELL,83.0,270.7637634277344,22473.392364501953,56.18348091125488,22417.208883590698,92550.51107756139,0.0,2020-03-10,2020-03-09,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
MA,BUY,52.0,220.61981201171875,11472.230224609375,28.680575561523437,-11500.9108001709,81049.60027739049,52.0,2020-04-01,2020-03-31,target_rebalance,0.125,next_close,
VEEV,BUY,75.0,153.50999450683594,11513.249588012695,28.78312397003174,-11542.032711982727,69507.56756540776,75.0,2020-04-01,2020-03-31,target_rebalance,0.125,next_close,
MA,SELL,52.0,259.7481994628906,13506.906372070312,33.76726593017578,13473.139106140137,82980.7066715479,0.0,2020-05-01,2020-04-30,target_exit,,next_close,
VEEV,SELL,75.0,187.77000427246094,14082.75032043457,35.206875801086426,14047.543444633484,97028.25011618139,0.0,2020-05-01,2020-04-30,target_exit,,next_close,
AMZN,BUY,212.0,114.302001953125,24232.0244140625,60.58006103515625,-24292.604475097658,72735.64564108373,212.0,2020-05-01,2020-04-30,target_rebalance,0.25,next_close,
SE,BUY,442.0,54.779998779296875,24212.75946044922,60.53189865112305,-24273.29135910034,48462.35428198338,442.0,2020-05-01,2020-04-30,target_rebalance,0.25,next_close,
AMZN,SELL,212.0,123.552001953125,26193.0244140625,65.48256103515625,26127.541853027345,74589.89613501073,0.0,2020-06-01,2020-05-29,target_exit,,next_close,
SE,SELL,442.0,82.47000122070312,36451.74053955078,91.12935134887695,36360.6111882019,110950.50732321263,0.0,2020-06-01,2020-05-29,target_exit,,next_close,
NVDA,BUY,5375.0,8.771856307983398,47148.72765541077,117.87181913852692,-47266.59947454929,63683.90784866334,5375.0,2020-06-01,2020-05-29,target_rebalance,0.425,next_close,
V,BUY,253.0,186.093994140625,47081.780517578125,117.70445129394531,-47199.48496887207,16484.422879791266,253.0,2020-06-01,2020-05-29,target_rebalance,0.425,next_close,
NVDA,SELL,5375.0,9.497114181518555,51046.98872566223,127.61747181415558,50919.371253848076,67403.79413363934,0.0,2020-07-01,2020-06-30,target_exit,,next_close,
V,SELL,253.0,185.54818725585938,46943.69137573242,117.35922843933106,46826.33214729309,114230.12628093243,0.0,2020-07-01,2020-06-30,target_exit,,next_close,
MELI,BUY,58.0,977.1400146484375,56674.120849609375,141.68530212402345,-56815.8061517334,57414.320129199026,58.0,2020-07-01,2020-06-30,target_rebalance,0.5,next_close,
NOW,BUY,685.0,83.35800170898438,57100.2311706543,142.75057792663574,-57242.98174858093,171.33838061809365,685.0,2020-07-01,2020-06-30,target_rebalance,0.5,next_close,
MELI,SELL,58.0,1172.6199951171875,68011.95971679688,170.0298992919922,67841.92981750489,68013.26819812298,0.0,2020-08-03,2020-07-31,target_exit,,next_close,
NOW,SELL,685.0,87.99199676513672,60274.51778411865,150.68629446029664,60123.831489658354,128137.09968778133,0.0,2020-08-03,2020-07-31,target_exit,,next_close,
MA,BUY,211.0,302.5345458984375,63834.78918457031,159.58697296142577,-63994.37615753174,64142.72353024959,211.0,2020-08-03,2020-07-31,target_rebalance,0.5,next_close,
NVDA,BUY,5831.0,10.972251892089844,63979.20078277588,159.9480019569397,-64139.14878473282,3.574745516772964,5831.0,2020-08-03,2020-07-31,target_rebalance,0.5,next_close,
MA,SELL,211.0,345.4191589355469,72883.44253540039,182.20860633850097,72701.23392906188,72704.80867457866,0.0,2020-09-01,2020-08-31,target_exit,,next_close,
NVDA,SELL,5831.0,13.777423858642578,80336.15851974487,200.8403962993622,80135.31812344551,152840.12679802417,0.0,2020-09-01,2020-08-31,target_exit,,next_close,
META,BUY,221.0,293.1395263671875,64783.83532714844,161.9595883178711,-64945.79491546631,87894.33188255786,221.0,2020-09-01,2020-08-31,target_rebalance,0.425,next_close,
SE,BUY,401.0,161.8000030517578,64881.80122375488,162.2045030593872,-65044.00572681427,22850.32615574359,401.0,2020-09-01,2020-08-31,target_rebalance,0.425,next_close,
SE,SELL,401.0,144.14999389648438,57804.147552490234,144.5103688812256,57659.63718360901,80509.9633393526,0.0,2020-09-04,2020-09-03,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
META,SELL,221.0,271.5886535644531,60021.09243774414,150.05273109436035,59871.03970664978,140381.00304600238,0.0,2020-09-09,2020-09-08,daily_hard_stop_exit,,next_close,daily_hard_stop_exit
BIO,BUY,114.0,520.8099975585938,59372.33972167969,148.43084930419923,-59520.770570983885,80860.2324750185,114.0,2020-10-01,2020-09-30,target_rebalance,0.425,next_close,
CPRT,BUY,2225.0,26.80500030517578,59641.12567901611,149.10281419754028,-59790.22849321365,21070.003981804854,2225.0,2020-10-01,2020-09-30,target_rebalance,0.425,next_close,
BIO,SELL,114.0,591.02001953125,67376.2822265625,168.44070556640625,67207.8415209961,88277.84550280095,0.0,2020-11-02,2020-10-30,target_exit,,next_close,
CPRT,BUY,44.0,28.350000381469727,1247.400016784668,3.11850004196167,-1250.5185168266296,87027.32698597432,2269.0,2020-11-02,2020-10-30,target_rebalance,0.425,next_close,
GOOG,BUY,797.0,80.63945770263672,64269.647789001465,160.67411947250366,-64430.32190847397,22597.005077500347,797.0,2020-11-02,2020-10-30,target_rebalance,0.425,next_close,
CPRT,SELL,2269.0,28.8125,65375.5625,163.43890625,65212.12359375,87809.12867125035,0.0,2020-12-01,2020-11-30,target_exit,,next_close,
GOOG,SELL,39.0,89.17288970947266,3477.7426986694336,8.694356746673584,3469.04834192276,91278.1770131731,758.0,2020-12-01,2020-11-30,target_rebalance,0.425,next_close,
LRCX,BUY,1530.0,44.11519241333008,67496.24439239502,168.74061098098755,-67664.985003376,23613.1920097971,1530.0,2020-12-01,2020-11-30,target_rebalance,0.425,next_close,
GOOG,SELL,758.0,85.70834350585938,64966.924377441406,162.41731094360352,64804.507066497805,88417.6990762949,0.0,2021-01-04,2020-12-31,target_exit,,next_close,
LRCX,BUY,212.0,45.208984375,9584.3046875,23.96076171875,-9608.26544921875,78809.43362707616,1742.0,2021-01-04,2020-12-31,target_rebalance,0.5,next_close,
TWLO,BUY,234.0,334.5899963378906,78294.0591430664,195.73514785766602,-78489.79429092407,319.6393361520895,234.0,2021-01-04,2020-12-31,target_rebalance,0.5,next_close,
LRCX,SELL,1742.0,47.42487716674805,82614.1360244751,206.53534006118775,82407.6006844139,82727.240020566,0.0,2021-02-01,2021-01-29,target_exit,,next_close,
