hard_stop,target_n,weighting_mode,active_rebalance_interval_months,cagr,sharpe,max_dd,calmar,ending_equity,months,target_pass,rank_score
-0.08,3,score_power,1,0.4720314484961432,1.6761379600599728,-0.2009632070463695,2.348845121620837,14.501954156738641,83,True,1006.195489237975
-0.1,3,score_power,1,0.4720314484961432,1.6761379600599728,-0.2009632070463695,2.348845121620837,14.501954156738641,83,True,1006.195489237975
-0.12,3,score_power,1,0.4720314484961432,1.6761379600599728,-0.2009632070463695,2.348845121620837,14.501954156738641,83,True,1006.195489237975
-0.08,3,winner_take_all,1,0.46553855160847735,1.6527544527512648,-0.19305887485557993,2.4113812532924435,14.065255530978785,83,True,1006.1150810939805
-0.1,3,winner_take_all,1,0.46553855160847735,1.6527544527512648,-0.19305887485557993,2.4113812532924435,14.065255530978785,83,True,1006.1150810939805
-0.12,3,winner_take_all,1,0.46553855160847735,1.6527544527512648,-0.19305887485557993,2.4113812532924435,14.065255530978785,83,True,1006.1150810939805
-0.08,3,conviction_curve,1,0.45940545635695673,1.6608006460180436,-0.1949672976517558,2.3563205824267603,13.663137188396488,83,True,1006.0598879119359
-0.1,3,conviction_curve,1,0.45940545635695673,1.6608006460180436,-0.1949672976517558,2.3563205824267603,13.663137188396488,83,True,1006.0598879119359
-0.12,3,conviction_curve,1,0.45940545635695673,1.6608006460180436,-0.1949672976517558,2.3563205824267603,13.663137188396488,83,True,1006.0598879119359
-0.08,5,conviction_curve,1,0.43259711669397793,1.7946316314928008,-0.14962022840994316,2.8913010044919116,12.018718679200859,83,True,1005.9709825700227
-0.1,5,conviction_curve,1,0.43259711669397793,1.7946316314928008,-0.14962022840994316,2.8913010044919116,12.018718679200859,83,True,1005.9709825700227
-0.12,5,conviction_curve,1,0.43259711669397793,1.7946316314928008,-0.14962022840994316,2.8913010044919116,12.018718679200859,83,True,1005.9709825700227
-0.08,4,conviction_curve,1,0.43369945475318405,1.7429847810670038,-0.15991372652002922,2.712083972971908,12.082829962523656,83,True,1005.9200656020788
-0.1,4,conviction_curve,1,0.43369945475318405,1.7429847810670038,-0.15991372652002922,2.712083972971908,12.082829962523656,83,True,1005.9200656020788
-0.12,4,conviction_curve,1,0.43369945475318405,1.7429847810670038,-0.15991372652002922,2.712083972971908,12.082829962523656,83,True,1005.9200656020788
-0.08,5,score_power,1,0.4294519190249473,1.7759945019280001,-0.1591523121835292,2.6983705931316755,11.83739305025944,83,True,1005.911361379994
-0.1,5,score_power,1,0.4294519190249473,1.7759945019280001,-0.1591523121835292,2.6983705931316755,11.83739305025944,83,True,1005.911361379994
-0.12,5,score_power,1,0.4294519190249473,1.7759945019280001,-0.1591523121835292,2.6983705931316755,11.83739305025944,83,True,1005.911361379994
-0.08,2,conviction_curve,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.306732688424296,83,True,1005.8514360944839
-0.1,2,conviction_curve,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.306732688424296,83,True,1005.8514360944839
-0.12,2,conviction_curve,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.306732688424296,83,True,1005.8514360944839
-0.08,2,winner_take_all,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.3067326884243,83,True,1005.8514360944839
-0.1,2,winner_take_all,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.3067326884243,83,True,1005.8514360944839
-0.12,2,winner_take_all,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.3067326884243,83,True,1005.8514360944839
-0.08,2,score_power,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.3067326884243,83,True,1005.8514360944839
-0.1,2,score_power,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.3067326884243,83,True,1005.8514360944839
-0.12,2,score_power,1,0.45383912337277565,1.5196495134774028,-0.20660465272125605,2.196654902951677,13.3067326884243,83,True,1005.8514360944839
-0.08,4,score_power,1,0.42784553165504224,1.7229798940322867,-0.17010720401341806,2.5151523366482103,11.745688668752026,83,True,1005.8313280065693
-0.1,4,score_power,1,0.42784553165504224,1.7229798940322867,-0.17010720401341806,2.5151523366482103,11.745688668752026,83,True,1005.8313280065693
-0.12,4,score_power,1,0.42784553165504224,1.7229798940322867,-0.17010720401341806,2.5151523366482103,11.745688668752026,83,True,1005.8313280065693
-0.08,7,conviction_curve,1,0.40475945232672284,1.764538145090484,-0.15812632480518585,2.5597221261253806,10.493335962303945,83,True,1005.6540063435525
-0.1,7,conviction_curve,1,0.40475945232672284,1.764538145090484,-0.15812632480518585,2.5597221261253806,10.493335962303945,83,True,1005.6540063435525
-0.12,7,conviction_curve,1,0.40475945232672284,1.764538145090484,-0.15812632480518585,2.5597221261253806,10.493335962303945,83,True,1005.6540063435525
-0.08,4,winner_take_all,1,0.4110741598890526,1.6479439650220666,-0.17773361844276725,2.312866656802041,10.823965173497115,83,True,1005.5809519454698
-0.1,4,winner_take_all,1,0.4110741598890526,1.6479439650220666,-0.17773361844276725,2.312866656802041,10.823965173497115,83,True,1005.5809519454698
-0.12,4,winner_take_all,1,0.4110741598890526,1.6479439650220666,-0.17773361844276725,2.312866656802041,10.823965173497115,83,True,1005.5809519454698
-0.08,5,winner_take_all,1,0.404380429402146,1.6397483681365785,-0.19587810315529863,2.064449384020938,10.473768824600045,83,True,1005.4876745590027
-0.1,5,winner_take_all,1,0.404380429402146,1.6397483681365785,-0.19587810315529863,2.064449384020938,10.473768824600045,83,True,1005.4876745590027
-0.12,5,winner_take_all,1,0.404380429402146,1.6397483681365785,-0.19587810315529863,2.064449384020938,10.473768824600045,83,True,1005.4876745590027
-0.08,10,conviction_curve,1,0.3920324507795019,1.7688260216973708,-0.1528354815029469,2.565061770502178,9.853141894427692,83,False,4.739560125939629
-0.1,10,conviction_curve,1,0.3920324507795019,1.7688260216973708,-0.1528354815029469,2.565061770502178,9.853141894427692,83,False,4.739560125939629
-0.12,10,conviction_curve,1,0.3920324507795019,1.7688260216973708,-0.1528354815029469,2.565061770502178,9.853141894427692,83,False,4.739560125939629
-0.08,7,score_power,1,0.3908106493794776,1.7308727739727074,-0.17667424131580634,2.2120409091266513,9.793480234957922,83,False,4.543369964399437
