portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,834
concentrated,cash,cash_binding,807
concentrated,cap_or_replacement,cap_binding,296
main,candidate_gate,candidate_gate,788
main,cash,cash_binding,667
main,cap_or_replacement,cap_binding,334
