variant_id,status,target_stock_names,weighting_mode,active_rebalance_interval_months,cagr,max_dd,sharpe,trade_count,avg_cash_weight,total_fees_usd,target_distance,valid_for_production,research_strategy_cagr,research_max_dd,research_sharpe,reason
N5_conviction_curve_I1,completed,5,conviction_curve,1,0.1664113718806226,-0.3348663964775964,0.6858569230839148,675,0.0005425116467376031,48944.26812267542,0.4884550245969738,True,0.2675094213829598,-0.1790935556223921,1.4439047010308812,
N7_score_power_I1,completed,7,score_power,1,0.16889553858006412,-0.33804466965479363,0.72196241424563,936,0.000941717924495457,49153.67563196182,0.4891491310747295,True,0.2811131481167137,-0.1144517476446019,1.583793078975827,
N7_conviction_curve_I1,completed,7,conviction_curve,1,0.17028769981289527,-0.33954477851745213,0.7183051904318377,933,0.0007940319954298803,49643.40383801937,0.48925707870455687,True,0.2763379677797859,-0.1369309198882284,1.512444660994792,
N7_winner_take_all_I1,completed,7,winner_take_all,1,0.18027440202001,-0.3504441836862042,0.7525597565251632,920,0.000900738360657078,52104.45756661415,0.49016978166619424,True,0.2800949452302139,-0.1340213281696527,1.4285784919911957,
N4_winner_take_all_I1,completed,4,winner_take_all,1,0.1708038187729395,-0.3511857333897739,0.6902824234805556,539,0.0003977432557520121,51697.59101849317,0.5003819146168345,True,0.2692897867134012,-0.1821219000778777,1.3419152568389594,
N10_conviction_curve_I1,completed,10,conviction_curve,1,0.15405787507382462,-0.3373674099294298,0.6622199674718134,1322,0.0013638304839685038,46575.61227504492,0.5033095348556051,True,0.2614941487687521,-0.1274828982810489,1.480281233955634,
N3_score_power_I1,completed,3,score_power,1,0.13872271771275257,-0.3460889384337842,0.5533685924121905,416,0.000520860341714673,49921.70970836401,0.5273662207210317,True,0.2716321300007669,-0.1729441278699358,1.3283432941456637,
N2_winner_take_all_I1,completed,2,winner_take_all,1,0.13807238571290337,-0.3802827927193403,0.5248841831527329,285,0.0004051965318267792,51120.50236400128,0.5622104070064369,True,0.2903197268852784,-0.1895002383389955,1.229551839037424,
N2_score_power_I1,completed,2,score_power,1,0.13805490892513306,-0.3802827927193403,0.5247689473195896,285,0.0004010535601309844,51119.69184214591,0.5622278837942072,True,0.2903197268852784,-0.1895002383389955,1.229551839037424,
N2_conviction_curve_I1,completed,2,conviction_curve,1,0.13798706936232263,-0.380293802209718,0.5244987527842534,284,0.00042822641437879216,51149.18271311283,0.5623067328473954,True,0.2903197268852782,-0.1895002383389955,1.229551839037424,
