ticker,Name,sector,portfolio_sleeve_label,portfolio_candidate_gate_label,governance_catalyst_score,governance_catalyst_label,event_regime_label,live_event_alert_label,portfolio_monster_early_score,rs_acceleration_score,market_cap_live,ownership_flow_pillar_score,insider_cluster_boost_score,event_revision_pillar_score,selection_flow_confirmation_score,event_reaction_score,live_event_growth_reentry_score,live_event_defensive_score,live_event_risk_score,focus_live_event_growth_score,focus_event_stress_penalty
PDD,PDD Holdings (Pinduoduo / Temu),Internet,unassigned,rejected,0.544396600436576,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.4238753316779517,140603097088.0,0.0666666666666666,0.0,1.991092120511684,0.2,0.3924453205185582,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0420753538336956,0.0033395442016213
TMUS,T MOBILE US INC,Communication,unassigned,rejected,0.5351708989540677,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.104684760133532,209547304636.91272,0.0666666666666666,0.0,1.3597682987131747,0.2,1.169858297657685,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0486692508120188,0.0016310789763232
EXE,EXPAND ENERGY CORP,Energy,early_scout,early_relaxed,0.5326289287918733,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.0242719602822572,22951616357.114807,0.0666666666666666,0.0,1.7162723353061715,0.2,0.6782805583502725,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0800541114806245,0.0020555453150508
PWR,QUANTA SERVICES INC,Industrials,future_winner,future_relaxed,0.5290886772692526,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.1968851749426168,111794811005.0,0.0666666666666666,0.0,0.7104519235519096,0.2,1.9923468550133991,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2765160078910241,0.0
SNX,TD SYNNEX CORP,Information Technology,future_winner,future_relaxed,0.5230944220555276,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.3016101680602241,19219099192.31195,0.0666666666666666,0.0,0.8053373752109362,0.0,1.8258712180431964,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2748219605628756,0.0
MKSI,MKS,Information Technology,future_winner,future_relaxed,0.5195302570870602,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-3.0,21155496066.93069,0.0666666666666666,0.0,0.7110679045371833,0.2,1.9278027458184184,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.427393670052021,0.0
GEN,GEN DIGITAL INC,Information Technology,unassigned,rejected,0.5167484853594377,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.645572937647603,13744080184.936523,0.0666666666666666,0.0,0.9236692990942243,0.2,1.6299902895900948,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0253565295948182,0.0025207288191286
ARW,ARROW ELECTRONICS INC,Information Technology,early_scout,early_relaxed,0.5127223101709382,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.2584096260295936,9968562616.65158,0.0666666666666666,0.0,0.6932888176583034,0.2,1.906121882216111,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2504153952730606,0.0
CUZ,COUSINS PROPERTIES REIT INC,Real Estate,early_scout,early_relaxed,0.5100818383204855,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.9642891899426124,4403099348.7402935,0.0666666666666666,0.0,0.9082236995543088,0.2,1.6024726196133303,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0818115027314857,0.0003202353569466
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,unassigned,rejected,0.5048248123327734,growth_reentry,balanced,growth_reentry_alert,0.0,2.0910767806626014,100038466566.89452,0.0666666666666666,0.0,0.463284717173338,0.2,2.1601440306083,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1510580613133802,0.0
