ticker,peak_market_value_usd,peak_weight,trough_market_value_usd,trough_weight,peak_to_trough_value_delta_usd
AMD,17670.000457763672,0.1341641435719084,6806.879814147949,0.0698483700215395,-10863.120643615723
PENN,8347.499656677246,0.0633805949853745,691.5599970817566,0.0070963995086062,-7655.9396595954895
NOW,15024.23973083496,0.1140755067394957,7621.583995819092,0.0782084058519333,-7402.655735015867
STM,7441.493804931641,0.0565015063593649,1134.1205835342407,0.0116377071919345,-6307.3732213974
UI,5953.999435424805,0.0452073126421692,0.0,0.0,-5953.999435424805
PCTY,6887.579803466797,0.0522957680631688,1175.8499908447266,0.0120659108861652,-5711.72981262207
FTNT,6913.600044250488,0.052493333610981,1377.3599910736084,0.0141336931069961,-5536.24005317688
PAYC,6642.509307861328,0.0504350056236747,1312.8208618164062,0.013471428882519,-5329.688446044922
QRVO,6462.879867553711,0.0490711216737688,1460.399932861328,0.0149858022581669,-5002.479934692383
SHOP,7767.902877807617,0.0589798534211651,2964.103881835937,0.030415965959974,-4803.79899597168
TSLA,7950.973052978516,0.0603698620589165,3299.142642974853,0.0338539451807836,-4651.830410003662
DXCM,8312.879791259766,0.0631177345171242,4109.940078735352,0.0421738921831979,-4202.939712524414
SE,7424.000110626221,0.0563686808668017,4531.679901123047,0.0465015489027608,-2892.320209503174
RNG,7934.9306640625,0.0602480559856847,5906.705932617188,0.0606112922300086,-2028.2247314453116
