portfolio,rejection_reason,binding_constraint,count
concentrated,candidate_gate,candidate_gate,852
concentrated,cash,cash_binding,837
concentrated,cap_or_replacement,cap_binding,310
main,candidate_gate,candidate_gate,787
main,cash,cash_binding,673
main,cap_or_replacement,cap_binding,361
